MDTU,abs_delta_S
1311,0.1072
1312,0.4444
1313,0.8782
1314,0.5926
1315,0.3358
1316,0.3644
1317,0.09376
1318,0.07653
1319,0.9711
1320,0.4152
1321,1.176
1322,0.6852
1323,0.4065
1324,0.3185
1325,0.06927
1326,0.7292
1327,0.533
1328,1.306
1329,0.3817
1330,0.1295
1331,0.06881
1332,0.07966
1333,0.1332
1334,0.1521
1335,0.3848
1336,0.175
1337,1.05
1338,0.04606
1339,0.05511
1340,0.08522
1341,1.07
1342,0.3901
1343,0.8285
1344,0.04939
1345,0.09801
1346,0.5247
1347,1.474
1348,0.0342
1349,0.4812
1350,0.5812
1351,0.08179
1352,0.8315
1353,0.06728
1354,0.6911
1355,0.5397
1356,0.2166
1357,0.5923
1358,0.5041
1359,0.3592
1360,0.2887
1361,0.1185
1362,0.164
1363,0.362
1364,0.2249
1365,0.902
1366,0.08976
1367,1.439
1368,0.3158
1369,0.3687
1370,0.2809
1371,0.08456
1372,0.734
1373,0.5126
1374,0.07497
1375,0.7094
1376,0.8929
1377,0.6966
1378,0.4473
1379,0.6053
1380,0.8562
1381,0.5845
1382,0.0543
1383,0.6858
1384,0.315
1385,0.2172
1386,0.2413
1387,0.6378
1388,0.3722
1389,0.6482
1390,0.8007
1391,0.5294
1392,0.2883
1393,0.7307
1394,0.1023
1395,0.04193
1396,0.1081
1397,0.5051
1398,0.1206
1399,0.195
1400,1.057
1401,1.103
1402,0.975
1403,0.6884
1404,0.2002
1405,0.3901
1406,1.039
1407,0.3322
1408,0.06824
1409,0.656
1410,0.1387
1411,0.6146
1412,0.6643
1413,0.04197
1414,0.2195
1415,0.3011
1416,0.07965
1417,0.4161
1418,0.265
1419,0.6393
1420,0.0624
1421,0.2739
1422,0.5897
1423,0.8366
1424,0.1009
1425,1.115
1426,1.105
1427,0.8513
1428,0.9033
1429,0.5293
1430,0.4066
1431,0.4985
1432,0.6879
1433,0.7867
1434,0.0353
1435,0.9982
1436,0.6678
1437,1.495
1438,0.06705
1439,0.4599
1440,0.4673
1441,0.6697
1442,0.1064
1443,0.1582
1444,0.9137
1445,0.08731
1446,0.1633
1447,1.424
1448,0.1945
1449,0.3754
1450,1.016
1451,1.454
1452,0.9218
1453,0.4638
1454,0.5186
1455,0.1755
1456,0.7025
1457,0.3947
1458,0.2971
1459,0.817
1460,1.2
1461,0.1531
1462,0.9414
1463,0.3698
1464,0.4051
1465,0.09356
1466,0.03329
1467,0.8122
1468,0.7939
1469,0.04566
1470,0.3442
1471,0.2126
1472,0.8614
1473,0.01248
1474,0.5762
1475,0.1596
1476,0.02012
1477,0.09542
1478,0.02752
1479,0.6861
1480,1.089
1481,0.499
1482,0.5047
1483,0.6975
1484,0.1718
1485,0.4186
1486,0.1446
1487,0.01633
1488,0.5978
1489,0.8195
1490,0.01111
1491,0.6589
1492,0.2386
1493,0.1567
1494,0.3386
1495,0.8482
1496,0.7063
1497,0.6468
1498,0.4011
1499,1.287
1500,0.08257
1501,0.2164
1502,0.3971
1503,0.5118
1504,0.6518
1505,0.829
1506,0.03046
1507,0.2256
1508,0.01202
1509,1.129
1510,0.8211
1511,0.7771
1512,0.01346
1513,0.2104
1514,0.3433
1515,0.6491
1516,1.138
1517,0.237
1518,0.06954
1519,0.5473
1520,0.006087
1521,1.307
1522,0.5555
1523,0.05797
1524,0.0685
1525,0.1847
1526,0.7823
1527,1.017
1528,1.689
1529,0.4334
1530,1.209
1531,0.6849
1532,0.231
1533,0.08937
1534,0.5001
1535,0.3002
1536,0.3238
1537,1.123
1538,1.591
1539,0.7932
1540,0.5049
1541,0.04814
1542,0.2214
1543,0.6857
1544,0.5774
1545,1.126
1546,0.6449
1547,1.117
1548,0.3803
1549,0.1982
1550,0.2326
1551,0.4552
1552,0.01277
1553,0.977
1554,0.1562
1555,0.1628
1556,0.21
1557,0.4285
1558,0.23
1559,0.6324
1560,0.1858
1561,0.2096
1562,0.09613
1563,0.9266
1564,0.6867
1565,0.1611
1566,0.1675
1567,0.01529
1568,0.2479
1569,0.2555
1570,0.2511
1571,0.1507
1572,0.2712
1573,0.1888
1574,0.6821
1575,0.2786
1576,0.5574
1577,0.9383
1578,1.076
1579,0.05776
1580,0.2614
1581,1.024
1582,0.7499
1583,1.066
1584,0.5195
1585,0.2134
1586,0.97
1587,0.6637
1588,0.01137
1589,0.2306
1590,0.6687
1591,0.1872
1592,0.01751
1593,0.8812
1594,0.1649
1595,0.2087
1596,0.1711
1597,0.8177
1598,1.172
1599,0.6003
1600,0.2733
1601,0.4696
1602,0.4032
1603,0.1905
1604,0.6325
1605,0.7282
1606,0.793
