ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0546141,-0.114092,0.0472641,0.0264804
0.0164615,-0.111406,0.021555,0.025884
0.0164615,-0.111406,0.021555,0.025884
0.0249399,-0.0892687,0.0269547,-0.0117128
0.0249399,-0.0892687,0.0269547,-0.0117128
0.0249399,-0.0892687,0.0269547,-0.0117128
0.0249399,-0.0892687,0.0269547,-0.0117128
0.0579274,-0.0699014,0.00810681,0.00485583
0.0377287,-0.0494965,0.0333613,0.027229
0.0172891,-0.0442912,0.0364606,0.0140453
-0.00215829,-0.0990623,0.0285144,-0.00763431
0.033206,-0.101074,-0.00779963,0.0284718
0.00396145,-0.0559371,-0.0318198,0.0343845
0.00396145,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.00396146,-0.0559371,-0.0318198,0.0343845
0.0376505,-0.0229929,0.0387315,0.0741139
0.0446005,-0.0479099,-0.0133346,0.0374645
0.0332368,-0.0351622,-0.0172264,0.0518816
0.0332368,-0.0351622,-0.0172264,0.0518816
0.0332368,-0.0351622,-0.0172264,0.0518816
0.033663,-0.0214791,-0.034814,0.035163
0.0657752,-0.0703494,-0.0393271,0.0376929
0.0657752,-0.0703494,-0.0393271,0.0376929
0.0920222,-0.00155195,-0.0586704,0.040751
0.0920222,-0.00155195,-0.0586704,0.040751
0.062489,-0.016819,-0.0254644,0.0348701
0.0400165,-0.0253079,-0.0555288,0.0473905
0.0424672,-0.0191329,-0.0346555,0.0386732
0.0424672,-0.0191329,-0.0346555,0.0386732
0.058233,-0.0231004,-0.0114198,0.0384574
0.058233,-0.0231004,-0.0114198,0.0384574
0.0409714,-0.060733,-0.0172009,-0.00519456
0.0187772,-0.0374795,-0.052522,0.021626
-0.000534578,-0.03829,-0.0824901,0.0023398
-0.000534578,-0.03829,-0.0824901,0.0023398
-0.000534578,-0.03829,-0.0824901,0.0023398
-0.000534578,-0.03829,-0.0824901,0.0023398
0.0511428,-0.0347194,-0.087257,0.0342586
0.0271824,0.00051679,-0.0877229,0.0448986
0.0291766,-0.044593,-0.0881648,0.0269766
-0.0308035,-0.0338826,-0.0832388,0.0367972
0.0445914,-0.0360894,-0.0760816,0.0426259
-0.0097115,-0.0748851,-0.0797385,0.0207129
-0.0097115,-0.0748851,-0.0797385,0.0207129
0.0408232,-0.0373484,-0.0833054,0.0331333
0.0331892,-0.0837528,-0.0570081,0.0490261
0.0331892,-0.0837528,-0.0570081,0.0490261
0.0331892,-0.0837528,-0.0570081,0.0490261
0.0331892,-0.0837528,-0.0570081,0.0490261
0.0331892,-0.0837528,-0.0570081,0.0490261
0.0244522,-0.0524213,-0.032639,0.0678164
0.0181742,-0.0513537,-0.014244,0.00102528
0.0438541,-0.0290664,-0.024834,0.0525934
0.0139813,-0.0311652,-0.0461716,0.00905056
0.00829688,-0.0161835,-0.0417681,0.0444064
