ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
-0.0302483, -0.043141, 0.0347346, -0.111117
-0.0830562, -0.0631878, -0.0244495, -0.133871
-0.00886422, -0.0219983, -0.146, -0.088598
7.57358e-05, -0.091714, -0.135516, -0.0590798
-0.0611558, -0.107112, -0.132936, -0.0666942
0.0331087, -0.0654424, -0.0315025, -0.00447326
0.0331087, -0.0654424, -0.0315025, -0.00447326
-0.0172846, -0.066938, -0.0190689, 0.0215881
0.00460349, -0.0424159, 0.022191, 0.0354481
-0.0284334, -0.048554, 0.0875973, -0.0225035
-0.012618, -0.0151766, 0.0205919, -0.0433072
-0.012618, -0.0151766, 0.0205919, -0.0433072
-0.0311218, -0.0268576, 0.00570379, -0.0506043
0.0449199, -0.00775254, -0.00771045, -0.0223119
0.096547, 0.0104598, -0.0314482, -0.0203281
0.00822148, -0.020704, 0.0200722, -0.00891026
0.226176, -0.0286358, 0.0826205, 0.0491499
0.226176, -0.0286358, 0.0826205, 0.0491499
0.0818622, 0.00487216, 0.105527, 0.0349301
0.0455154, -0.0441768, 0.109047, 0.0677776
0.115047, -0.0235689, 0.114969, 0.0384671
0.0846257, -0.0206188, 0.0117469, 0.0697899
0.0846257, -0.0206188, 0.0117469, 0.0697899
0.025282, -0.0205688, 0.118423, 0.0394378
0.025282, -0.0205688, 0.118423, 0.0394378
0.0670932, -0.0414371, 0.12343, 0.0896445
0.0265556, 0.0244758, 0.0555464, 0.139375
0.0338828, 0.0445826, -0.0115387, 0.0786316
0.0338828, 0.0445826, -0.0115387, 0.0786316
0.0338828, 0.0445826, -0.0115387, 0.0786316
0.0338828, 0.0445826, -0.0115387, 0.0786316
0.0338828, 0.0445826, -0.0115387, 0.0786316
0.024673, 0.0257395, -0.0381534, 0.0619166
0.00813204, 0.0294355, -0.127568, 0.0172499
0.0208016, -0.0777211, -0.00302656, 0.0541816
0.0208016, -0.0777211, -0.00302656, 0.0541816
0.0208016, -0.0777211, -0.00302656, 0.0541816
0.0208016, -0.0777211, -0.00302656, 0.0541816
0.0209627, 0.0305934, -0.0402044, 0.0727621
0.0935574, 0.00103794, -0.066554, 0.0595417
0.109781, -0.00867569, -0.10193, 0.0475044
0.0312844, 0.0463906, -0.00136496, 0.091364
0.0544854, 0.0488248, -0.0158834, 0.0131426
0.0752574, 0.0356023, -0.0322139, 0.0350244
0.0752574, 0.0356023, -0.0322139, 0.0350244
0.0752574, 0.0356023, -0.0322139, 0.0350244
-0.0322342, 0.0155654, 0.0115143, 0.0269237
0.102956, -0.0396234, 0.121487, 0.00587149
0.0892615, -0.00612301, 0.0456372, 0.0292685
0.0649679, -0.0831232, 0.0922338, 0.0609499
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0566364, -0.0264429, 0.0727639, 0.0735846
0.0883014, 0.0308205, -0.00758542, 0.0521805
0.0485602, 0.0365943, 0.0697195, 0.0335476
-0.00435286, 0.056102, 0.044017, -0.0101488
-0.00435286, 0.056102, 0.044017, -0.0101488
-0.071403, 0.0124899, 0.0435147, 0.040173
-0.0255819, 0.0250959, -0.0324279, -0.0296152
-0.0255819, 0.0250959, -0.0324279, -0.0296152
