MDTU,abs_delta_S
1200,0.8012
1201,2.317
1202,1.729
1203,0.9755
1204,0.8078
1205,0.5623
1206,0.2321
1207,1.68
1208,1.927
1209,1.127
1210,1.845
1211,1.743
1212,2.112
1213,0.3392
1214,0.6944
1215,2.063
1216,0.4121
1217,2.143
1218,1.564
1219,1.085
1220,2.189
1221,1.3
1222,1.602
1223,2.553
1224,1.348
1225,1.502
1226,0.3883
1227,0.4499
1228,0.0303
1229,1.072
1230,0.1583
1231,1.557
1232,0.9245
1233,0.2874
1234,1.382
1235,0.1843
1236,0.1834
1237,0.04412
1238,0.1566
1239,1.098
1240,2.106
1241,1.222
1242,0.804
1243,1.243
1244,0.6921
1245,0.6462
1246,0.407
1247,0.8164
1248,1.217
1249,0.3507
1250,0.5336
1251,1.333
1252,0.6385
1253,0.01741
1254,0.5913
1255,0.2669
1256,0.3319
1257,0.8084
1258,0.6763
1259,1.002
1260,0.9195
1261,1.255
1262,1.916
1263,1.21
1264,0.5222
1265,0.017
1266,0.6632
1267,0.734
1268,0.9727
1269,0.7414
1270,0.5082
1271,0.2026
1272,0.8629
1273,0.3823
1274,0.3333
1275,1.093
1276,0.1941
1277,0.9557
1278,0.1065
1279,1.729
1280,0.7099
1281,1.539
1282,0.5056
1283,1.971
1284,0.3335
1285,0.4527
1286,0.8509
1287,0.7424
1288,0.5852
1289,0.02317
1290,0.6447
1291,0.623
1292,0.7299
1293,1.046
1294,0.04827
1295,1.616
1296,0.8226
1297,0.4068
1298,0.8899
1299,0.7935
1300,0.747
1301,0.3439
1302,0.2221
1303,0.6192
1304,0.8016
1305,1.287
1306,0.3658
1307,0.1163
1308,0.2645
1309,0.3431
1310,1.968
1311,0.8956
1312,1.634
1313,1.912
1314,0.1105
1315,3.039
1316,1.631
1317,2.144
1318,2.033
1319,1.77
1320,2.337
1321,0.1944
1322,0.008077
1323,2.034
1324,1.113
1325,3.154
1326,0.4012
1327,1.003
1328,0.1881
1329,0.0841
1330,1.75
1331,0.7213
1332,0.09042
1333,0.6712
1334,0.7468
1335,0.2117
1336,1.37
1337,0.2966
1338,0.7788
1339,0.1795
1340,0.5518
1341,0.7249
1342,1.188
1343,0.2154
1344,0.3652
1345,0.358
1346,0.1486
1347,0.1544
1348,0.03528
1349,1.181
1350,0.8923
1351,0.261
1352,0.7777
1353,1.021
1354,0.05995
1355,0.09363
1356,0.877
1357,0.9784
1358,1.516
1359,1.143
1360,0.3889
1361,0.2513
1362,0.8834
1363,1.404
1364,0.7737
1365,0.6492
1366,2.401
1367,0.8551
1368,0.7999
1369,0.7397
1370,1.486
1371,0.7797
1372,0.1123
1373,0.3703
1374,0.8675
1375,0.603
1376,0.3794
1377,0.1306
1378,1.203
1379,0.1084
1380,0.4296
1381,0.08529
1382,0.5901
1383,0.1593
1384,1.249
1385,0.7883
1386,0.1684
1387,0.1467
1388,0.1887
1389,1.302
1390,1.99
1391,0.763
1392,1.323
1393,0.45
1394,2.08
1395,0.1861
1396,0.242
1397,0.861
1398,1.853
1399,0.6991
1400,1.265
1401,0.8125
1402,0.6374
1403,1.919
1404,0.1742
1405,0.443
1406,0.9413
1407,1.832
1408,0.1161
1409,0.03764
1410,0.9819
1411,0.7135
1412,0.5452
1413,0.1914
1414,0.2085
1415,0.1088
1416,2.502
1417,1.062
1418,0.9795
1419,0.87
1420,0.7952
1421,0.2366
1422,1.448
1423,1.148
1424,1.481
1425,0.2999
1426,0.5418
1427,1.566
1428,0.7259
1429,0.9338
1430,0.03148
1431,0.909
1432,0.8437
1433,0.1157
1434,0.304
1435,0.677
1436,1.01
1437,0.5027
1438,2.505
1439,1.389
1440,1.169
1441,1.368
1442,1.228
1443,0.1949
1444,1.07
1445,0.2113
1446,0.4982
1447,1.11
1448,0.568
1449,0.5602
1450,0.02651
1451,0.3369
1452,1.513
1453,1.31
1454,0.828
1455,0.8572
1456,0.3127
1457,0.2978
1458,0.2342
1459,1.455
1460,0.2923
1461,0.3608
1462,2.187
1463,0.4097
1464,1.881
1465,1.443
1466,0.802
1467,0.4507
1468,0.2308
1469,0.01046
1470,0.8526
1471,1.076
1472,0.9638
1473,0.9233
1474,1.199
1475,0.5137
1476,0.8074
1477,1.019
1478,0.4463
1479,0.6007
1480,0.437
1481,0.07601
1482,2.078
1483,1.449
1484,0.4487
1485,1.23
1486,0.4348
1487,0.9792
1488,0.616
1489,0.5242
1490,0.297
1491,0.4799
1492,0.5645
1493,0.7265
1494,2.526
1495,1.295
1496,0.4674
1497,0.9737
1498,0.1904
1499,0.7434
1500,0.8714
