ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.219705,null,-0.0806975,null,null
-9.0827,0.187377,null,null,null
0.179967,null,-0.165585,null,null
-8.34015,1.3299,null,null,null
0.214679,null,-0.194144,null,null
-7.64225,1.94938,null,null,null
0.219399,null,-0.282753,null,null
-7.4921,1.7234,null,null,null
0.104189,null,-0.211731,null,null
-9.4618,-0.00137551,null,null,null
0.0803745,null,-0.33834,null,null
-7.4983,-0.989385,null,null,null
0.139801,null,-0.34579,null,null
-7.7719,-1.33341,null,null,null
0.185062,null,-0.475183,null,null
-10.8964,0.139463,null,null,null
0.206925,null,-0.5407,null,null
-7.86635,1.88867,null,null,null
0.0751305,null,-0.555315,null,null
-9.1763,-1.12495,null,null,null
0.360357,null,-0.5206,null,null
-7.0705,-1.90417,null,null,null
0.55586,null,-0.440719,null,null
-8.6203,-0.232841,null,null,null
0.409592,null,-0.59672,null,null
-10.8083,0.16604,null,null,null
0.430494,null,-0.4907,null,null
-9.3777,1.84238,null,null,null
0.52578,null,-0.257937,null,null
-7.3913,0.234672,null,null,null
0.441052,null,-0.223107,null,null
-9.0199,-2.11773,null,null,null
0.337962,null,-0.337877,null,null
-9.9573,0.297216,null,null,null
0.343817,null,-0.248026,null,null
-12.1161,4.59369,null,null,null
0.406649,null,-0.422922,null,null
-14.263,5.4535,null,null,null
0.290127,null,-0.446954,null,null
-11.7392,3.09358,null,null,null
0.291003,null,-0.3895,null,null
-14.5952,3.70011,null,null,null
0.149828,null,-0.400873,null,null
-15.9449,1.87386,null,null,null
0.069014,null,-0.484488,null,null
-13.788,4.8007,null,null,null
0.0346356,null,-0.390609,null,null
-11.874,3.94317,null,null,null
0.186377,null,-0.42236,null,null
-12.9675,0.947405,null,null,null
0.171868,null,-0.61337,null,null
-14.8252,-0.73624,null,null,null
0.253321,null,-0.518255,null,null
-20.4881,-1.21128,null,null,null
0.137865,null,-0.458709,null,null
-17.2809,0.237532,null,null,null
0.33368,null,-0.55989,null,null
-15.0493,1.62871,null,null,null
0.220698,null,-0.406393,null,null
-17.2958,2.82518,null,null,null
0.329462,null,-0.422056,null,null
-17.0868,3.20881,null,null,null
0.325798,null,-0.280686,null,null
-16.8623,0.350877,null,null,null
0.353113,null,-0.389279,null,null
-18.0065,-2.90523,null,null,null
0.402362,null,-0.333815,null,null
-20.7582,-2.9737,null,null,null
0.298758,null,-0.229038,null,null
-17.7855,-2.84436,null,null,null
0.356392,null,-0.204237,null,null
-22.0698,-9.6659,null,null,null
0.476743,null,-0.210545,null,null
-20.403,-8.38555,null,null,null
0.654745,null,-0.18144,null,null
-23.7071,-7.5443,null,null,null
0.64802,null,-0.126847,null,null
-24.7255,5.0177,null,null,null
0.694845,null,-0.0350852,null,null
-20.7961,4.69865,null,null,null
0.78879,null,-0.130727,null,null
-26.2782,5.2305,null,null,null
1.04042,null,-0.221278,null,null
-26.2782,5.2305,null,null,null
1.04042,null,-0.221278,null,null
-27.3641,3.3801,null,null,null
1.11569,null,-0.26036,null,null
-26.72,7.3499,null,null,null
0.74816,null,-0.120037,null,null
-29.1209,0.611805,null,null,null
0.809025,null,-0.220597,null,null
-18.3638,-1.46403,null,null,null
0.968825,null,-0.712585,null,null
-20.7072,-5.7889,null,null,null
0.994045,null,-1.04655,null,null
-18.0802,-5.84325,null,null,null
0.874185,null,-0.77481,null,null
-16.8268,-5.27445,null,null,null
1.01136,null,-0.981135,null,null
-12.651,-4.18595,null,null,null
0.71733,null,-1.00287,null,null
-11.6122,-3.97872,null,null,null
0.99383,null,-1.36322,null,null
-13.0487,-0.245728,null,null,null
0.706785,null,-0.740565,null,null
-15.1388,-5.25115,null,null,null
0.81669,null,-0.78305,null,null
-14.1279,-5.81425,null,null,null
0.496717,null,-0.80733,null,null
-12.7318,-7.69055,null,null,null
0.392085,null,-1.19076,null,null
-10.5888,-9.3373,null,null,null
0.342064,null,-0.930475,null,null
-10.5888,-9.3373,null,null,null
0.342064,null,-0.930475,null,null
-12.2746,-9.40315,null,null,null
0.2713,null,-0.96719,null,null
-12.2746,-9.40315,null,null,null
0.2713,null,-0.96719,null,null
-11.4185,-12.9508,null,null,null
0.236866,null,-0.92347,null,null
-10.297,-15.4093,null,null,null
0.143364,null,-0.93561,null,null
-8.7591,-12.0995,null,null,null
0.039269,null,-0.965725,null,null
-7.7863,-11.688,null,null,null
0.00852325,null,-0.872045,null,null
-6.7316,-15.9992,null,null,null
0.226659,null,-0.743175,null,null
-4.4586,-20.7185,null,null,null
0.193571,null,-0.432638,null,null
-11.1868,-26.4257,null,null,null
0.081893,null,-0.456432,null,null
-4.271,-31.7501,null,null,null
-0.137664,null,-0.55106,null,null
-10.347,-28.023,null,null,null
-0.169072,null,-0.58971,null,null
-14.185,-21.3707,null,null,null
0.0682735,null,-0.75242,null,null
-10.7568,-24.9116,null,null,null
0.198928,null,-0.852765,null,null
-16.3488,-30.1956,null,null,null
0.35631,null,-0.5669,null,null
-7.24105,-24.1214,null,null,null
0.268952,null,-0.578695,null,null
-8.85105,-24.3379,null,null,null
0.216584,null,-0.666195,null,null
-10.8609,-22.1898,null,null,null
0.315497,null,-0.547645,null,null
-10.4023,-26.7676,null,null,null
0.327964,null,-0.55214,null,null
-3.96622,-22.812,null,null,null
0.31093,null,-0.596555,null,null
-9.51215,-23.1863,null,null,null
0.291397,null,-0.350502,null,null
-5.56695,-21.211,null,null,null
0.401044,null,-0.130417,null,null
-1.81291,-32.9209,null,null,null
0.426601,null,-0.090036,null,null
0.724145,-28.8514,null,null,null
0.361964,null,-0.159099,null,null
5.98465,-27.6806,null,null,null
0.257537,null,-0.14474,null,null
9.9284,-21.1107,null,null,null
0.254458,null,-0.179568,null,null
6.6591,-18.3309,null,null,null
0.271649,null,-0.257207,null,null
8.80065,-13.3163,null,null,null
0.316775,null,-0.179901,null,null
10.4748,-13.9634,null,null,null
0.275063,null,-0.277255,null,null
9.78335,-14.6656,null,null,null
0.304891,null,-0.33024,null,null
12.1706,-14.5198,null,null,null
0.430894,null,-0.400302,null,null
8.6515,-12.3689,null,null,null
0.30133,null,-0.418495,null,null
3.51374,-18.1971,null,null,null
0.193431,null,-0.386908,null,null
7.75335,-18.0047,null,null,null
0.216577,null,-0.386647,null,null
7.80355,-20.5556,null,null,null
0.198741,null,-0.252283,null,null
6.59975,-21.3316,null,null,null
0.073753,null,-0.26467,null,null
8.39205,-21.7286,null,null,null
0.24606,null,-0.290046,null,null
5.73635,-25.0798,null,null,null
0.302002,null,-0.265608,null,null
5.63475,-26.2753,null,null,null
0.297057,null,-0.224955,null,null
7.89475,-19.3966,null,null,null
0.286094,null,-0.352345,null,null
8.00415,-19.1363,null,null,null
0.196313,null,-0.347481,null,null
7.47535,-18.4819,null,null,null
0.293885,null,-0.138021,null,null
1.78435,-16.1335,null,null,null
0.328226,null,-0.167519,null,null
7.701,-14.6707,null,null,null
0.328045,null,-0.10567,null,null
9.20125,-16.1634,null,null,null
0.265755,null,-0.176929,null,null
6.70835,-17.333,null,null,null
0.190408,null,-0.170965,null,null
4.08942,-22.7011,null,null,null
0.0443907,null,-0.389786,null,null
0.918725,-25.4938,null,null,null
0.167254,null,-0.292252,null,null
-2.98576,-24.2753,null,null,null
0.085865,null,-0.351982,null,null
-12.9252,-19.8485,null,null,null
0.098934,null,-0.375431,null,null
-8.8369,-27.6874,null,null,null
0.0934,null,-0.263367,null,null
-11.8872,-24.5272,null,null,null
-0.056836,null,-0.290517,null,null
-16.0301,-20.4799,null,null,null
-0.0300603,null,-0.18908,null,null
-19.6732,-27.286,null,null,null
-0.0686485,null,-0.187282,null,null
-10.4345,-23.5897,null,null,null
-0.172468,null,-0.247951,null,null
-18.0574,-23.5082,null,null,null
-0.106909,null,-0.326823,null,null
-19.3781,-12.3631,null,null,null
0.0528895,null,-0.316669,null,null
-17.6444,-15.1013,null,null,null
0.0695445,null,-0.35403,null,null
-14.9675,-12.9596,null,null,null
0.090874,null,-0.363146,null,null
-14.9675,-12.9596,null,null,null
0.090874,null,-0.363146,null,null
-16.3972,-10.5477,null,null,null
0.182879,null,-0.368183,null,null
-15.756,-12.8986,null,null,null
0.259521,null,-0.406517,null,null
-16.9772,-11.666,null,null,null
0.19821,null,-0.30359,null,null
-27.0765,-10.5905,null,null,null
0.166617,null,-0.288347,null,null
-23.7404,-15.5193,null,null,null
0.175057,null,-0.190377,null,null
-25.7703,-15.725,null,null,null
0.137124,null,-0.190065,null,null
-25.3575,-16.6489,null,null,null
0.163845,null,-0.192246,null,null
-26.1754,-19.6825,null,null,null
0.089936,null,-0.226761,null,null
-26.643,-26.3877,null,null,null
0.153868,null,-0.22787,null,null
-16.1998,-29.6339,null,null,null
0.104783,null,-0.20256,null,null
-13.8041,-28.5011,null,null,null
0.078407,null,-0.225418,null,null
-16.7218,-35.0033,null,null,null
0.0212554,null,-0.196739,null,null
-9.20045,-32.7796,null,null,null
0.0045825,null,-0.23009,null,null
-5.04025,-29.7503,null,null,null
0.065421,null,-0.188915,null,null
-1.54972,-37.9322,null,null,null
0.0471122,null,-0.300109,null,null
-4.80593,-28.1136,null,null,null
0.155725,null,-0.258949,null,null
2.0296,-30.6464,null,null,null
0.090262,null,-0.222462,null,null
3.4798,-30.5227,null,null,null
-0.00360809,null,-0.208518,null,null
-0.83789,-28.5409,null,null,null
0.0226279,null,-0.252285,null,null
0.438799,-24.9503,null,null,null
0.0397528,null,-0.276116,null,null
-0.425913,-21.6628,null,null,null
0.134745,null,-0.203867,null,null
-4.12653,-19.087,null,null,null
0.106981,null,-0.312096,null,null
-5.4431,-21.4931,null,null,null
