MDTU,abs_delta_S
1106,0.223
1107,1.482
1108,1.442
1109,0.6731
1110,1.649
1111,1.471
1112,0.7394
1113,0.4187
1114,0.1688
1115,1.158
1116,0.01658
1117,0.1134
1118,1.558
1119,0.6192
1120,0.07624
1121,0.9525
1122,0.8783
1123,1.545
1124,1.432
1125,0.01859
1126,0.5039
1127,0.3288
1128,0.6503
1129,1.018
1130,1.13
1131,1.959
1132,0.624
1133,0.788
1134,1.01
1135,2.576
1136,0.5877
1137,1.466
1138,0.4173
1139,0.986
1140,0.3332
1141,1.55
1142,0.4508
1143,1.199
1144,0.005241
1145,0.5928
1146,0.2587
1147,1.7
1148,1.413
1149,1.158
1150,2.214
1151,0.8313
1152,0.1019
1153,0.4289
1154,0.8853
1155,1.642
1156,1.079
1157,0.1289
1158,0.5886
1159,2.02
1160,1.963
1161,0.6053
1162,0.1956
1163,0.3268
1164,0.1823
1165,2.321
1166,1.184
1167,0.3065
1168,0.3259
1169,1.033
1170,0.9648
1171,1.618
1172,0.6738
1173,0.218
1174,1.023
1175,0.1113
1176,0.6163
1177,0.9979
1178,1.468
1179,0.541
1180,0.2771
1181,0.008542
1182,0.05981
1183,2.417
1184,2.748
1185,1.024
1186,1.482
1187,1.276
1188,0.4488
1189,0.5761
1190,0.05124
1191,0.309
1192,0.4647
1193,2.339
1194,0.03263
1195,0.09649
1196,0.4264
1197,0.6647
1198,0.1314
1199,0.01932
1200,1.088
1201,0.001109
1202,1.055
1203,0.7347
1204,1.164
1205,0.1095
1206,1.833
1207,0.117
1208,1.682
1209,1.57
1210,0.5722
1211,0.3039
1212,0.5992
1213,1.943
1214,1.253
1215,0.33
1216,0.9133
1217,0.9142
1218,0.5024
1219,1.303
1220,2.089
1221,1.645
1222,1.301
1223,0.5314
1224,1.779
1225,1.446
1226,0.9721
1227,0.738
1228,1.202
1229,0.8017
1230,1.363
1231,0.03182
1232,0.503
1233,1.574
1234,0.554
1235,0.6718
1236,1.273
1237,0.7013
1238,1.307
1239,0.9637
1240,0.8066
1241,1.114
1242,0.5442
1243,0.4179
1244,1.111
1245,0.9566
1246,0.6052
1247,1.253
1248,1.485
1249,1.092
1250,0.9323
1251,1.11
1252,0.3458
1253,0.9219
1254,0.4011
1255,0.1982
1256,0.7431
1257,0.5947
1258,0.4449
1259,2.549
1260,2.455
1261,1.237
1262,2.254
1263,0.326
1264,1.158
1265,0.3533
1266,0.6205
1267,0.8601
1268,0.15
1269,0.8483
1270,0.7734
1271,0.5698
1272,0.6423
1273,0.5805
1274,1.542
1275,0.386
1276,1.144
1277,1.063
1278,1.19
1279,0.4585
1280,0.6702
1281,0.213
1282,0.465
1283,1.367
1284,1.092
1285,0.1125
1286,0.2883
1287,0.4908
1288,0.8321
1289,0.5649
1290,0.2223
1291,0.1245
1292,1.907
1293,0.2545
1294,1.294
1295,1.193
1296,1.093
1297,0.1989
1298,0.04181
1299,0.9317
1300,1.792
1301,0.1713
1302,2.28
1303,0.6537
1304,0.7973
1305,0.1027
1306,0.9965
1307,0.6396
1308,0.8062
1309,0.621
1310,0.5434
1311,0.07567
1312,0.4109
1313,0.4647
1314,1.537
1315,0.06773
1316,0.936
1317,1.006
1318,1.249
1319,0.6383
1320,2.747
1321,0.3747
1322,0.5229
1323,0.3021
1324,1.789
1325,0.9901
1326,0.6983
1327,1.252
1328,0.6793
1329,2.611
1330,1.979
1331,0.2908
1332,0.01672
1333,1.707
1334,1.941
1335,2.347
1336,0.9503
1337,0.6273
1338,0.143
1339,0.3381
1340,0.6542
1341,1.741
1342,0.396
1343,1.32
1344,0.674
1345,0.9779
1346,1.718
1347,1.495
1348,0.3374
1349,1.578
1350,0.07941
1351,1.558
1352,0.06734
1353,0.2043
1354,1.011
1355,2.147
1356,0.6884
1357,1.183
1358,1.599
1359,1.054
1360,2.877
1361,0.7717
1362,1.167
1363,0.1013
1364,0.8323
1365,0.5013
1366,0.557
1367,1.636
1368,1.329
1369,0.6469
1370,0.1041
1371,1.114
1372,0.2635
1373,0.087
1374,0.4609
1375,0.8331
1376,0.7985
1377,0.4863
1378,0.1593
1379,1.94
1380,0.8908
1381,1.396
1382,1.321
1383,0.03168
1384,2.117
1385,2.049
1386,0.2243
1387,0.3747
1388,0.2146
1389,1.703
1390,1.238
1391,1.64
1392,1.278
1393,0.2837
1394,0.3725
1395,0.1758
1396,0.3639
1397,0.4095
1398,2.268
1399,0.05611
1400,1.566
1401,0.7258
1402,0.6927
1403,0.3186
1404,0.4846
1405,1.855
1406,0.3476
1407,1.698
1408,0.8111
1409,1.019
1410,0.7146
1411,0.7058
1412,0.4306
1413,1.957
1414,1.015
1415,0.4613
1416,1.097
1417,0.07623
1418,0.9674
1419,1.042
1420,1
1421,1.036
1422,0.8522
1423,0.05545
1424,0.2731
1425,0.5061
1426,1.303
1427,0.1098
1428,0.65
1429,0.2527
1430,0.7767
1431,0.111
1432,1.389
1433,1.297
1434,0.4495
1435,0.7493
1436,0.3195
1437,0.005591
1438,0.7077
1439,1.025
1440,1.003
1441,0.7598
1442,0.5698
1443,1.38
1444,0.0868
1445,0.5351
1446,0.3611
1447,0.7009
1448,1.207
1449,1.177
1450,1.339
1451,0.4256
1452,1.084
1453,0.4337
1454,1.201
1455,0.4152
1456,1.096
1457,1.012
1458,0.3815
