T,G,F
950,0.01059,0.02243
951,0.01058,0.02236
952,0.01058,0.02247
953,0.01059,0.02246
954,0.01061,0.02241
955,0.01058,0.02243
956,0.0106,0.02245
957,0.01059,0.0224
958,0.01059,0.02245
959,0.0106,0.02247
960,0.01061,0.02239
961,0.01061,0.02242
962,0.0106,0.02241
963,0.01059,0.02243
964,0.01059,0.02242
965,0.01059,0.02243
966,0.01059,0.02235
967,0.01058,0.02243
968,0.01058,0.02236
969,0.01059,0.02242
970,0.01059,0.02241
971,0.0106,0.0224
972,0.01062,0.02247
973,0.01058,0.02241
974,0.01059,0.02245
975,0.01059,0.02242
976,0.01058,0.02242
977,0.0106,0.02236
978,0.01059,0.02241
979,0.01059,0.0224
980,0.01059,0.02248
981,0.01058,0.02246
982,0.01059,0.0225
983,0.01061,0.02245
984,0.01059,0.02246
985,0.01059,0.02249
986,0.01058,0.02245
987,0.01059,0.02239
988,0.01059,0.0224
989,0.01061,0.02245
990,0.01059,0.02242
991,0.01059,0.02241
992,0.0106,0.02245
993,0.01061,0.02248
994,0.01061,0.02235
995,0.01062,0.02242
996,0.01061,0.02242
997,0.0106,0.02239
998,0.0106,0.02247
999,0.01059,0.02243
1000,0.01059,0.0224
1001,0.01059,0.02238
1002,0.01059,0.02239
1003,0.01061,0.0224
1004,0.01059,0.02246
1005,0.01059,0.02242
1006,0.01059,0.02243
1007,0.0106,0.02239
1008,0.01058,0.02243
1009,0.01058,0.0224
1010,0.0106,0.02246
1011,0.0106,0.02245
1012,0.01059,0.02245
1013,0.01058,0.02249
1014,0.01059,0.02244
1015,0.01058,0.02239
1016,0.0106,0.02239
1017,0.0106,0.02241
1018,0.0106,0.0224
1019,0.01061,0.0224
1020,0.01059,0.02239
1021,0.01059,0.02243
1022,0.0106,0.02239
1023,0.0106,0.02241
1024,0.0106,0.02241
1025,0.0106,0.02243
1026,0.01061,0.02243
1027,0.0106,0.02242
1028,0.0106,0.02243
1029,0.01059,0.02241
1030,0.01057,0.02238
1031,0.0106,0.02243
1032,0.01061,0.0224
1033,0.01061,0.02241
1034,0.0106,0.02248
1035,0.0106,0.02246
1036,0.01061,0.0224
1037,0.0106,0.02236
1038,0.01059,0.02244
