MDTU,|det-1|^2,1-Re(det),Im(det)
369,0.995525,-0.00509,-0.00341185
370,0.988252,0.003266,-0.00328424
371,0.994133,-0.00155,-0.00112546
372,0.994133,-0.00155,-0.00112546
373,0.994133,-0.00155,-0.00112546
374,0.997038,-0.00966,-0.0013624
375,0.997038,-0.00966,-0.0013624
376,0.997038,-0.00966,-0.0013624
377,0.997038,-0.00966,-0.0013624
378,0.997038,-0.00966,-0.0013624
379,0.997038,-0.00966,-0.0013624
380,0.997038,-0.00966,-0.0013624
381,0.997038,-0.00966,-0.0013624
382,0.997038,-0.00966,-0.0013624
383,0.997038,-0.00966,-0.0013624
384,0.942052,0.001976,0.000402793
385,0.920549,-0.00153,0.00214456
386,0.917804,-0.00484,-0.00153028
387,0.953755,0.001121,0.00264141
388,0.926441,-0.00108,-0.0020413
389,0.926441,-0.00108,-0.0020413
390,0.926441,-0.00108,-0.0020413
391,0.926441,-0.00108,-0.0020413
392,0.948333,0.001338,0.00163361
393,0.936091,-0.00379,-0.000464142
394,0.936091,-0.00379,-0.000464142
395,0.936091,-0.00379,-0.000464142
396,0.950577,-0.00617,-0.00103899
397,0.903356,-0.00294,-0.000965885
398,0.940718,0.000383,-0.00112209
399,0.932407,0.001652,-0.00135473
400,0.856845,0.001078,-0.00263182
401,0.875155,-0.0012,0.0014077
402,0.880641,0.001138,-0.0029845
403,0.892966,-0.00614,0.00134121
404,0.892966,-0.00614,0.00134121
405,0.892966,-0.00614,0.00134121
406,0.892512,8.1e-05,0.000748218
407,0.923383,-0.00134,-0.000259919
408,0.893156,-0.00321,0.00298667
409,0.893156,-0.00321,0.00298667
410,0.893156,-0.00321,0.00298667
411,0.893156,-0.00321,0.00298667
412,0.893156,-0.00321,0.00298667
413,0.87334,-0.00373,0.00170046
414,0.87334,-0.00373,0.00170046
415,0.936294,0.000718,-0.000103903
416,0.936294,0.000718,-0.000103903
417,0.936294,0.000718,-0.000103903
418,0.936294,0.000718,-0.000103903
419,0.920227,0.002936,-0.0020831
420,0.904579,-0.00228,-0.000326935
421,0.904579,-0.00228,-0.000326935
422,0.904579,-0.00228,-0.000326935
423,0.904579,-0.00228,-0.000326935
424,0.894027,-0.00567,-0.00157379
425,0.894027,-0.00567,-0.00157379
426,0.894027,-0.00567,-0.00157379
427,0.894027,-0.00567,-0.00157379
428,0.894027,-0.00567,-0.00157379
429,0.894027,-0.00567,-0.00157379
430,0.90797,-0.00272,-0.00446336
431,0.90797,-0.00272,-0.00446336
432,0.90797,-0.00272,-0.00446336
433,0.90797,-0.00272,-0.00446336
434,0.90797,-0.00272,-0.00446336
435,0.897323,0.001316,0.00262861
436,0.882836,4e-05,-0.00301841
437,0.858479,-0.00415,0.000489184
438,0.84694,-0.00418,-0.000105631
439,0.791237,0.000257,0.00182142
440,0.791237,0.000257,0.00182142
441,0.778033,-0.00268,0.000876719
442,0.778033,-0.00268,0.000876719
443,0.843181,-0.00114,0.00238064
444,0.843181,-0.00114,0.00238064
445,0.7696,-0.00263,-0.00323164
446,0.7696,-0.00263,-0.00323164
447,0.826766,0.001313,-0.00177713
448,0.836588,0.002057,0.000547222
449,0.789669,0.003526,-0.00014879
450,0.816282,-0.00034,0.000958926
451,0.816282,-0.00034,0.000958926
452,0.816282,-0.00034,0.000958926
453,0.816282,-0.00034,0.000958926
454,0.791041,0.009492,-0.0034526
455,0.823284,-0.00126,-0.00223961
456,0.823284,-0.00126,-0.00223961
457,0.754434,0.00497,-0.000525879
458,0.799749,0.00411,-0.00296052
459,0.809989,-0.00348,-0.00172035
460,0.870216,-0.00397,-0.000182972
461,0.870216,-0.00397,-0.000182972
462,0.869484,0.004048,-0.00332084
463,0.907858,0.00149,-0.00332948
464,0.956904,-0.00075,-0.00281223
465,0.942136,0.000704,-0.000620828
466,0.927335,-0.00359,-0.00417602
467,0.879942,0.00506,-0.00215028
468,0.879942,0.00506,-0.00215028
469,0.917499,0.005907,0.00449512
470,0.917499,0.005907,0.00449512
471,0.940662,0.003088,0.000434439
472,0.956636,0.002255,-0.00152832
473,0.956636,0.002255,-0.00152832
474,0.956636,0.002255,-0.00152832
475,0.956636,0.002255,-0.00152832
476,0.956636,0.002255,-0.00152832
477,0.935133,-0.00035,-0.000339527
478,0.935133,-0.00035,-0.000339527
479,0.935133,-0.00035,-0.000339527
480,0.925462,0.003118,0.0014734
481,0.925462,0.003118,0.0014734
482,0.925462,0.003118,0.0014734
483,0.891281,-0.00356,-0.000261324
484,0.913339,0.001578,0.00028327
485,0.913339,0.001578,0.00028327
486,0.913339,0.001578,0.00028327
487,0.913339,0.001578,0.00028327
