MDTU,min_ave,max_ave
834,-0.184616,0.172353
835,-0.185148,0.170133
836,-0.185941,0.16982
837,-0.179837,0.171086
838,-0.186529,0.170517
839,-0.186529,0.170517
840,-0.179507,0.16881
841,-0.181267,0.16761
842,-0.182785,0.169636
843,-0.182341,0.168481
844,-0.18105,0.170777
845,-0.18575,0.1694
846,-0.18575,0.1694
847,-0.186954,0.16932
848,-0.183264,0.173016
849,-0.183385,0.171857
850,-0.184565,0.170334
851,-0.181056,0.172617
852,-0.18545,0.170079
853,-0.183022,0.168949
854,-0.182362,0.169929
855,-0.184338,0.168409
856,-0.180592,0.17215
857,-0.185051,0.171532
858,-0.182542,0.170765
859,-0.182983,0.17066
860,-0.183189,0.169013
861,-0.183189,0.169013
862,-0.183287,0.171972
863,-0.184235,0.170465
864,-0.18196,0.171938
865,-0.18339,0.170056
866,-0.183736,0.168126
867,-0.183736,0.168126
868,-0.185383,0.172629
869,-0.182981,0.169773
870,-0.182743,0.171013
871,-0.182743,0.171013
872,-0.183947,0.170953
873,-0.183191,0.171986
874,-0.182474,0.170805
875,-0.18237,0.168484
876,-0.181406,0.17123
877,-0.186533,0.169975
878,-0.180281,0.168966
879,-0.182838,0.171856
880,-0.185377,0.169325
881,-0.185833,0.171565
882,-0.183547,0.169442
883,-0.188861,0.169275
884,-0.182132,0.171158
885,-0.182132,0.171158
886,-0.188432,0.170938
887,-0.184313,0.170573
888,-0.180534,0.173637
889,-0.185283,0.16685
890,-0.180314,0.17062
891,-0.181276,0.168503
892,-0.182181,0.169334
893,-0.183629,0.171886
894,-0.181666,0.16982
895,-0.186241,0.171991
896,-0.186241,0.171991
897,-0.183816,0.170129
898,-0.183903,0.174237
899,-0.188699,0.170458
900,-0.186265,0.17022
901,-0.182162,0.169928
902,-0.183648,0.169321
903,-0.18555,0.170141
904,-0.184239,0.168278
905,-0.183629,0.168771
906,-0.185881,0.169583
907,-0.181781,0.167726
908,-0.18356,0.167566
909,-0.18324,0.168243
910,-0.180497,0.170196
911,-0.187174,0.167604
912,-0.180193,0.172673
913,-0.184983,0.171166
914,-0.181567,0.17226
915,-0.181567,0.17226
916,-0.181567,0.17226
917,-0.189582,0.171263
918,-0.183569,0.171156
919,-0.189368,0.169674
920,-0.181892,0.171073
921,-0.178998,0.16893
922,-0.183549,0.169298
923,-0.180107,0.170082
924,-0.183014,0.166568
925,-0.178664,0.171016
926,-0.183078,0.168966
927,-0.185825,0.169696
928,-0.179212,0.170403
929,-0.186742,0.169339
930,-0.185051,0.16954
931,-0.187531,0.170626
932,-0.181425,0.173443
933,-0.180616,0.168365
934,-0.182807,0.170516
935,-0.183806,0.169098
936,-0.180373,0.170702
937,-0.183834,0.17011
938,-0.18092,0.171859
939,-0.188154,0.169766
940,-0.180423,0.170806
941,-0.185419,0.170085
942,-0.183391,0.170708
943,-0.184336,0.171072
944,-0.182929,0.172366
945,-0.183626,0.169133
946,-0.179323,0.172742
947,-0.185011,0.171619
948,-0.186596,0.173688
949,-0.1842,0.170484
950,-0.181426,0.174433
951,-0.187142,0.169552
952,-0.178796,0.172196
953,-0.178796,0.172196
954,-0.183209,0.169057
955,-0.182643,0.172157
956,-0.186697,0.17113
957,-0.182555,0.169689
958,-0.182555,0.169689
959,-0.183544,0.168208
960,-0.181014,0.170573
961,-0.182885,0.170972
962,-0.18194,0.170845
963,-0.183249,0.169916
964,-0.182231,0.169367
965,-0.180208,0.169928
966,-0.184676,0.168824
967,-0.183652,0.17333
968,-0.182897,0.169511
969,-0.181012,0.170618
970,-0.180273,0.171463
971,-0.185175,0.17207
972,-0.184653,0.169035
973,-0.183402,0.172522
974,-0.186992,0.169916
975,-0.184339,0.171757
976,-0.18666,0.168839
977,-0.181634,0.170675
978,-0.184155,0.170749
979,-0.182237,0.171805
980,-0.179855,0.170301
981,-0.177129,0.171211
982,-0.187142,0.171261
983,-0.187142,0.171261
984,-0.182241,0.171409
985,-0.181967,0.169838
986,-0.184272,0.169164
987,-0.181951,0.170175
988,-0.184667,0.17497
989,-0.184072,0.17274
990,-0.183813,0.170273
991,-0.183448,0.171942
992,-0.186866,0.171567
993,-0.183439,0.169725
994,-0.183439,0.169725
995,-0.183246,0.172459
996,-0.183246,0.172459
997,-0.184193,0.169556
998,-0.181294,0.171852
999,-0.186755,0.169878
1000,-0.185238,0.168881
1001,-0.183065,0.171568
1002,-0.185068,0.167474
1003,-0.181927,0.172176
1004,-0.184057,0.169103
1005,-0.180169,0.170316
1006,-0.180974,0.166906
1007,-0.180585,0.168226
1008,-0.18609,0.167036
1009,-0.179738,0.171027
1010,-0.183596,0.168623
1011,-0.183984,0.167978
1012,-0.18007,0.170126
1013,-0.182007,0.169899
1014,-0.183651,0.170076
1015,-0.181362,0.168423
1016,-0.185047,0.169028
1017,-0.181075,0.170579
1018,-0.181856,0.170577
1019,-0.179667,0.168731
1020,-0.178796,0.171113
1021,-0.180905,0.170143
1022,-0.185296,0.168692
1023,-0.187021,0.170176
1024,-0.181647,0.170743
1025,-0.18615,0.170847
1026,-0.187921,0.170211
1027,-0.186515,0.171837
1028,-0.186514,0.172733
1029,-0.184924,0.174201
1030,-0.18792,0.173291
1031,-0.192037,0.176812
1032,-0.18661,0.174352
1033,-0.18661,0.174352
1034,-0.187656,0.172599
1035,-0.190719,0.175085
1036,-0.188834,0.175739
1037,-0.189735,0.173849
1038,-0.184837,0.176021
1039,-0.18831,0.171676
1040,-0.183093,0.173964
1041,-0.183093,0.173964
1042,-0.183093,0.173964
1043,-0.187,0.172937
1044,-0.182852,0.169829
1045,-0.182411,0.17161
1046,-0.18816,0.171657
1047,-0.184651,0.170751
1048,-0.184006,0.17099
1049,-0.18531,0.169127
1050,-0.181602,0.170886
1051,-0.190439,0.169299
1052,-0.187186,0.173055
1053,-0.182001,0.172183
1054,-0.183351,0.172483
1055,-0.187943,0.169189
1056,-0.18105,0.17237
1057,-0.18105,0.17237
1058,-0.18105,0.17237
1059,-0.185914,0.169365
1060,-0.178941,0.172441
1061,-0.181811,0.16991
1062,-0.181617,0.171311
1063,-0.184507,0.167902
1064,-0.18286,0.168218
1065,-0.183908,0.172677
1066,-0.18737,0.170571
1067,-0.18073,0.169523
