MDTU ,delta_S
804,-0.5246
805,-0.004071
806,0.5729
807,-0.222
808,0.08697
809,0.04971
810,0.176
811,0.7554
812,-0.09571
813,0.6533
814,0.8855
815,0.1394
816,0.2162
817,0.76
818,0.3898
819,-0.4284
820,-0.1118
821,0.4758
822,0.3476
823,0.2541
824,0.9713
825,-0.01071
826,-0.3369
827,-0.2509
828,0.2064
829,-0.8401
830,-0.187
831,0.3092
832,0.1473
833,-0.3647
834,-0.0794
835,-0.08482
836,0.3372
837,0.2081
838,0.5414
839,0.2476
840,0.3742
841,-0.449
842,0.1328
843,-0.1751
844,0.3396
845,-0.2444
846,-0.5842
847,-0.8118
848,0.07845
849,0.07362
850,-0.06512
851,-0.1112
852,0.1259
853,-0.2407
854,0.06686
855,-0.2993
856,-0.5403
857,0.356
858,0.4233
859,0.2689
860,0.134
861,0.1257
862,-0.5314
863,-0.8461
864,-0.2487
865,0.7305
866,-0.2502
867,0.1534
868,-0.0125
869,0.09998
870,0.2677
871,0.2613
872,1.052
873,0.6389
874,0.3583
875,-0.4847
876,-0.2922
877,-0.574
878,0.5037
879,0.3843
880,0.3364
881,0.3951
882,0.09383
883,0.1349
884,-0.4443
885,-0.1951
886,-0.8226
887,1.171
888,0.4225
889,-0.09633
890,-0.3901
891,0.3937
892,-0.4555
893,0.03218
894,-0.3742
895,1.158
896,0.3749
897,0.5406
898,0.2406
899,-0.3712
900,-0.4232
901,-0.1884
902,-0.8488
903,-0.08341
904,0.6006
905,-0.6943
906,0.901
907,-0.1739
908,0.3031
909,-0.3425
910,1.02
911,-0.5055
912,-0.7739
913,0.2667
914,-0.1245
915,-0.2461
916,-0.03662
917,-0.1275
918,-0.216
919,-0.3877
920,-0.2859
921,0.1408
922,0.1952
923,-0.01548
924,-0.2857
925,-0.6232
926,-0.6412
927,0.1207
928,0.1214
929,-0.001582
930,-0.1677
931,-0.1132
932,1.024
933,-0.159
934,0.2456
935,-0.894
936,-0.9623
937,0.04095
938,-0.1124
939,0.127
940,-0.2201
941,0.6262
942,0.4833
943,-0.4711
944,-0.8512
945,-0.4321
946,0.2467
947,0.1083
948,0.2179
949,-0.3033
950,0.1716
951,0.6333
952,0.1824
953,0.5495
954,0.705
955,0.8322
956,-0.1464
957,0.1368
958,0.5367
959,-0.253
960,0.1144
961,0.5757
962,0.4399
963,0.05991
964,-0.03599
965,0.6983
966,-0.3243
967,-0.2133
968,-0.07624
969,0.06127
970,0.4595
971,0.1061
972,-0.04031
973,0.734
974,0.05506
975,0.06931
976,0.4799
977,0.2277
978,0.1202
979,0.07045
980,-0.2909
981,0.1626
982,-0.3329
983,0.8732
984,-0.8338
985,-1.038
986,-0.04606
987,0.1259
988,0.1728
989,-0.4039
990,0.4094
991,0.7333
992,0.1956
993,-0.366
994,-0.5056
995,-0.6554
996,0.1481
997,-0.1195
998,-0.5778
999,0.4716
1000,-0.4993
1001,1.263
1002,-0.176
1003,-0.04959
1004,0.1698
1005,0.7591
1006,1.023
1007,-0.02691
1008,0.1778
1009,-0.1383
1010,-0.03379
1011,0.5416
1012,0.3487
1013,-0.5335
1014,0.497
1015,0.07014
1016,0.9035
1017,0.1166
1018,-0.5768
1019,0.5061
1020,0.1909
1021,0.1378
1022,0.05534
1023,0.9512
1024,0.3187
1025,0.1277
1026,1.076
1027,0.5091
1028,0.4593
1029,0.421
1030,-0.3209
1031,-0.04611
1032,-0.5454
1033,0.5502
1034,0.35
1035,-0.1846
1036,-0.07429
1037,0.4791
1038,0.1732
1039,0.3633
1040,-1.008
1041,0.03737
1042,0.9698
1043,0.02127
1044,-0.2634
1045,0.2934
1046,0.222
1047,-0.1453
1048,0.6525
1049,0.1443
1050,-0.43
1051,-0.5711
1052,0.1116
1053,-1.096
1054,0.6704
1055,-0.4226
1056,0.5976
1057,-0.3988
1058,0.329
1059,0.04929
1060,0.1918
1061,0.3243
1062,0.2991
1063,0.06096
1064,-0.5291
1065,-0.3251
1066,0.04744
1067,0.3453
1068,0.09003
1069,0.006465
1070,-0.07979
1071,-0.4617
1072,-0.04434
1073,0.294
1074,-0.004292
1075,0.636
1076,-0.5064
1077,0.1133
1078,0.3156
1079,0.2592
1080,0.1519
1081,-0.4109
1082,0.8604
1083,0.5013
1084,-0.005657
1085,0.3194
1086,-0.9126
1087,0.8056
1088,0.3538
1089,0.4024
1090,-0.5776
1091,0.2251
1092,0.6465
1093,-0.1702
1094,-0.2918
1095,0.1284
1096,-0.3696
1097,0.1284
1098,0.5814
1099,-0.3428
1100,0.02558
1101,-0.3738
1102,0.5084
1103,-0.5176
1104,-0.2592
1105,0.2919
1106,0.983
1107,0.9799
1108,0.2222
1109,0.216
1110,-0.2316
1111,0.4054
1112,0.1751
1113,-0.1076
1114,-0.5309
1115,-0.1736
1116,0.6627
1117,0.4897
1118,-0.3229
1119,-0.4301
1120,0.2885
1121,0.3093
1122,-0.4942
1123,-0.5816
1124,0.3774
1125,0.2311
1126,0.5926
1127,-0.1959
1128,-0.1044
1129,0.3318
1130,0.5849
1131,0.6238
1132,0.00162
1133,0.3186
1134,0.1693
1135,0.2696
1136,-0.4676
1137,0.1936
1138,0.5699
1139,-0.7517
1140,-0.06764
1141,-0.8109
1142,-0.692
1143,0.659
1144,-0.4665
1145,0.7696
1146,0.8034
1147,0.6144
1148,-0.3796
1149,-0.5888
1150,0.1077
1151,0.1481
1152,0.4084
1153,0.9619
1154,0.1509
1155,-0.7689
1156,0.4202
1157,-0.1578
1158,0.4015
1159,-0.5487
1160,-0.08008
1161,0.2987
1162,-0.5177
1163,-0.2306
1164,-0.1872
1165,0.5827
1166,1.028
1167,0.1336
1168,-0.2722
1169,-0.001244
1170,-0.4619
1171,-0.1754
1172,-0.5385
