MDTU,min_width,max_width
528,0.167544,0.102137
529,0.164471,0.10397
530,0.164471,0.10397
531,0.167427,0.10189
532,0.16556,0.100439
533,0.169025,0.10205
534,0.166493,0.102509
535,0.17023,0.103281
536,0.16709,0.102835
537,0.169376,0.102999
538,0.170829,0.101442
539,0.171604,0.103275
540,0.170059,0.103742
541,0.167404,0.101642
542,0.163171,0.101778
543,0.164466,0.10145
544,0.164503,0.101628
545,0.166136,0.101266
546,0.165053,0.101795
547,0.165082,0.103421
548,0.168287,0.103869
549,0.167001,0.10396
550,0.167001,0.10396
551,0.165339,0.101212
552,0.163959,0.101131
553,0.165729,0.102041
554,0.166005,0.100584
555,0.162782,0.102271
556,0.163968,0.103128
557,0.169127,0.102786
558,0.16288,0.100383
559,0.162231,0.100666
560,0.163117,0.0992123
561,0.162717,0.100139
562,0.165444,0.100779
563,0.163133,0.100385
564,0.163642,0.100333
565,0.16529,0.100874
566,0.165524,0.101715
567,0.163704,0.101821
568,0.164891,0.104043
569,0.166336,0.101175
570,0.161242,0.101369
571,0.165712,0.102334
572,0.163852,0.102264
573,0.166399,0.103512
574,0.163846,0.100797
575,0.163846,0.100797
576,0.16672,0.103274
577,0.163661,0.101555
578,0.163242,0.101152
579,0.163664,0.100322
580,0.166496,0.101289
581,0.161989,0.101149
582,0.164122,0.102423
583,0.163314,0.100751
584,0.164375,0.102076
585,0.164607,0.098623
586,0.167297,0.102699
587,0.168783,0.102075
588,0.171061,0.102722
589,0.169845,0.099632
590,0.165088,0.101377
591,0.169367,0.102146
592,0.164314,0.10253
593,0.168916,0.102299
594,0.167971,0.10099
595,0.16854,0.101062
596,0.168959,0.0999591
597,0.17125,0.10133
598,0.168743,0.10128
599,0.169703,0.100734
600,0.168833,0.102492
601,0.16358,0.100753
602,0.166124,0.102433
603,0.168058,0.102757
604,0.166702,0.102121
605,0.164329,0.0996542
606,0.165063,0.102123
607,0.163745,0.101002
608,0.162276,0.102045
609,0.163885,0.100282
610,0.171649,0.102763
611,0.166357,0.102919
612,0.172425,0.104094
613,0.169322,0.100753
614,0.166105,0.100356
615,0.167549,0.100674
616,0.165004,0.099978
617,0.164039,0.100647
618,0.16787,0.102955
619,0.16882,0.102644
