MDTU,S_B
810,1.00157
811,0.991717
812,0.990449
813,0.990449
814,0.998867
815,0.997791
816,0.995598
817,0.998521
818,0.993013
819,0.995804
820,0.997236
821,0.998252
822,0.996699
823,0.994443
824,1.0057
825,1.00005
826,0.994805
827,0.994805
828,1.00246
829,1.00035
830,0.9989
831,0.997964
832,1.00299
833,0.998275
834,1.00234
835,0.991134
836,1.00588
837,0.998381
838,0.99377
839,1.00434
840,0.998556
841,0.996719
842,0.993741
843,0.992247
844,0.996217
845,0.998124
846,0.999376
847,1.00158
848,0.998967
849,0.99966
850,0.990867
851,0.988432
852,0.994831
853,0.998722
854,1.00135
855,0.996394
856,0.994969
857,0.988182
858,0.997546
859,0.992414
860,0.995884
861,1.00207
862,0.996668
863,1.00129
864,0.999204
865,0.990477
866,1.00061
867,1.00061
868,0.996322
869,1.00285
870,0.999378
871,0.999378
872,0.999316
873,1.00408
874,0.993232
875,1.00016
876,0.998896
877,0.993571
878,0.990024
879,0.99114
880,0.992322
881,0.997884
882,0.997647
883,0.997525
884,0.991397
885,0.991397
886,1.00123
887,0.996699
888,0.998104
889,0.996717
890,0.994618
891,0.99857
892,0.995969
893,1.00225
894,1.00098
895,1.00079
896,1.00079
897,0.998272
898,0.997061
899,0.993836
900,1.00389
901,0.999282
902,1.00027
903,0.995792
904,0.998536
905,1.00567
906,0.997716
907,1.00454
908,1.00661
909,1.00835
910,1.00355
911,1.0002
912,0.997678
913,0.995386
914,0.996959
915,0.996478
916,1.00134
917,0.99968
918,0.996291
919,0.997671
920,0.994172
921,0.999747
922,1.00541
923,0.996238
924,0.997293
925,0.996662
926,0.989988
927,1.00035
928,0.995199
929,0.995301
930,1.00197
931,0.996817
932,0.998837
933,0.998224
934,1.00165
935,1.00165
936,1.00979
937,1.00125
938,1.00143
939,0.998737
940,0.998546
941,0.996987
942,0.998475
943,0.999745
944,0.998187
945,0.998452
946,0.987867
947,0.992561
948,0.997242
949,1.00302
950,1.00133
951,1.00456
952,0.997537
953,0.996869
954,0.997586
955,0.995211
956,0.988361
957,0.995042
958,0.99293
959,0.99305
960,0.99305
961,0.998932
962,0.986753
963,0.994311
964,0.988854
965,0.995906
966,0.992993
967,0.999692
968,0.998402
969,0.996483
970,0.991773
971,0.995236
972,0.998364
973,0.998968
974,0.987431
975,0.994726
976,0.996823
977,0.995884
978,0.997068
979,0.999978
980,0.990427
981,0.998636
982,0.996911
983,0.99741
984,0.99259
985,1.00007
986,0.993725
987,1.00217
988,1.00217
989,0.993803
990,1.00045
991,0.993216
992,0.997271
993,0.998093
994,1.00094
995,1.00198
996,1.00198
997,0.998952
998,1.00358
999,0.994839
1000,0.998474
1001,0.994815
1002,0.999147
1003,1.00383
1004,0.996986
1005,1.00276
1006,0.991298
1007,0.996765
1008,0.998375
1009,0.994801
1010,0.986189
1011,0.990521
1012,0.995246
1013,0.998567
1014,0.998567
1015,0.984552
1016,0.995107
1017,0.991232
1018,0.991443
1019,0.993832
1020,0.998816
1021,0.99502
1022,0.99716
1023,0.99419
1024,0.990887
1025,0.994103
1026,0.998258
1027,0.999415
1028,1.00138
1029,0.998554
1030,0.997473
1031,0.999341
1032,0.998118
1033,0.998118
1034,0.997861
1035,1.00266
1036,1.00564
1037,0.996793
1038,1.00052
1039,1.00098
1040,0.996868
1041,0.98852
1042,0.98852
1043,0.997421
1044,0.998538
1045,1.00352
1046,0.997243
1047,0.995801
1048,1.00242
1049,0.9979
1050,1.00326
1051,0.99616
1052,0.998291
1053,1.00237
1054,0.993556
1055,0.992976
1056,0.991784
1057,0.991784
1058,0.998372
1059,0.998372
