t,|deltaS|
1295,0.2174
1296,0.1115
1297,0.01917
1298,0.0321
1299,0.05829
1300,0.2013
1301,0.1644
1302,0.006129
1303,0.0109
1304,0.1562
1305,0.09663
1306,0.2039
1307,0.137
1308,0.05502
1309,0.1233
1310,0.05422
1311,0.03295
1312,0.1075
1313,0.07903
1314,0.138
1315,0.03984
1316,0.001513
1317,0.118
1318,0.09794
1319,0.05448
1320,0.1105
1321,0.04766
1322,0.147
1323,0.01941
1324,0.06313
1325,0.1477
1326,0.1735
1327,0.1957
1328,0.1671
1329,0.08963
1330,0.2444
1331,0.2377
1332,0.215
1333,0.1607
1334,0.03558
1335,0.2492
1336,0.1128
1337,0.123
1338,0.1378
1339,0.004029
1340,0.1944
1341,0.07165
1342,0.1009
1343,0.4386
1344,0.1608
1345,0.09633
1346,0.2323
1347,0.06662
1348,0.2001
1349,0.0118
1350,0.2968
1351,0.3212
1352,0.09039
1353,0.02452
1354,0.2273
1355,0.04655
1356,0.0559
1357,0.1281
1358,0.1515
1359,0.238
1360,0.05851
1361,0.05124
1362,0.1003
1363,0.2694
1364,0.03173
1365,0.226
1366,0.08962
1367,0.1931
1368,0.2102
1369,0.1291
1370,0.1519
1371,0.1346
1372,0.1663
1373,0.1144
1374,0.1615
1375,0.03465
1376,0.07932
1377,0.1887
1378,0.005773
1379,0.0008045
1380,0.1088
1381,0.1133
1382,0.2461
1383,0.1836
1384,0.06221
1385,0.2751
1386,0.2157
1387,0.09397
1388,0.2144
1389,0.1224
1390,0.2027
1391,0.1768
1392,0.07078
1393,0.04962
1394,0.1035
1395,0.0673
1396,0.3337
1397,0.1454
1398,0.09425
1399,0.08589
1400,0.1316
1401,0.04989
1402,0.02412
1403,0.1577
1404,0.1032
1405,0.2104
1406,0.2363
1407,0.08646
1408,0.1366
1409,0.1723
1410,0.09527
1411,0.02581
1412,0.0336
1413,0.1675
1414,0.04411
1415,0.07019
1416,0.0543
1417,0.1189
1418,0.05388
1419,0.0405
1420,0.2139
1421,0.08749
1422,0.04061
1423,0.1464
1424,0.07458
1425,0.1054
1426,0.1563
1427,0.000864
1428,0.03728
1429,0.06418
1430,0.07833
1431,0.2217
1432,0.2552
1433,0.1926
1434,0.1755
1435,0.1451
1436,0.04021
1437,0.1579
1438,0.07726
1439,0.08045
1440,0.1364
1441,0.1256
1442,0.1166
1443,0.01948
1444,0.2503
1445,0.2139
1446,0.04044
1447,0.07863
1448,0.05607
1449,0.09755
1450,0.1615
1451,0.07051
1452,0.0005745
1453,0.05361
1454,0.108
1455,0.2262
1456,0.2637
1457,0.1337
1458,0.02607
1459,0.2488
1460,0.04826
1461,0.01881
1462,0.3275
1463,0.2788
1464,0.2511
1465,0.06129
1466,0.2917
1467,0.03324
1468,0.1158
1469,0.1126
1470,0.1977
1471,0.01386
1472,0.01059
1473,0.06492
1474,0.213
1475,0.01702
1476,0.00836
1477,0.3569
1478,0.08131
1479,0.07366
1480,0.01563
1481,0.005659
1482,0.0608
1483,0.1036
1484,0.04529
1485,0.1098
1486,0.172
1487,0.03209
1488,0.09578
1489,0.1065
1490,0.1039
1491,0.2374
1492,0.01206
1493,0.1675
1494,0.2838
1495,0.1976
1496,0.1484
1497,0.01917
1498,0.217
1499,0.0924
1500,0.256
1501,0.08085
1502,0.2155
1503,0.02584
1504,0.03417
1505,0.1115
1506,0.106
1507,0.2316
1508,0.004426
1509,0.3247
1510,0.2695
1511,0.2184
1512,0.04946
1513,0.01502
1514,0.08111
1515,0.312
1516,0.05083
1517,0.002424
1518,0.2028
1519,0.2031
1520,0.1912
1521,0.05531
1522,0.02944
1523,0.01743
1524,0.3335
1525,0.009318
1526,0.3024
1527,0.02949
1528,0.06039
1529,0.2069
1530,0.2392
1531,0.02278
1532,0.2157
1533,0.09066
1534,0.1786
1535,0.2587
1536,0.04592
1537,0.01036
1538,0.1696
1539,0.1234
1540,0.07122
1541,0.3358
1542,0.3315
1543,0.1122
1544,0.1194
1545,0.2135
1546,0.1075
1547,0.08125
1548,0.1949
1549,0.02444
1550,0.2542
1551,0.0887
1552,0.04795
1553,0.1473
1554,0.1398
1555,0.06633
1556,0.2481
1557,0.3734
1558,0.04519
1559,0.07333
1560,0.3177
1561,0.2069
1562,0.2735
1563,0.09359
1564,0.1789
1565,0.05432
1566,0.2574
1567,0.0438
1568,0.1513
1569,0.2806
1570,0.1103
1571,0.08864
1572,0.2153
1573,0.2845
1574,0.1741
1575,0.04934
1576,0.1124
1577,0.09141
1578,0.03442
1579,0.03526
1580,0.08547
1581,0.08057
1582,0.1206
1583,0.1869
1584,0.2971
1585,0.01775
1586,0.1111
1587,0.2217
1588,0.2662
1589,0.07104
1590,0.1041
1591,0.08762
1592,0.05278
1593,0.09213
1594,0.05158
1595,0.03224
1596,0.2708
1597,0.1174
1598,0.07499
1599,0.1758
1600,0.2126
1601,0.01274
1602,0.1708
1603,0.01119
1604,0.09902
1605,0.03345
1606,0.0779
1607,0.1309
1608,0.04434
1609,0.1061
1610,0.2533
1611,0.1283
1612,0.1223
1613,0.0652
1614,0.1068
1615,0.05048
1616,0.1106
1617,0.04462
1618,0.3707
1619,0.08434
1620,0.09964
1621,0.03949
1622,0.08181
1623,0.1332
1624,0.06452
1625,0.003087
1626,0.04071
1627,0.1367
1628,0.1424
1629,0.09665
1630,0.0009288
1631,0.2507
1632,0.02044
1633,0.07851
1634,0.3175
1635,0.1909
1636,0.03612
1637,0.04236
1638,0.01347
1639,0.09406
1640,0.2361
1641,0.386
1642,0.1302
1643,0.0871
1644,0.1088
1645,0.02553
1646,0.02378
1647,0.008789
1648,0.06149
1649,0.06216
1650,0.1046
1651,0.1253
1652,0.3162
1653,0.1444
1654,0.1173
1655,0.009406
1656,0.2121
1657,0.09436
1658,0.03345
1659,0.2116
1660,0.01387
1661,0.006389
1662,0.03914
1663,0.1548
1664,0.2159
1665,0.02729
1666,0.07039
1667,0.05691
1668,0.1052
1669,0.02688
1670,0.03831
1671,0.3694
1672,0.1197
1673,0.2129
1674,0.217
1675,0.09872
1676,0.08758
1677,0.04486
1678,0.07212
1679,0.1043
1680,0.08102
1681,0.1115
1682,0.2553
1683,0.04753
1684,0.1997
1685,0.3007
1686,0.1357
1687,0.2015
1688,0.06105
1689,0.08738
1690,0.09052
1691,0.1114
1692,0.1908
1693,0.1345
1694,0.2239
1695,0.2145
1696,0.02312
1697,0.1472
1698,0.1734
1699,0.06874
1700,0.3872
1701,0.2047
1702,0.3133
1703,0.1689
1704,0.1437
1705,0.105
1706,0.05983
1707,0.06936
1708,0.125
1709,0.3703
1710,0.08145
1711,0.0682
1712,0.2263
1713,0.1412
1714,0.3164
1715,0.3273
1716,0.09168
1717,0.07005
1718,0.2411
1719,0.2854
1720,0.009075
1721,0.1451
1722,0.05421
1723,0.01614
1724,0.06477
1725,0.07386
1726,0.0748
1727,0.116
1728,0.01699
1729,0.006733
1730,0.1733
1731,0.1189
1732,0.1401
1733,0.1528
1734,0.1276
1735,0.04758
1736,0.1876
1737,0.08604
1738,0.07359
1739,0.03649
1740,0.1106
1741,0.08394
1742,0.1046
1743,0.3404
1744,0.2293
1745,0.1094
1746,0.1262
1747,0.1207
1748,0.03463
1749,0.3006
1750,0.1707
1751,0.1158
1752,0.3616
1753,0.06875
1754,0.04079
1755,0.1068
1756,0.002971
1757,0.009213
1758,0.1954
1759,0.09703
1760,0.05267
1761,0.05413
1762,0.1689
1763,0.1082
1764,0.05303
1765,0.2985
1766,0.2364
1767,0.0751
1768,0.2023
1769,0.03977
1770,0.2242
1771,0.07474
1772,0.1888
1773,0.07424
1774,0.01779
1775,0.09973
1776,0.006713
1777,0.1067
1778,0.1686
1779,0.258
1780,0.02943
1781,0.07059
1782,0.1224
1783,0.1327
1784,0.08378
1785,0.1413
1786,0.03127
1787,0.3844
1788,0.005744
1789,0.03859
1790,0.1817
1791,0.3295
1792,0.009414
1793,0.1215
1794,0.1655
1795,0.05335
1796,0.09909
1797,0.06137
1798,0.00246
1799,0.05751
1800,0.1401
1801,0.04219
1802,0.1357
1803,0.0627
1804,0.08016
1805,0.05805
1806,0.1648
1807,0.1069
1808,0.04612
1809,0.3031
1810,0.03467
1811,0.1795
1812,0.09727
1813,0.3082
1814,0.06414
1815,0.1401
1816,0.07742
1817,0.08028
1818,0.1225
1819,0.1181
1820,0.1108
1821,0.09844
1822,0.1259
1823,0.1601
1824,0.03881
1825,0.09209
1826,0.02583
1827,0.1428
1828,0.04012
1829,0.01953
1830,0.1779
1831,0.02589
1832,0.09168
1833,0.113
1834,0.1575
