t,e^(-dS)
1031,1.10338
1032,0.839037
1033,0.715195
1034,0.911549
1035,1.17175
1036,0.881968
1037,1.05441
1038,1.05598
1039,1.09694
1040,1.036
1041,1.21872
1042,0.784585
1043,1.45296
1044,1.01457
1045,0.740892
1046,0.928105
1047,1.34004
1048,0.726658
1049,0.921032
1050,0.996756
1051,0.954784
1052,0.936468
1053,0.921806
1054,0.9526
1055,1.05112
1056,1.20322
1057,0.986818
1058,1.35324
1059,0.713338
1060,0.932981
1061,1.04555
1062,1.09408
1063,0.836608
1064,0.85274
1065,1.10406
1066,0.677395
1067,1.06714
1068,0.944396
1069,0.843412
1070,0.987657
1071,0.709922
1072,1.13281
1073,0.776313
1074,1.10178
1075,1.39236
1076,1.05719
1077,0.947461
1078,0.871709
1079,0.919891
1080,0.841306
1081,1.14568
1082,1.10993
1083,1.01003
1084,0.896372
1085,0.990909
1086,1.19734
1087,0.848572
1088,1.23813
1089,0.742747
1090,0.815381
1091,0.845777
1092,1.21203
1093,0.881262
1094,1.01798
1095,0.821766
1096,0.74297
1097,1.15963
1098,0.940861
1099,0.963377
1100,0.86459
1101,0.768665
1102,1.1284
1103,1.13122
1104,0.904747
1105,0.944944
1106,1.08214
1107,0.900144
1108,0.948181
1109,0.952419
1110,0.963291
1111,1.11227
1112,0.970164
1113,1.34165
1114,0.954488
1115,0.892883
1116,1.0503
1117,0.900775
1118,1.02811
1119,1.16183
1120,1.05025
1121,1.01411
1122,1.39598
1123,0.995673
1124,0.803804
1125,0.936356
1126,1.33189
1127,1.0611
1128,1.28698
1129,1.08148
1130,1.05651
1131,0.768434
1132,0.913602
1133,0.986315
1134,0.983291
1135,0.954526
1136,0.924234
1137,0.929155
1138,0.991608
1139,0.961251
1140,1.16883
1141,0.913639
1142,0.863985
1143,1.25621
1144,0.883203
1145,0.928718
1146,0.913063
1147,0.787257
1148,1.10138
1149,1.01876
1150,0.793898
1151,1.07433
1152,1.04282
1153,1.0899
1154,0.996653
1155,1.0518
1156,0.878008
1157,1.08885
1158,1.28866
1159,0.93629
1160,0.966436
1161,1.05821
1162,0.956418
1163,1.07731
1164,0.961606
1165,0.834352
1166,1.14134
1167,0.883733
1168,0.965422
1169,1.0211
1170,0.931481
1171,1.06167
1172,1.21385
1173,0.862086
1174,0.928347
1175,0.945568
1176,1.04292
1177,1.04
1178,1.25195
1179,0.783879
1180,0.778723
1181,1.15131
1182,0.981739
1183,1.04131
1184,1.07609
1185,0.71878
1186,0.954068
1187,0.852485
1188,1.02262
1189,1.26402
1190,1.22373
1191,0.770666
1192,0.926103
1193,0.996691
1194,1.08678
1195,0.800435
1196,0.960396
1197,0.869967
1198,1.06779
1199,0.845777
1200,0.980199
1201,0.977106
1202,1.06512
1203,0.950668
1204,1.26516
1205,1.12536
1206,1.03064
1207,0.924696
1208,1.22532
1209,1.05573
1210,1.0945
1211,0.849251
1212,1.02834
1213,1.07521
1214,0.891544
1215,0.96466
1216,1.18898
1217,1.04505
1218,1.07048
1219,0.987183
1220,0.884352
1221,0.953487
1222,0.775304
1223,1.13338
1224,1.11327
1225,0.840129
1226,1.15419
1227,0.830274
1228,1.16918
1229,1.15235
1230,0.997205
1231,0.852996
1232,0.833768
1233,0.748638
1234,1.21677
1235,0.841642
1236,1.08653
1237,1.03152
1238,1.02433
1239,0.933821
1240,1.18305
1241,0.89199
1242,0.935728
1243,1.00968
1244,1.04783
1245,0.841222
1246,1.06611
1247,1.07418
1248,0.999071
1249,0.983734
1250,1.01129
1251,0.969766
1252,1.16137
1253,1.09251
1254,1.01108
1255,1.19327
1256,0.853764
1257,1.01355
1258,0.890208
1259,0.94893
1260,1.07568
1261,1.25948
1262,0.848487
1263,1.18958
1264,1.00641
1265,0.995731
1266,0.838283
1267,0.878271
1268,0.910866
1269,0.924437
1270,1.05441
1271,0.760332
1272,1.18164
1273,1.24945
1274,0.843074
1275,0.807268
1276,0.942471
1277,0.954269
1278,0.974891
1279,1.07268
1280,0.854875
1281,0.790413
1282,0.87293
1283,0.999993
1284,1.15604
1285,1.08315
1286,0.965828
1287,0.962848
1288,1.17175
1289,0.891366
1290,0.940334
1291,0.863467
1292,0.768511
1293,0.966581
1294,0.918981
1295,1.24284
1296,0.894491
1297,0.981013
1298,0.96841
