MDTU,plaq_ss,plaq_st
793,1.01743,1.02864
794,1.01065,1.01931
795,1.01065,1.01931
796,1.02431,1.01989
797,1.01011,1.02222
798,1.02042,1.01246
799,1.0216,1.01057
800,1.01253,1.00282
801,1.00654,1.01212
802,1.01284,1.02837
803,1.01768,1.02148
804,0.997621,1.0273
805,1.0149,1.02667
806,1.01832,1.02964
807,1.01729,1.0162
808,1.03725,1.01758
809,1.02516,1.01201
810,1.02089,1.02432
811,1.02882,1.01107
812,1.03587,1.02711
813,1.00874,1.01086
814,1.02723,1.02978
815,1.00915,1.01856
816,1.01813,1.01913
817,1.0255,1.01828
818,1.01559,1.02784
819,1.01095,1.0298
820,1.03426,1.02193
821,1.01244,1.01028
822,1.03162,1.0407
823,1.00212,1.00203
824,1.01832,1.02393
825,1.00063,1.01233
826,1.01488,1.02842
827,1.01488,1.02842
828,1.01704,1.02666
829,1.01749,1.02049
830,1.02134,1.02392
831,1.02134,1.02392
832,1.0127,1.01216
833,1.0199,1.01623
834,1.01609,1.02352
835,1.01284,1.01653
836,1.01819,1.03686
837,1.00575,1.02261
838,1.03349,1.02496
839,1.01656,1.0112
840,1.0139,1.03449
841,1.00617,1.02038
842,1.02386,1.01438
843,1.01011,1.01113
844,1.01761,1.021
845,1.02692,1.00257
846,1.02252,1.02065
847,1.01924,1.01221
848,1.02747,1.012
849,1.0196,1.01939
850,1.02523,1.01178
851,1.00562,1.01575
852,1.02125,1.01573
853,1.02668,1.00127
854,1.04922,1.02771
855,1.00842,1.01517
856,1.03235,1.02308
857,1.02175,1.01792
858,0.999451,1.0151
859,1.03385,1.0212
860,0.993888,1.01085
861,1.00459,1.02341
862,1.01482,1.02506
863,1.0135,1.01244
864,1.01899,1.0278
865,1.01788,1.00104
866,1.03574,1.02528
867,1.03407,1.02257
868,1.02603,1.01445
869,0.994545,1.02059
870,1.04117,1.02145
871,1.04117,1.02145
872,1.01009,1.0169
873,1.01143,1.02403
874,1.02641,1.02317
875,1.04023,1.01393
876,1.02936,1.01571
877,1.02128,1.03835
878,1.0123,1.02119
879,1.03902,1.02587
880,1.03087,1.02346
