t,G,F1,F2,F3
487,0.001471,0.003985,null,null
488,0.00147,0.003997,null,null
489,0.001474,0.00399,null,null
490,0.001472,0.004014,null,null
491,0.001468,0.003999,null,null
492,0.001466,0.004005,null,null
493,0.00147,0.003986,null,null
494,0.001467,0.004012,null,null
495,0.001472,0.004015,null,null
496,0.001472,0.004021,null,null
497,0.001469,0.004013,null,null
498,0.00147,0.003996,null,null
499,0.001465,0.004006,null,null
500,0.001473,0.004012,null,null
501,0.001467,0.003999,null,null
502,0.001471,0.004032,null,null
503,0.001469,0.004012,null,null
504,0.001472,0.003995,null,null
505,0.001466,0.004002,null,null
506,0.001472,0.004012,null,null
507,0.001467,0.003983,null,null
508,0.00147,0.004012,null,null
509,0.001469,0.004024,null,null
510,0.001468,0.003993,null,null
511,0.001464,0.00399,null,null
512,0.001462,0.003987,null,null
513,0.001464,0.00399,null,null
514,0.001469,0.004003,null,null
515,0.00147,0.004017,null,null
516,0.001464,0.003996,null,null
517,0.001473,0.00401,null,null
518,0.001465,0.003994,null,null
519,0.001478,0.003992,null,null
520,0.001471,0.004015,null,null
521,0.001464,0.003998,null,null
522,0.001467,0.003998,null,null
523,0.001472,0.00402,null,null
524,0.001471,0.003991,null,null
525,0.001474,0.004,null,null
526,0.001471,0.004005,null,null
527,0.00147,0.004014,null,null
528,0.001467,0.004003,null,null
529,0.00147,0.004023,null,null
530,0.001465,0.003983,null,null
531,0.001464,0.003992,null,null
532,0.001468,0.003994,null,null
533,0.001466,0.003993,null,null
534,0.001467,0.003987,null,null
535,0.001468,0.003999,null,null
536,0.001477,0.003996,null,null
537,0.00147,0.004009,null,null
538,0.001475,0.004001,null,null
539,0.001477,0.004023,null,null
540,0.001473,0.003996,null,null
541,0.001472,0.003988,null,null
542,0.001462,0.004006,null,null
543,0.001468,0.003986,null,null
544,0.001472,0.003992,null,null
545,0.001464,0.003991,null,null
546,0.001465,0.00399,null,null
547,0.001469,0.003994,null,null
548,0.001467,0.004001,null,null
549,0.001473,0.003989,null,null
550,0.001472,0.004009,null,null
551,0.00147,0.003997,null,null
552,0.001468,0.003978,null,null
553,0.001469,0.004004,null,null
554,0.001462,0.003985,null,null
555,0.001468,0.003991,null,null
556,0.001472,0.004026,null,null
557,0.00147,0.003978,null,null
558,0.001463,0.003996,null,null
559,0.001472,0.004011,null,null
560,0.001464,0.003993,null,null
561,0.00147,0.003982,null,null
562,0.001465,0.003995,null,null
563,0.001475,0.004006,null,null
564,0.001464,0.003978,null,null
565,0.001474,0.003997,null,null
566,0.00147,0.003999,null,null
567,0.001459,0.003999,null,null
568,0.001471,0.004023,null,null
569,0.001463,0.004004,null,null
570,0.001465,0.004018,null,null
571,0.001466,0.004011,null,null
572,0.001469,0.003977,null,null
573,0.001469,0.003949,null,null
574,0.001474,0.004004,null,null
575,0.001472,0.004001,null,null
576,0.001467,0.003989,null,null
577,0.001473,0.004001,null,null
578,0.001475,0.003994,null,null
579,0.001471,0.003989,null,null
580,0.00146,0.003982,null,null
581,0.001463,0.004002,null,null
582,0.001467,0.004012,null,null
583,0.00147,0.004008,null,null
584,0.001469,0.003997,null,null
585,0.001467,0.003997,null,null
586,0.001467,0.003997,null,null
587,0.001473,0.003998,null,null
588,0.001469,0.003981,null,null
589,0.001468,0.003991,null,null
590,0.001474,0.004015,null,null
591,0.001468,0.003985,null,null
592,0.001471,0.004009,null,null
593,0.001481,0.004021,null,null
594,0.00148,0.004029,null,null
595,0.00147,0.004008,null,null
596,0.001472,0.004009,null,null
597,0.00147,0.003994,null,null
598,0.001471,0.003988,null,null
599,0.001466,0.004022,null,null
600,0.001466,0.004016,null,null
601,0.001465,0.004001,null,null
602,0.001465,0.004019,null,null
603,0.001474,0.004005,null,null
604,0.001465,0.00399,null,null
605,0.001464,0.003994,null,null
606,0.001463,0.004009,null,null
607,0.001472,0.003997,null,null
608,0.001469,0.004005,null,null
609,0.00147,0.003996,null,null
610,0.001466,0.003991,null,null
611,0.001467,0.003993,null,null
612,0.001467,0.004001,null,null
613,0.001465,0.003993,null,null
614,0.001468,0.004001,null,null
615,0.001466,0.003983,null,null
616,0.001467,0.003987,null,null
617,0.001468,0.003987,null,null
618,0.001475,0.004002,null,null
619,0.001468,0.004005,null,null
620,0.001476,0.003995,null,null
621,0.001472,0.003999,null,null
622,0.001467,0.003998,null,null
623,0.001465,0.003996,null,null
624,0.001465,0.003985,null,null
625,0.001465,0.003986,null,null
626,0.001472,0.003998,null,null
627,0.001468,0.004005,null,null
628,0.001468,0.004,null,null
629,0.001469,0.004011,null,null
630,0.00147,0.004,null,null
631,0.001468,0.004018,null,null
632,0.001464,0.003997,null,null
633,0.001468,0.004021,null,null
634,0.001471,0.004012,null,null
635,0.001472,0.004005,null,null
636,0.001473,0.004011,null,null
637,0.001474,0.004002,null,null
638,0.001476,0.004003,null,null
639,0.001473,0.003988,null,null
640,0.001471,0.004004,null,null
641,0.001476,0.004021,null,null
642,0.001472,0.003989,null,null
643,0.001471,0.004012,null,null
644,0.001469,0.003998,null,null
645,0.001471,0.003999,null,null
646,0.001478,0.004,null,null
647,0.001472,0.003996,null,null
648,0.001474,0.003988,null,null
649,0.00147,0.004008,null,null
650,0.001475,0.004012,null,null
651,0.001471,0.003975,null,null
652,0.001474,0.004006,null,null
653,0.001467,0.003995,null,null
654,0.001469,0.00399,null,null
655,0.001463,0.004024,null,null
656,0.001468,0.004014,null,null
657,0.001468,0.004003,null,null
658,0.001468,0.004,null,null
659,0.001479,0.003993,null,null
660,0.001465,0.004001,null,null
661,0.001466,0.004026,null,null
662,0.001466,0.004001,null,null
663,0.001474,0.004002,null,null
664,0.001469,0.003997,null,null
665,0.001467,0.004006,null,null
666,0.001468,0.004,null,null
667,0.001466,0.004018,null,null
668,0.001472,0.004004,null,null
669,0.001467,0.004011,null,null
670,0.001467,0.003999,null,null
671,0.00147,0.003993,null,null
672,0.001465,0.003994,null,null
673,0.001464,0.003991,null,null
674,0.001471,0.004017,null,null
675,0.001469,0.004026,null,null
676,0.001471,0.004005,null,null
677,0.001472,0.004013,null,null
678,0.001473,0.003996,null,null
679,0.001471,0.004001,null,null
680,0.001469,0.004004,null,null
681,0.001472,0.004009,null,null
682,0.001469,0.004013,null,null
683,0.001471,0.004017,null,null
684,0.001472,0.003978,null,null
685,0.001467,0.00399,null,null
686,0.00147,0.00398,null,null
687,0.001468,0.003984,null,null
688,0.001468,0.003986,null,null
689,0.001471,0.003998,null,null
690,0.001469,0.003982,null,null
691,0.001477,0.003997,null,null
692,0.001475,0.003994,null,null
693,0.001475,0.00399,null,null
694,0.001469,0.003995,null,null
695,0.001471,0.004002,null,null
696,0.001472,0.003993,null,null
697,0.001471,0.003997,null,null
698,0.001468,0.004006,null,null
699,0.001473,0.004015,null,null
700,0.001466,0.003999,null,null
701,0.001478,0.003997,null,null
702,0.001469,0.003987,null,null
703,0.001467,0.004,null,null
704,0.001471,0.004032,null,null
705,0.001471,0.004001,null,null
706,0.001469,0.003974,null,null
707,0.001472,0.004005,null,null
708,0.001469,0.00399,null,null
709,0.00147,0.004002,null,null
710,0.001472,0.003998,null,null
711,0.001475,0.003989,null,null
712,0.001476,0.004001,null,null
713,0.001471,0.003994,null,null
714,0.001469,0.003999,null,null
715,0.001469,0.003981,null,null
716,0.001471,0.004006,null,null
717,0.001465,0.003994,null,null
718,0.001474,0.004006,null,null
719,0.001465,0.003998,null,null
720,0.00147,0.004003,null,null
721,0.001476,0.004011,null,null
722,0.001472,0.003983,null,null
723,0.001464,0.003996,null,null
724,0.001472,0.003983,null,null
725,0.001468,0.004016,null,null
726,0.001474,0.004003,null,null
727,0.001468,0.004008,null,null
728,0.001472,0.004023,null,null
729,0.001465,0.004009,null,null
730,0.001468,0.003994,null,null
731,0.001469,0.00398,null,null
732,0.001464,0.004018,null,null
733,0.001471,0.003991,null,null
734,0.001471,0.004014,null,null
735,0.001474,0.004007,null,null
736,0.001468,0.003997,null,null
737,0.00147,0.00399,null,null
738,0.001466,0.003991,null,null
739,0.001476,0.004013,null,null
740,0.001477,0.004002,null,null
741,0.001468,0.003979,null,null
742,0.001467,0.003998,null,null
743,0.001467,0.003991,null,null
744,0.001471,0.00401,null,null
745,0.001471,0.004016,null,null
746,0.001474,0.004012,null,null
747,0.001469,0.004013,null,null
748,0.00147,0.004002,null,null
749,0.001473,0.004005,null,null
750,0.001472,0.003987,null,null
751,0.001471,0.004008,null,null
752,0.001469,0.003986,null,null
753,0.001475,0.004008,null,null
754,0.001471,0.004016,null,null
755,0.001468,0.00401,null,null
756,0.00147,0.004002,null,null
757,0.00147,0.004003,null,null
758,0.001464,0.003993,null,null
759,0.001465,0.003978,null,null
760,0.001469,0.004002,null,null
761,0.001466,0.003983,null,null
762,0.001466,0.003985,null,null
763,0.00147,0.00399,null,null
764,0.001469,0.004012,null,null
765,0.001468,0.003981,null,null
766,0.001469,0.00398,null,null
767,0.001468,0.004015,null,null
768,0.001467,0.003997,null,null
769,0.001468,0.004004,null,null
770,0.001474,0.004024,null,null
771,0.001479,0.004016,null,null
772,0.001466,0.00399,null,null
773,0.001466,0.003984,null,null
774,0.001462,0.004008,null,null
775,0.001464,0.004002,null,null
776,0.001469,0.004003,null,null
777,0.001469,0.003984,null,null
778,0.001469,0.004012,null,null
779,0.001467,0.004003,null,null
780,0.001473,0.004006,null,null
781,0.001465,0.003999,null,null
782,0.00147,0.004006,null,null
783,0.001467,0.004006,null,null
784,0.00147,0.00401,null,null
785,0.001471,0.003995,null,null
786,0.001467,0.003989,null,null
787,0.001471,0.004007,null,null
788,0.001469,0.003998,null,null
789,0.001464,0.003979,null,null
790,0.001468,0.00401,null,null
791,0.001463,0.003993,null,null
792,0.001465,0.004009,null,null
