ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
-0.114841,null,-0.0442796,null,null
-0.087282,-0.0468297,null,null,null
-0.15462,null,-0.00270541,null,null
0.0259823,-0.061559,null,null,null
-0.132076,null,0.0424986,null,null
0.072499,-0.0790245,null,null,null
-0.191489,null,0.077496,null,null
0.0258457,-0.054599,null,null,null
-0.151466,null,0.080963,null,null
0.0800695,-0.0894685,null,null,null
-0.142709,null,0.099484,null,null
0.130397,-0.120176,null,null,null
-0.072881,null,0.075966,null,null
0.134244,-0.135631,null,null,null
-0.167349,null,0.077538,null,null
0.107154,-0.224634,null,null,null
-0.202817,null,0.167981,null,null
0.22212,-0.244207,null,null,null
-0.165371,null,0.121179,null,null
0.0575435,-0.236507,null,null,null
-0.124593,null,0.148036,null,null
0.142339,-0.275588,null,null,null
-0.0681225,null,0.121383,null,null
0.126037,-0.332031,null,null,null
-0.0252289,null,0.110346,null,null
0.098293,-0.318001,null,null,null
-0.058153,null,0.0731095,null,null
0.227728,-0.339286,null,null,null
-0.0127125,null,-0.0439183,null,null
0.202648,-0.165647,null,null,null
0.0163569,null,-0.0355132,null,null
0.272301,-0.21367,null,null,null
0.0160278,null,-0.0415675,null,null
0.315866,-0.143461,null,null,null
-0.0196421,null,-0.029435,null,null
0.315866,-0.143461,null,null,null
-0.0196421,null,-0.029435,null,null
0.274031,-0.099134,null,null,null
-0.120642,null,0.0407361,null,null
0.289423,-0.149208,null,null,null
-0.112225,null,0.066175,null,null
0.264887,-0.174102,null,null,null
-0.220491,null,0.125811,null,null
0.259682,-0.11091,null,null,null
-0.185096,null,0.0832565,null,null
0.167433,-0.130346,null,null,null
-0.26304,null,0.15887,null,null
0.23545,-0.150926,null,null,null
-0.172549,null,0.116628,null,null
0.242776,-0.12667,null,null,null
-0.164279,null,0.0646615,null,null
0.265284,-0.129707,null,null,null
