MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
3120,	0.771239,0.000685024,0.769921,-0.00131741
3130,	0.761611,0.000518069,0.716176,-0.045435
3140,	0.768683,-0.000376369,0.757889,-0.0107939
3150,	0.766384,0.00183267,0.768115,0.00173153
3160,	0.769121,-0.0012311,0.707469,-0.0616525
3170,	0.766798,-0.00227047,0.786458,0.0196594
3180,	0.766765,-0.000187782,0.767578,0.000812871
3190,	0.774835,-0.00270147,0.694546,-0.0802882
3200,	0.773579,-5.19416e-06,0.805115,0.031536
3210,	0.771911,-0.000201209,0.71076,-0.061151
3220,	0.76876,0.000793936,0.72498,-0.0437797
3230,	0.765087,-0.0012579,0.791653,0.0265663
3240,	0.767649,0.00283612,0.722463,-0.0451867
3250,	0.768507,7.83153e-05,0.765501,-0.00300596
3260,	0.767166,-0.00142371,0.743293,-0.0238726
3270,	0.768764,2.10569e-05,0.767378,-0.00138586
3280,	0.765212,0.0031435,0.75554,-0.00967183
3290,	0.770949,-0.000783258,0.670259,-0.10069
3300,	0.766268,-0.0013471,0.745743,-0.0205257
3310,	0.76803,0.00165492,0.798504,0.0304737
3320,	0.764025,-0.00115735,0.710763,-0.0532618
3330,	0.766253,0.000449231,0.739596,-0.0266568
3340,	0.768227,0.000318584,0.787349,0.0191219
3350,	0.762547,-0.000873489,0.669372,-0.0931748
3360,	0.769409,-0.00220632,0.734357,-0.0350526
3370,	0.767116,-0.000609319,0.723102,-0.0440146
3380,	0.771556,-2.31711e-05,0.702433,-0.0691233
3390,	0.766356,-0.000406533,0.740634,-0.0257212
3400,	0.769196,0.00149039,0.76171,-0.00748662
3410,	0.764008,0.00302149,0.803407,0.0393987
3420,	0.76312,0.000749092,0.716889,-0.0462311
3430,	0.767077,-0.000969049,0.805954,0.0388775
3440,	0.766501,-0.000691473,0.818194,0.051693
3450,	0.765371,0.00200905,0.720007,-0.0453639
3460,	0.766821,0.00134263,0.714934,-0.0518877
3470,	0.764569,-0.00226533,0.755924,-0.00864505
3480,	0.763314,0.00328291,0.754009,-0.00930466
3490,	0.771965,-0.000941964,0.774625,0.00266052
3500,	0.769077,-0.00129864,0.761464,-0.00761341
3510,	0.772064,-0.00203843,0.684677,-0.0873869
3520,	0.768484,0.00076238,0.755284,-0.0131996
3530,	0.768112,-0.00241453,0.740621,-0.0274909
3540,	0.772581,0.00120972,0.688494,-0.084087
3550,	0.770777,0.00223964,0.724842,-0.0459348
3560,	0.770011,0.00152382,0.628528,-0.141483
3570,	0.772959,-0.000643285,0.75459,-0.0183694
3580,	0.772991,-0.00126547,0.715502,-0.0574892
3590,	0.766162,-0.00366542,0.805093,0.038931
3600,	0.77018,0.000148988,0.710535,-0.0596451
3610,	0.768872,-0.00330899,0.799865,0.0309925
3620,	0.768459,0.00145411,0.722326,-0.0461334
3630,	0.763127,-0.000958289,0.724188,-0.0389394
3640,	0.761542,0.00311667,0.783974,0.0224319
3650,	0.76875,0.000930967,0.668923,-0.0998275
3660,	0.768628,0.0039982,0.727346,-0.0412825
3670,	0.773563,-0.0023098,0.826601,0.0530376
3680,	0.765465,0.0022656,0.730432,-0.0350325
3690,	0.769865,-0.00208724,0.741376,-0.0284884
3700,	0.765809,-0.0014465,0.742155,-0.0236538
3710,	0.765691,-0.000852434,0.793707,0.0280158
3720,	0.77535,0.00141737,0.767816,-0.0075344
3730,	0.768831,-0.000923228,0.746548,-0.0222825
3740,	0.765994,0.00542177,0.809236,0.0432424
3750,	0.768839,-0.0021724,0.67131,-0.097529
3760,	0.767685,0.000488624,0.733826,-0.0338586
3770,	0.767664,0.00309093,0.771801,0.00413701
3780,	0.763465,0.000416082,0.743718,-0.0197472
3790,	0.773408,0.00324418,0.791673,0.0182645
3800,	0.76765,0.00452525,0.726562,-0.0410885
3810,	0.769953,-0.00315879,0.751799,-0.0181542
3820,	0.77118,0.00324096,0.74635,-0.0248293
3830,	0.765344,0.00117575,0.747979,-0.0173648
3840,	0.768984,-0.00316121,0.740505,-0.0284789
3850,	0.764637,0.00120441,0.821161,0.0565241
3860,	0.769054,-0.000400327,0.73788,-0.031174
3870,	0.764555,-0.00255403,0.738767,-0.0257881
3880,	0.764727,-0.000769914,0.693977,-0.0707496
3890,	0.769604,-0.000189454,0.677255,-0.0923485
3900,	0.761782,0.000921552,0.774538,0.0127562
3910,	0.771204,-0.00286772,0.715692,-0.0555112
3920,	0.770135,-6.45229e-05,0.712733,-0.0574026
3930,	0.768787,-7.21784e-06,0.756488,-0.0122984
3940,	0.767416,0.00197999,0.742827,-0.0245894
3950,	0.768951,0.00047376,0.7421,-0.0268516
3960,	0.765097,0.000857978,0.812868,0.0477708
3970,	0.764515,-0.00249532,0.77784,0.0133246
3980,	0.766996,-0.000583373,0.755161,-0.0118345
3990,	0.766518,-0.00196456,0.700064,-0.0664537
4000,	0.767496,-0.000975736,0.714605,-0.0528909
4010,	0.765307,0.00140192,0.777838,0.0125308
4020,	0.76833,0.00182731,0.800861,0.0325306
4030,	0.762853,0.00205453,0.797711,0.0348576
4040,	0.768346,0.00269033,0.778151,0.00980467
4050,	0.775376,-0.0013056,0.672283,-0.103093
