MDTU,S_F
1092,0.999406
1093,1.00525
1094,1.00048
1095,1.00321
1096,1.00185
1097,0.999658
1098,1.00127
1099,1.00012
1100,1.00362
1101,0.997051
1102,1.0037
1103,1.00252
1104,1.0036
1105,0.997262
1106,0.997798
1107,1.00467
1108,1.00371
1109,0.998797
1110,1.00273
1111,1.00002
1112,0.998414
1113,1.00443
1114,1.00144
1115,1.0025
1116,1.00104
1117,0.996801
1118,0.99998
1119,0.997291
1120,0.997322
1121,1.00152
1122,0.99874
1123,0.999748
1124,1.00443
1125,0.997967
1126,0.998957
1127,0.994619
1128,1.00128
1129,1.00255
1130,1.00469
1131,1.00375
1132,1.00307
1133,1.00261
1134,0.998046
1135,0.995473
1136,1.00124
1137,1.0027
1138,1.00123
1139,0.994841
1140,0.998175
1141,0.999005
1142,1.00113
1143,0.999696
1144,1.0002
1145,0.995956
1146,0.999817
1147,0.99905
1148,0.998628
1149,1.00356
1150,0.998261
1151,1.00221
1152,1.00504
1153,0.999735
1154,0.995066
1155,1.00436
1156,1.00524
1157,0.999572
1158,0.998954
1159,0.997774
1160,1.0029
1161,1.00139
1162,1.00121
1163,0.99814
1164,0.999364
1165,1.00353
1166,1.00212
1167,1.00095
1168,0.994106
1169,1.00155
1170,0.999316
1171,1.00179
1172,0.999431
1173,0.998798
1174,1.00376
1175,1.00056
1176,0.996979
1177,0.99388
1178,1.00038
1179,0.995183
1180,0.998884
1181,0.997856
1182,0.994356
1183,0.999418
1184,1.00044
1185,1.00052
1186,1.00429
1187,1.00033
1188,0.999474
1189,0.997281
1190,0.998073
1191,1.00107
1192,1.00276
1193,1.00266
1194,1.00002
1195,0.999662
1196,0.998897
1197,1.00255
1198,1.00139
1199,1.00322
1200,0.998972
1201,1.00399
1202,0.999055
1203,1.00105
1204,0.997755
1205,1.00294
1206,1.0016
1207,1.00159
1208,1.00069
1209,0.992873
1210,0.999315
1211,1.0037
1212,1.00045
1213,1.001
1214,0.999022
1215,0.998078
1216,1.0039
1217,1.00547
1218,1.00344
1219,1.00176
1220,0.996018
1221,1.00208
1222,0.999423
1223,1.00013
1224,1.00017
1225,1.00439
1226,0.999501
1227,0.995803
1228,1.00099
1229,0.996878
1230,0.998592
1231,1.00173
1232,1.00033
1233,0.993365
1234,0.998703
1235,0.99845
1236,0.998444
1237,0.998398
1238,0.997956
1239,0.999362
1240,1.00097
1241,1.00369
1242,0.998622
1243,0.996823
1244,0.992468
1245,0.999792
1246,1.00227
1247,1.00094
1248,1.00306
1249,1.00019
1250,0.993972
1251,0.994708
1252,0.998769
1253,0.99958
1254,0.995
1255,1.00113
1256,0.998003
1257,0.996689
1258,0.999288
1259,0.997876
1260,1.00076
1261,0.995079
1262,1.00322
1263,0.996217
1264,1.00037
1265,1.00159
1266,0.998649
1267,1.00335
1268,1.0002
1269,1.00093
1270,0.999621
1271,0.999599
1272,1.00037
1273,0.999806
1274,0.998032
1275,1.00216
1276,0.999832
1277,0.999896
1278,1.00271
1279,1.00349
1280,1.00114
1281,1.00212
1282,1.00215
1283,0.994781
1284,1.0031
1285,1.00292
1286,0.998841
1287,0.999823
1288,0.994224
1289,1.00285
1290,1.00047
1291,0.999356
1292,0.999226
1293,1.00335
1294,0.992319
1295,0.994177
1296,1.00233
1297,1.00358
1298,1.0039
1299,1.00642
1300,0.996314
1301,0.991981
1302,1.0055
1303,0.999056
1304,0.997281
1305,1.00126
1306,0.99833
1307,1.00168
1308,1.00754
1309,1.00064
1310,1.00415
1311,1.00015
1312,1.00278
1313,0.999993
1314,1.00057
1315,0.997927
1316,1.00016
1317,0.994576
1318,1.00419
1319,0.995344
1320,0.995054
1321,1.0043
1322,0.996198
1323,0.99764
1324,0.99687
1325,1.00139
1326,1.00264
1327,0.996596
1328,1.00103
1329,0.99756
1330,0.999284
1331,0.99758
1332,1.00088
1333,0.99698
1334,1.00123
1335,1.00613
1336,0.998248
1337,1.00277
1338,1.00158
1339,1.00122
1340,0.999378
1341,1.00271
1342,0.99812
1343,1.00046
1344,1.0006
1345,1.00178
1346,1.00667
1347,0.999485
1348,0.997036
1349,0.99835
1350,1.00331
1351,1.00361
1352,1.00066
1353,0.999842
1354,1.00491
1355,1.00293
1356,0.996435
1357,1.00121
1358,1.0014
1359,0.998957
1360,1.00311
1361,1.00312
1362,0.99764
1363,1.00161
1364,1.00118
1365,1.0068
1366,1.00459
1367,0.996641
1368,0.99761
1369,0.998119
1370,0.996509
1371,0.999648
1372,1.00235
1373,1.00229
1374,1.00283
1375,1.0036
1376,1.00048
1377,0.998865
1378,0.995615
1379,1.00258
1380,0.997281
1381,1.0008
1382,1.00215
1383,1.00126
1384,0.998731
1385,0.998778
1386,1.00117
1387,1.0035
1388,0.99979
1389,1.00132
1390,1.001
