t,cg_iters
1748,4812
1749,4748
1750,4838
1751,5001
1752,4867
1753,4833
1754,4860
1755,4769
1756,4843
1757,4690
1758,4676
1759,4488
1760,4536
1761,4649
1762,4577
1763,4576
1764,4728
1765,4665
1766,4670
1767,4804
1768,4683
1769,4480
1770,4556
1771,4727
1772,4653
1773,4796
1774,4752
1775,4752
1776,4605
1777,4630
1778,4673
1779,4819
1780,4702
1781,4664
1782,4630
1783,4668
1784,4776
1785,4931
1786,5079
1787,5017
1788,5018
1789,5054
1790,4846
1791,5054
1792,5426
1793,5407
1794,5291
1795,5344
1796,5247
1797,5322
1798,5298
1799,5418
1800,5048
1801,4970
1802,4920
1803,4952
1804,4793
1805,4769
1806,4815
1807,4912
1808,5062
1809,4927
1810,5061
1811,4961
1812,5190
1813,4956
1814,5130
1815,5252
1816,5274
1817,5137
1818,5274
1819,5390
1820,5588
1821,5682
1822,5473
1823,5294
1824,5740
1825,5569
1826,5365
1827,5097
1828,5135
1829,5133
1830,5362
1831,5142
1832,5090
1833,4944
1834,4765
1835,4780
1836,4671
1837,4638
1838,4616
1839,4610
1840,4555
1841,4599
1842,4618
1843,4902
1844,4955
1845,4891
1846,4784
1847,4975
1848,5134
1849,5242
1850,5677
1851,5492
1852,5066
1853,5151
1854,5226
1855,5448
1856,5590
1857,5544
1858,5286
1859,5028
1860,5139
1861,5122
1862,5182
1863,5092
1864,5399
1865,5285
1866,5374
1867,5332
1868,5195
1869,5289
1870,5353
1871,5433
1872,5398
1873,5101
1874,5099
1875,4948
1876,5017
1877,5194
1878,5094
1879,5329
1880,5505
1881,5411
1882,5410
1883,5221
1884,5275
1885,5649
1886,5527
1887,5579
1888,5112
1889,5145
1890,5172
1891,5230
1892,5304
1893,5204
1894,5502
1895,5723
1896,5704
1897,5530
1898,5470
1899,5297
1900,5263
1901,5190
1902,5123
1903,5197
1904,5148
1905,5273
1906,5383
1907,5371
1908,5455
1909,5588
1910,5848
1911,5795
1912,5336
1913,5610
1914,5679
1915,5494
1916,5724
1917,6082
1918,6178
1919,5792
1920,5997
1921,5917
1922,6043
1923,5996
1924,6152
1925,5755
1926,5963
1927,6029
1928,5857
1929,5618
1930,5608
1931,5750
1932,5673
1933,5708
1934,5668
1935,5669
1936,5652
1937,5369
1938,5192
1939,5340
1940,5321
1941,5244
1942,5306
1943,5371
1944,5314
1945,5443
1946,5177
1947,5202
1948,5241
1949,5399
1950,5123
1951,5267
1952,5263
1953,5162
1954,5338
1955,5399
1956,5501
1957,5577
1958,5671
1959,5620
1960,5476
1961,5431
1962,5921
1963,5982
1964,5893
1965,6167
1966,6046
1967,6104
1968,5987
1969,5829
1970,6043
1971,6036
1972,6242
1973,5896
1974,5820
1975,5609
1976,6031
1977,6069
1978,6206
1979,5970
1980,5911
1981,5610
1982,5572
1983,5310
1984,5505
1985,5874
1986,5953
1987,6069
1988,6048
1989,5765
1990,5760
1991,5775
1992,5862
1993,5842
1994,5915
1995,6051
1996,5912
1997,6159
1998,6301
1999,5947
2000,5874
2001,5853
2002,5707
2003,5521
2004,5385
2005,5559
2006,5676
2007,5551
2008,5477
2009,5661
2010,5680
2011,5457
2012,5280
2013,5323
2014,5286
2015,5192
2016,5288
2017,5388
2018,5331
2019,5489
2020,5480
2021,5491
2022,5664
2023,5591
2024,5528
2025,5596
2026,5573
2027,5605
2028,5666
2029,5523
2030,5665
2031,5547
2032,5373
2033,5261
2034,5262
2035,5289
2036,5438
2037,5354
2038,5342
2039,5296
2040,5170
2041,5248
2042,5123
2043,5269
2044,5169
2045,4980
2046,4857
2047,4934
2048,5032
2049,5040
2050,5162
2051,5224
2052,5143
2053,5185
2054,4945
2055,5185
2056,5361
2057,5029
2058,5025
2059,4907
2060,4786
2061,4905
2062,4831
2063,4872
2064,4975
2065,5060
2066,4938
2067,4795
2068,4920
2069,4978
2070,5074
2071,4941
2072,4753
2073,4744
2074,4756
2075,4853
2076,4926
2077,4810
2078,4908
2079,4800
2080,4975
2081,5365
2082,5193
2083,4927
2084,4817
2085,4884
2086,4877
2087,4770
2088,4931
2089,5106
2090,5418
2091,5672
2092,5544
2093,5389
2094,5520
2095,5878
2096,5806
2097,5321
2098,5360
2099,5209
2100,5412
2101,5202
2102,5012
2103,4835
2104,4722
2105,4763
2106,4648
2107,4693
2108,4937
2109,4965
2110,4909
2111,5047
2112,4960
2113,4881
2114,4704
2115,5014
2116,5044
2117,4940
2118,5053
2119,4894
2120,4703
2121,4734
2122,4657
2123,4513
2124,4522
2125,4446
2126,4411
2127,4464
2128,4558
2129,4518
2130,4568
2131,4592
2132,4521
2133,4523
2134,4611
2135,4413
2136,4509
2137,4641
2138,4627
2139,4613
2140,4611
2141,4702
2142,4656
2143,4619
2144,4560
2145,4724
2146,4688
2147,4561
2148,4515
2149,4524
2150,4508
2151,4411
2152,4553
2153,4673
2154,4581
2155,4628
2156,4721
2157,4818
2158,4719
2159,4635
2160,4484
2161,4397
2162,4557
2163,4686
2164,4623
2165,4817
2166,4744
2167,4563
2168,4502
2169,4426
2170,4465
2171,4661
2172,4664
2173,4463
2174,4517
2175,4578
2176,4582
2177,4734
2178,4671
2179,4643
2180,4542
2181,4466
2182,4527
2183,4599
2184,4608
2185,4757
2186,4780
2187,4688
2188,4655
2189,4654
2190,4643
2191,4561
2192,4721
2193,4518
2194,4488
2195,4682
2196,4513
2197,4536
2198,4622
2199,4933
2200,4918
2201,5027
2202,4932
2203,4715
2204,4645
2205,4645
2206,4887
2207,4960
2208,4860
2209,5062
2210,4974
2211,4998
2212,4859
2213,4890
2214,4911
2215,4812
2216,4383
2217,4541
2218,4654
2219,4575
2220,4712
2221,4696
2222,4820
2223,4791
2224,4562
2225,4781
2226,4742
2227,4767
2228,4845
2229,4752
2230,4676
2231,4671
2232,4755
2233,4681
2234,4767
2235,4943
2236,4993
2237,4754
2238,4634
2239,4502
2240,4628
2241,4686
2242,4732
2243,4733
2244,4725
2245,4790
2246,4862
2247,4819
2248,4771
2249,4651
2250,4610
2251,4625
2252,4623
2253,4634
2254,4740
2255,4538
2256,4540
2257,4552
2258,4711
2259,4662
2260,4572
2261,4515
2262,4584
2263,4657
2264,4535
2265,4550
2266,4647
2267,4588
2268,4466
2269,4591
2270,4647
2271,4523
2272,4504
2273,4558
2274,4579
2275,4613
2276,4516
2277,4559
2278,4514
2279,4619
2280,4490
2281,4491
2282,4494
2283,4466
2284,4540
2285,4539
2286,4549
2287,4485
2288,4612
2289,4586
2290,4583
2291,4688
2292,4624
2293,4614
2294,4598
2295,4638
2296,4724
2297,4960
2298,4932
2299,4974
2300,4806
2301,4715
2302,4636
2303,4479
2304,4495
2305,4689
2306,4684
2307,4788
2308,4823
2309,4823
2310,4903
2311,4857
2312,4695
2313,4648
2314,4946
2315,4889
2316,4590
2317,4746
2318,4834
2319,4883
2320,4704
2321,4526
2322,4535
2323,4570
2324,4775
2325,4567
2326,4616
2327,4463
2328,4399
2329,4378
2330,4478
2331,4627
2332,4565
2333,4537
2334,4523
2335,4547
2336,4597
2337,4487
2338,4418
2339,4624
2340,4674
2341,4845
2342,4747
2343,4945
2344,4875
2345,4776
2346,4505
2347,4377
2348,4426
2349,4301
2350,4240
2351,4371
2352,4318
2353,4233
2354,4179
2355,4329
2356,4269
2357,4308
2358,4340
2359,4286
2360,4339
2361,4395
2362,4353
2363,4386
2364,4466
2365,4557
2366,4672
2367,4589
2368,4556
2369,4810
2370,4723
2371,4546
2372,4514
2373,4529
2374,4634
2375,4686
2376,4487
2377,4556
2378,4552
2379,4558
2380,4739
2381,4745
2382,4843
2383,4627
2384,4661
2385,4787
2386,4850
2387,4798
2388,4786
2389,4806
2390,4680
2391,4703
2392,4935
2393,5174
2394,5077
2395,4960
2396,4827
2397,4807
2398,4637
2399,4674
2400,4742
2401,4751
2402,4611
2403,4665
2404,4787
2405,4702
2406,4660
2407,4758
2408,4868
2409,4709
2410,4642
2411,4625
2412,4737
2413,4697
2414,4960
2415,4921
2416,4808
2417,4668
2418,4672
2419,4569
2420,4689
2421,4642
2422,4718
2423,4830
2424,4975
2425,4866
2426,4860
2427,4914
2428,4918
2429,4866
2430,4932
2431,4920
2432,5079
2433,5045
2434,4851
2435,4963
2436,4987
2437,5041
2438,5111
2439,5048
2440,4982
2441,4975
2442,4994
2443,5095
2444,4973
2445,5064
2446,4954
2447,5082
2448,4971
2449,4663
2450,4802
2451,4802
2452,4859
2453,4555
2454,4585
2455,4997
2456,4917
2457,4638
2458,4488
2459,4567
2460,4701
2461,4590
2462,4579
2463,4570
2464,4943
2465,4697
2466,4738
2467,4831
2468,4761
2469,4793
2470,4828
2471,4975
2472,4903
2473,4773
2474,4812
2475,4793
2476,4963
2477,4856
2478,4920
2479,4795
2480,4795
2481,5038
2482,4889
2483,4982
2484,5045
2485,4750
2486,5060
2487,5130
2488,5151
2489,4928
2490,5027
2491,4842
2492,4927
2493,4987
2494,4867
