MDTU,plaq,Re(det),Im(det),link
292,1.00949,0.534678,0.22388,0.216696
293,1.00608,0.540689,0.220638,0.221785
294,1.01207,0.540957,0.223203,0.220396
295,1.00766,0.534638,0.223122,0.222536
296,1.01228,0.540855,0.22324,0.225631
297,1.00187,0.532165,0.219215,0.219048
298,1.00273,0.533068,0.219093,0.219032
299,1.00202,0.52861,0.218507,0.216049
300,1.00313,0.531348,0.221526,0.214872
301,1.00313,0.531348,0.221526,0.214872
302,1.00444,0.532288,0.222807,0.216254
303,1.00099,0.531064,0.221366,0.219194
304,1.00015,0.531091,0.219177,0.215774
305,0.991981,0.52642,0.217474,0.220615
306,1.01357,0.548749,0.226063,0.220404
307,1.00503,0.539348,0.220294,0.221216
308,1.00596,0.541642,0.221656,0.219131
309,1.00807,0.53793,0.22322,0.223457
310,1.00216,0.537197,0.22045,0.225509
311,1.00885,0.541466,0.221921,0.221137
312,0.994715,0.524112,0.216947,0.217094
313,1.00704,0.543988,0.225786,0.220246
314,0.993196,0.524841,0.217411,0.221502
315,1.0036,0.536673,0.221668,0.21585
316,1.0036,0.536673,0.221668,0.21585
317,1.0036,0.536673,0.221668,0.21585
318,1.00151,0.535499,0.217378,0.216856
319,0.991128,0.524197,0.214568,0.217079
320,0.998509,0.535465,0.223441,0.212786
321,0.999492,0.535509,0.221736,0.219054
322,0.994936,0.530535,0.215843,0.215912
323,1.00018,0.533148,0.220107,0.219598
324,0.990871,0.5235,0.218369,0.219905
325,0.999461,0.529323,0.219358,0.212516
326,0.992108,0.529158,0.216541,0.214804
327,1.00194,0.535867,0.221022,0.2163
328,0.998448,0.529673,0.218064,0.217552
329,1.00103,0.535199,0.220876,0.212
330,0.994112,0.527825,0.218608,0.212421
331,1.00303,0.536223,0.216951,0.215743
332,0.997443,0.528207,0.214299,0.21783
333,0.998144,0.530791,0.216217,0.214809
334,1.00719,0.531635,0.220201,0.215212
335,1.00703,0.534349,0.221277,0.215359
336,0.999768,0.531639,0.220913,0.217923
337,1.00518,0.535196,0.222358,0.212566
338,0.998439,0.527207,0.220785,0.213948
339,0.998477,0.526332,0.220344,0.21458
340,1.00174,0.52986,0.219093,0.219368
341,1.00304,0.538218,0.220329,0.220674
342,0.994729,0.536635,0.21954,0.226208
343,1.00149,0.53757,0.222935,0.220919
344,0.995906,0.53203,0.221111,0.221407
345,1.00496,0.538311,0.222742,0.21912
346,0.992739,0.528769,0.215708,0.218836
347,1.00426,0.539749,0.222013,0.215234
348,0.992548,0.527492,0.217991,0.218866
349,0.997771,0.530395,0.217033,0.212803
350,0.99555,0.5298,0.215382,0.215101
351,0.99693,0.533476,0.217727,0.213292
352,0.988764,0.524501,0.215081,0.209916
353,0.996917,0.532559,0.219654,0.208748
354,0.987672,0.523872,0.216468,0.215867
355,0.987672,0.523872,0.216468,0.215867
356,1.00689,0.543509,0.222895,0.215528
357,0.984485,0.517657,0.215096,0.212702
358,0.995211,0.53171,0.220809,0.214193
359,0.984744,0.521741,0.218125,0.218887
360,0.998154,0.533808,0.219079,0.2187
361,1.00381,0.53669,0.223527,0.217481
362,1.00381,0.53669,0.223527,0.217481
363,1.00494,0.534442,0.219683,0.215614
364,0.998899,0.527544,0.21496,0.218146
365,1.00531,0.538296,0.219448,0.220381
366,0.997202,0.527948,0.218164,0.219123
367,1.00263,0.535514,0.219624,0.223082
368,1.00709,0.534544,0.220593,0.220899
369,1.00411,0.534811,0.219079,0.222363
370,1.00467,0.54324,0.222518,0.233365
371,0.998346,0.538454,0.221434,0.239289
372,1.01735,0.554566,0.22749,0.234296
373,0.991255,0.532781,0.217032,0.235443
374,1.00688,0.551455,0.224201,0.23846
375,1.00846,0.545616,0.223842,0.233879
376,1.00909,0.547838,0.223116,0.235509
377,0.996985,0.536163,0.221701,0.232835
378,1.01738,0.558894,0.231719,0.228558
379,0.983756,0.526852,0.217161,0.227592
380,1.00878,0.55912,0.225569,0.239877
381,0.991166,0.534957,0.217235,0.237359
382,1.0104,0.55371,0.223156,0.237419
383,0.993224,0.537807,0.218109,0.236594
384,1.00416,0.542731,0.220709,0.234239
385,0.999172,0.536302,0.219103,0.231978
386,1.004,0.547164,0.226083,0.232805
387,1.0048,0.546896,0.221356,0.236435
388,1.00284,0.547874,0.220448,0.233837
389,1.00263,0.543514,0.219453,0.236981
390,1.00013,0.543435,0.221095,0.232991
391,1.00994,0.562677,0.226863,0.236591
392,0.998716,0.542774,0.222858,0.229902
393,1.00431,0.547835,0.222507,0.22729
394,1.00483,0.53911,0.219708,0.229449
395,1.001,0.536608,0.22129,0.223133
396,1.00063,0.529361,0.219107,0.221065
397,1.02117,0.549305,0.222452,0.228557
398,1.01105,0.537867,0.222709,0.230862
399,1.02595,0.548619,0.226293,0.232585
400,1.02467,0.543081,0.227536,0.222961
401,1.0303,0.544828,0.227821,0.225809
402,1.02625,0.540223,0.220419,0.226815
403,1.02895,0.539935,0.222895,0.226713
404,1.0261,0.536495,0.221483,0.226818
405,1.03226,0.543016,0.224746,0.230238
406,1.02811,0.539923,0.224356,0.22945
407,1.02033,0.534173,0.222018,0.221996
408,1.03173,0.540403,0.224191,0.220948
409,1.02982,0.536899,0.221738,0.220008
410,1.03093,0.536964,0.223617,0.221001
411,1.02608,0.532819,0.225954,0.218669
412,1.02604,0.541777,0.224161,0.223564
413,1.02604,0.541777,0.224161,0.223564
414,1.03105,0.53693,0.224259,0.222302
415,1.02338,0.53674,0.221326,0.224145
416,1.03419,0.549047,0.225713,0.236948
417,1.02247,0.538412,0.222525,0.225559
418,1.02087,0.53755,0.221964,0.219143
419,1.01343,0.529379,0.220969,0.216976
420,1.02481,0.532949,0.222942,0.214755
421,1.01778,0.526741,0.22287,0.217563
422,1.01801,0.53131,0.217671,0.216528
423,1.02079,0.53502,0.223205,0.221198
424,1.02079,0.53502,0.223205,0.221198
425,1.01424,0.530638,0.219865,0.224377
426,1.03152,0.540141,0.223817,0.217107
427,1.02531,0.538217,0.222855,0.221538
428,1.02749,0.542644,0.222407,0.223531
429,1.0197,0.532322,0.220303,0.224578
430,1.03617,0.544338,0.228101,0.223553
431,1.03283,0.535734,0.223278,0.221594
432,1.03297,0.535256,0.223311,0.216773
433,1.04174,0.545486,0.224473,0.221017
434,1.03958,0.536534,0.222337,0.221562
435,1.03554,0.53459,0.220452,0.227385
436,1.03742,0.527198,0.219976,0.222044
437,1.0473,0.533503,0.219055,0.22352
438,1.0473,0.533503,0.219055,0.22352
439,1.0377,0.534412,0.22114,0.223076
440,1.05047,0.543288,0.226683,0.219863
441,1.0353,0.526273,0.218858,0.219898
442,1.05536,0.53933,0.227554,0.222658
443,1.05599,0.544141,0.22857,0.227048
444,1.05599,0.544141,0.22857,0.227048
445,1.04359,0.537345,0.2239,0.232165
446,1.05449,0.550589,0.228974,0.232825
447,1.04643,0.547701,0.225838,0.235357
448,1.03615,0.533101,0.223194,0.22866
449,1.03911,0.539377,0.222424,0.228696
450,1.03818,0.535994,0.223788,0.220762
451,1.04231,0.532298,0.226032,0.219653
452,1.04081,0.533358,0.222275,0.222759
453,1.05943,0.547303,0.225689,0.222678
454,1.05149,0.539483,0.225407,0.224426
455,1.04643,0.543074,0.221498,0.225695
456,1.05088,0.542312,0.224219,0.217419
457,1.05837,0.536302,0.224964,0.21623
458,1.03176,0.520617,0.217762,0.221228
459,1.06118,0.551426,0.230036,0.225114
460,1.0566,0.541831,0.228014,0.227593
461,1.05433,0.533396,0.226877,0.216571
462,1.05433,0.533396,0.226877,0.216571
463,1.04594,0.533299,0.223581,0.216837
464,1.05961,0.537774,0.225321,0.212708
465,1.05961,0.537774,0.225321,0.212708
466,1.06157,0.536732,0.221674,0.215777
467,1.05645,0.536262,0.219613,0.216389
468,1.05925,0.537408,0.220229,0.21681
469,1.05362,0.531923,0.224055,0.216924
470,1.06195,0.543631,0.229669,0.217322
471,1.04824,0.53189,0.225254,0.211095
472,1.05433,0.536629,0.223381,0.21427
473,1.04726,0.534562,0.224135,0.209491
474,1.04903,0.530582,0.228945,0.213835
475,1.04653,0.536064,0.227371,0.214036
476,1.05691,0.54185,0.227274,0.220933
477,1.07059,0.539796,0.226963,0.222947
478,1.07935,0.535611,0.23059,0.219139
479,1.07807,0.537065,0.230387,0.224009
480,1.07412,0.531905,0.229755,0.220781
481,1.07412,0.531905,0.229755,0.220781
482,1.06857,0.528601,0.223297,0.216722
483,1.06883,0.532225,0.224829,0.21687
484,1.08416,0.539326,0.22812,0.217421
485,1.08416,0.539326,0.22812,0.217421
486,1.08679,0.540953,0.226134,0.219027
487,1.09284,0.551268,0.230092,0.224081
488,1.08156,0.534909,0.227164,0.219287
489,1.07581,0.531482,0.22599,0.217402
490,1.09263,0.546668,0.235077,0.218196
491,1.08691,0.535819,0.227232,0.220227
492,1.10182,0.550616,0.232003,0.221524
493,1.10182,0.550616,0.232003,0.221524
494,1.08173,0.532946,0.224533,0.223574
495,1.10589,0.559611,0.230935,0.223192
496,1.08557,0.545114,0.228653,0.225566
497,1.09907,0.542742,0.226592,0.224027
498,1.08553,0.544038,0.229848,0.230495
499,1.08206,0.545433,0.228082,0.223402
500,1.08771,0.546055,0.226946,0.223127
501,1.08105,0.545854,0.227365,0.228604
502,1.08875,0.555321,0.234935,0.225894
503,1.07487,0.542675,0.225767,0.22845
504,1.08946,0.542846,0.230429,0.222531
505,1.10276,0.550867,0.231813,0.226917
506,1.10481,0.54758,0.231882,0.22716
507,1.10186,0.546404,0.23015,0.227353
508,1.11406,0.556996,0.233739,0.230219
509,1.08785,0.548946,0.227572,0.226849
510,1.08839,0.547701,0.231122,0.219892
511,1.07481,0.540527,0.225485,0.222598
512,1.08273,0.547364,0.227333,0.227497
513,1.05238,0.525488,0.223497,0.222679
514,1.09309,0.553367,0.236086,0.222351
515,1.09309,0.553367,0.236086,0.222351
516,1.07535,0.537786,0.230055,0.225789
517,1.09279,0.555046,0.234115,0.225211
518,1.09386,0.54851,0.231981,0.222357
519,1.08487,0.542514,0.228743,0.222014
520,1.09926,0.545623,0.229686,0.219929
521,1.08139,0.535557,0.226966,0.221174
522,1.10132,0.552132,0.234802,0.221891
523,1.10132,0.552132,0.234802,0.221891
524,1.10132,0.552132,0.234802,0.221891
525,1.09507,0.546824,0.232676,0.219744
526,1.08272,0.54483,0.232666,0.222177
527,1.06795,0.542603,0.224302,0.216645
528,1.09037,0.553073,0.231782,0.217327
529,1.07559,0.545335,0.224395,0.218844
530,1.07545,0.548878,0.231766,0.222151
531,1.07276,0.534828,0.224379,0.220214
532,1.07841,0.547836,0.228134,0.222152
533,1.07717,0.546695,0.226167,0.221875
534,1.06597,0.550375,0.2293,0.229733
535,1.06597,0.550375,0.2293,0.229733
536,1.06526,0.537934,0.231346,0.225573
537,1.07833,0.548192,0.227216,0.228832
538,1.07562,0.555962,0.228793,0.24085
539,1.06983,0.555116,0.235632,0.234136
540,1.06983,0.555116,0.235632,0.234136
541,1.06069,0.553146,0.230382,0.236334
542,1.06167,0.550791,0.228322,0.230164
543,1.06139,0.549547,0.229105,0.230439
544,1.0555,0.542048,0.226716,0.223444
545,1.05073,0.543527,0.227865,0.224488
546,1.04625,0.538426,0.222375,0.214945
547,1.04625,0.538426,0.222375,0.214945
548,1.04834,0.533373,0.227482,0.220709
549,1.04272,0.542945,0.22406,0.222409
550,1.03712,0.539808,0.225222,0.217792
551,1.02946,0.532855,0.221739,0.218315
552,1.03841,0.534775,0.222359,0.210744
553,1.01761,0.524607,0.218408,0.212284
554,1.04008,0.544357,0.228183,0.21467
555,1.02257,0.529168,0.227108,0.211179
556,1.03676,0.536144,0.224503,0.210288
557,1.03676,0.536144,0.224503,0.210288
558,1.02413,0.527679,0.226035,0.212759
559,1.03931,0.545187,0.226844,0.21673
560,1.02286,0.523201,0.2176,0.21409
561,1.05002,0.544869,0.231071,0.214167
562,1.02688,0.527322,0.215352,0.209975
563,1.04081,0.54066,0.225244,0.216158
564,1.02051,0.532334,0.219917,0.22025
565,1.03095,0.541112,0.221722,0.221174
566,1.0238,0.535959,0.223109,0.221702
567,1.02437,0.536534,0.224989,0.219347
568,1.01769,0.530064,0.220783,0.224145
569,1.0167,0.53495,0.220795,0.221965
570,1.00447,0.523586,0.220688,0.2219
571,1.02297,0.537497,0.22575,0.222631
572,1.00704,0.528731,0.221557,0.216333
573,1.01391,0.533406,0.22465,0.218843
574,1.02042,0.533775,0.219696,0.221249
575,1.02307,0.531759,0.219066,0.21982
576,1.01858,0.531696,0.221628,0.219683
577,1.01197,0.526804,0.220618,0.222588
578,1.01523,0.535972,0.222564,0.219607
579,1.02239,0.536437,0.222595,0.217597
580,1.02087,0.541412,0.220727,0.227539
581,1.02892,0.548918,0.225879,0.22572
582,1.02661,0.547917,0.225994,0.231733
583,1.02949,0.544303,0.226303,0.226147
584,1.01791,0.543199,0.223313,0.231275
585,1.02156,0.537869,0.222853,0.227447
586,1.01932,0.535425,0.223688,0.229669
587,1.02834,0.542199,0.222606,0.231339
588,1.0272,0.541469,0.219731,0.234939
589,1.03808,0.547595,0.224038,0.23831
590,1.02868,0.543155,0.223574,0.242684
591,1.01782,0.534932,0.22151,0.232922
592,1.02586,0.537161,0.223129,0.225575
593,1.03784,0.546203,0.22416,0.222184
594,1.02737,0.541925,0.226279,0.226299
595,1.01469,0.529335,0.218094,0.225085
596,1.03683,0.549014,0.226152,0.223528
597,1.0157,0.532366,0.21827,0.223684
598,1.02863,0.541423,0.223862,0.223925
599,1.02816,0.545335,0.226072,0.224463
600,1.02296,0.544013,0.225493,0.224248
601,1.01694,0.527845,0.221522,0.22108
602,1.02651,0.540923,0.223367,0.225353
603,1.02763,0.534775,0.222974,0.227885
604,1.02557,0.532947,0.226393,0.235595
605,1.0378,0.548438,0.228015,0.230919
606,1.03383,0.537481,0.222273,0.227011
607,1.03625,0.541062,0.229249,0.234604
608,1.03249,0.537549,0.227109,0.229263
609,1.0239,0.531005,0.225896,0.226148
610,1.04327,0.542701,0.226813,0.228884
611,1.03819,0.545029,0.228184,0.229174
612,1.036,0.543737,0.226036,0.229847
613,1.03023,0.53299,0.223324,0.219156
614,1.0222,0.528861,0.222272,0.218036
615,1.02576,0.536617,0.224916,0.218662
616,1.0242,0.527484,0.223464,0.215862
617,1.0374,0.538249,0.223909,0.216451
618,1.04195,0.535308,0.225655,0.219907
619,1.0377,0.532405,0.225967,0.218558
620,1.04091,0.531912,0.223684,0.214049
621,1.03806,0.52937,0.220971,0.216492
622,1.03863,0.537472,0.2236,0.214452
623,1.034,0.538087,0.223601,0.222006
624,1.03231,0.547264,0.227694,0.231905
625,1.03043,0.533746,0.22383,0.226439
626,1.03043,0.533746,0.22383,0.226439
627,1.0461,0.551004,0.230563,0.231058
628,1.03912,0.536154,0.22412,0.226219
629,1.04355,0.543553,0.227739,0.220945
630,1.02801,0.536882,0.22117,0.22601
631,1.03945,0.547334,0.224987,0.227967
632,1.03194,0.540884,0.225129,0.227706
