T,G,F
619,0.01859,0.02186
620,0.01863,0.0218
621,0.01865,0.0218
622,0.01869,0.02174
623,0.01869,0.02177
624,0.01865,0.0218
625,0.01864,0.02182
626,0.01866,0.02186
627,0.01864,0.02184
628,0.01866,0.02187
629,0.01864,0.02178
630,0.01865,0.02185
631,0.01865,0.02182
632,0.01864,0.02189
633,0.01857,0.02191
634,0.01854,0.0219
635,0.01853,0.02195
636,0.01853,0.02194
637,0.0185,0.02199
638,0.01857,0.02193
639,0.01858,0.02191
640,0.01856,0.02196
641,0.01858,0.0219
642,0.01854,0.02198
643,0.01856,0.02192
644,0.01854,0.02195
645,0.01852,0.02201
646,0.01855,0.022
647,0.01851,0.022
648,0.01853,0.02195
649,0.01856,0.0219
650,0.01855,0.0219
651,0.01855,0.02194
652,0.01853,0.02194
653,0.01856,0.02195
654,0.01852,0.02196
655,0.01851,0.02203
656,0.01857,0.02192
657,0.01855,0.02197
658,0.01854,0.02195
659,0.01858,0.02197
660,0.01853,0.02195
661,0.01848,0.02197
662,0.0185,0.02197
663,0.01857,0.02198
664,0.01857,0.02199
665,0.0185,0.02198
666,0.01851,0.02197
667,0.01849,0.02198
668,0.0185,0.02201
669,0.01854,0.02196
670,0.01855,0.02202
671,0.01852,0.02202
672,0.01849,0.02203
673,0.01851,0.02203
674,0.01851,0.022
675,0.01851,0.02203
676,0.01847,0.0221
677,0.01849,0.02202
678,0.01847,0.02206
679,0.01849,0.02205
680,0.01851,0.022
681,0.01856,0.02197
682,0.0185,0.02202
683,0.01853,0.02202
684,0.01848,0.02199
685,0.01854,0.02194
686,0.01855,0.02193
687,0.01852,0.02201
688,0.01853,0.02199
689,0.01852,0.022
690,0.01853,0.02197
691,0.01853,0.02198
692,0.0185,0.02198
693,0.01856,0.022
694,0.01856,0.02202
695,0.01854,0.02198
696,0.01853,0.02204
697,0.01851,0.022
698,0.01846,0.02206
699,0.0185,0.02201
700,0.01844,0.02202
701,0.01851,0.02201
702,0.01845,0.02209
703,0.01847,0.02202
704,0.01852,0.02207
705,0.0184,0.0221
706,0.01852,0.02208
707,0.01851,0.02199
708,0.01847,0.022
709,0.01848,0.02205
710,0.01847,0.02208
711,0.0185,0.02199
712,0.01847,0.02196
713,0.01848,0.02207
714,0.01848,0.0221
715,0.01846,0.02205
716,0.01847,0.02203
717,0.0185,0.02201
718,0.01853,0.02194
719,0.01853,0.02193
720,0.01858,0.02198
721,0.01854,0.02196
722,0.01852,0.02197
723,0.01854,0.02201
724,0.01848,0.02204
725,0.01848,0.02201
726,0.01856,0.02194
727,0.0185,0.02195
728,0.01853,0.02196
729,0.01853,0.02198
730,0.01855,0.02193
731,0.01854,0.02197
732,0.01854,0.02196
733,0.01848,0.02201
734,0.01848,0.02195
735,0.01851,0.02201
736,0.01848,0.02197
737,0.01849,0.02201
738,0.0185,0.022
739,0.01852,0.02201
740,0.01847,0.02201
741,0.01852,0.02198
742,0.01853,0.02198
743,0.01854,0.02201
744,0.01851,0.02194
745,0.01853,0.022
746,0.01854,0.02201
747,0.01849,0.02197
748,0.01848,0.02195
749,0.01845,0.022
750,0.01853,0.02201
751,0.01853,0.02203
752,0.01854,0.02194
753,0.01858,0.02192
754,0.01859,0.02193
755,0.01855,0.02201
756,0.01855,0.02196
757,0.0186,0.02191
758,0.01861,0.02194
759,0.01854,0.02196
760,0.01859,0.02194
761,0.01858,0.02195
762,0.01858,0.0219
763,0.01856,0.02191
764,0.0186,0.02188
765,0.01857,0.02197
766,0.01857,0.0219
767,0.01859,0.02191
768,0.01854,0.02196
769,0.01854,0.02195
770,0.01862,0.02191
771,0.01859,0.02185
772,0.01857,0.02184
773,0.01859,0.02184
774,0.01856,0.02189
775,0.01858,0.02192
776,0.01857,0.02198
777,0.01856,0.02187
778,0.01858,0.02194
779,0.01857,0.02195
780,0.01854,0.02195
781,0.01854,0.02196
782,0.01862,0.02191
783,0.01858,0.02193
784,0.01852,0.02195
785,0.01851,0.02201
786,0.01853,0.02199
787,0.01862,0.02197
788,0.01853,0.02201
789,0.01852,0.02199
790,0.01848,0.02201
791,0.0185,0.022
792,0.01848,0.02201
793,0.01847,0.02204
794,0.01847,0.02203
795,0.01849,0.02206
796,0.0185,0.02211
797,0.01849,0.02203
798,0.01852,0.02199
799,0.01852,0.022
800,0.01853,0.02199
801,0.0185,0.02199
802,0.01848,0.02198
803,0.01851,0.02198
804,0.01852,0.02205
805,0.01846,0.02206
806,0.01845,0.02204
807,0.01849,0.02204
808,0.01847,0.02204
809,0.01852,0.022
810,0.01847,0.02197
811,0.01854,0.02203
812,0.01853,0.02198
813,0.01854,0.02199
814,0.0185,0.02204
815,0.01846,0.02204
816,0.01847,0.02199
817,0.0185,0.02201
818,0.01857,0.02192
819,0.01853,0.02195
820,0.01856,0.02193
821,0.01857,0.02193
822,0.01856,0.02187
823,0.01851,0.02191
824,0.01854,0.02198
825,0.01847,0.02202
826,0.01851,0.02199
827,0.01849,0.02197
828,0.01855,0.02197
829,0.01857,0.02197
830,0.01855,0.02195
831,0.01855,0.02199
832,0.01852,0.02196
833,0.01855,0.02194
834,0.01854,0.02197
835,0.01853,0.02198
836,0.01853,0.02193
837,0.01854,0.02192
838,0.01858,0.02197
839,0.01859,0.02196
840,0.01847,0.02196
841,0.01854,0.02201
842,0.01847,0.02201
843,0.01852,0.02202
844,0.01853,0.02193
845,0.01854,0.02196
846,0.01856,0.02193
847,0.01854,0.02196
848,0.01862,0.02191
849,0.01857,0.02194
850,0.01854,0.02198
851,0.0186,0.02196
852,0.01862,0.02191
853,0.01857,0.02191
854,0.01855,0.0219
855,0.01864,0.02192
856,0.01866,0.0219
857,0.01856,0.02197
858,0.01849,0.02197
859,0.01848,0.02201
860,0.01849,0.02199
861,0.01847,0.0221
862,0.01845,0.0221
863,0.01846,0.02209
864,0.01846,0.02206
865,0.01845,0.0221
866,0.01849,0.02208
867,0.0185,0.02198
868,0.0185,0.02199
869,0.0185,0.02197
870,0.01856,0.02196
871,0.0185,0.02198
872,0.0185,0.02201
873,0.01849,0.02199
874,0.01849,0.022
875,0.01853,0.02195
876,0.0185,0.02201
877,0.01846,0.02205
878,0.01847,0.02199
879,0.01847,0.02206
880,0.01849,0.02205
881,0.01852,0.02198
882,0.01849,0.02198
883,0.01849,0.02203
884,0.0185,0.02201
885,0.0185,0.02202
886,0.01854,0.02197
887,0.01854,0.02195
888,0.01853,0.02194
889,0.0185,0.02197
890,0.01852,0.02194
891,0.01853,0.02197
892,0.01851,0.02203
893,0.01846,0.02207
894,0.0185,0.02206
895,0.0185,0.02205
896,0.01845,0.02203
897,0.01844,0.02212
898,0.01848,0.02209
899,0.0185,0.02202
900,0.01848,0.02207
901,0.01849,0.02203
902,0.01849,0.02204
903,0.0185,0.02204
904,0.01843,0.02203
905,0.01849,0.02204
906,0.01848,0.022
907,0.01846,0.02201
908,0.0185,0.02201
909,0.01851,0.02201
910,0.0185,0.02195
911,0.01848,0.02198
912,0.01854,0.02195
913,0.01854,0.02196
914,0.01851,0.02197
915,0.01854,0.02198
916,0.01858,0.02196
917,0.01858,0.02198
918,0.01854,0.02199
919,0.01858,0.02193
920,0.01858,0.02194
921,0.01854,0.02194
922,0.01857,0.02192
923,0.01855,0.02193
924,0.01858,0.02189
925,0.01859,0.02192
926,0.01855,0.02194
927,0.0186,0.02192
928,0.01859,0.02196
929,0.01859,0.02189
930,0.01856,0.02189
931,0.01861,0.02189
932,0.01859,0.02184
933,0.0186,0.02185
934,0.01859,0.02188
935,0.01863,0.02185
936,0.0186,0.02192
937,0.01859,0.02193
938,0.01861,0.02195
939,0.01866,0.0219
940,0.01854,0.02191
941,0.01862,0.02188
942,0.01855,0.02193
943,0.01857,0.02196
944,0.0185,0.02197
945,0.01852,0.02199
946,0.01848,0.02203
