t,e^(-dS)
862,1.3637
863,1.0995
864,0.807187
865,1.08732
866,0.94483
867,0.993107
868,0.990271
869,0.860794
870,1.42419
871,1.23491
872,1.02317
873,0.921475
874,1.07721
875,1.02848
876,1.07956
877,0.715553
878,1.14374
879,0.831104
880,0.785842
881,1.16044
882,0.679363
883,0.967984
884,0.841474
885,0.919772
886,1.40018
887,0.918329
888,1.05916
889,1.00382
890,1.24595
891,0.867621
892,0.803884
893,0.797718
894,0.880469
895,0.746545
896,1.31023
897,0.938024
898,0.866581
899,1.04466
900,0.858216
901,0.770435
902,1.0281
903,0.970154
904,1.05626
905,0.807187
906,0.831769
907,1.09168
908,0.783488
909,1.22924
910,1.10528
911,1.04703
912,0.89467
913,0.826133
914,0.767743
915,1.17468
916,1.17751
917,0.507479
918,1.22863
919,0.859676
920,1.30096
921,1.18187
922,0.841474
923,1.08548
924,0.789307
925,1.03395
926,0.992794
927,0.782313
928,1.15673
929,0.933243
930,0.798596
931,1.03164
932,1.12648
933,0.743862
934,1.0783
935,1.23183
936,0.832602
937,1.09206
938,1.27558
939,0.939864
940,0.89673
941,1.04773
942,1.11896
943,1.08329
944,0.800595
945,0.804367
946,0.803241
947,0.797798
948,1.11974
949,0.76018
950,1.05108
951,0.956036
952,1.10255
953,0.960511
954,0.755406
955,0.957883
956,1.03129
957,0.998464
958,1.14878
959,1.20756
960,0.829444
961,1.16953
962,0.964409
963,0.989496
964,0.697397
965,0.987005
966,0.637373
967,1.21543
968,1.03667
969,0.967684
970,1.03914
971,0.878798
972,1.2639
973,1.12569
974,1.15142
975,1.45049
976,1.09354
977,0.850016
978,0.933289
979,1.20382
980,1.22802
981,0.852229
982,0.879326
983,0.960386
984,0.855474
985,1.44846
986,0.806864
987,1.08119
988,0.94432
989,0.706381
990,1.0556
991,1.03726
992,0.945218
993,0.922821
994,0.904385
995,0.732494
996,0.86875
997,1.15027
998,1.15361
999,0.921521
1000,1.09918
1001,1.37548
1002,0.745053
1003,0.873891
1004,1.09874
1005,0.748788
1006,0.877569
1007,1.12603
1008,0.789544
1009,0.802519
1010,1.30122
1011,1.00639
1012,0.808884
1013,0.847639
1014,1.15223
1015,0.740596
1016,1.08489
1017,1.21519
1018,0.930373
1019,0.91363
1020,0.687152
1021,1.15558
1022,0.970572
1023,1.20937
1024,0.835103
1025,0.77958
1026,0.871273
1027,1.1623
1028,0.671998
1029,0.897089
1030,0.898256
1031,1.32287
1032,1.06325
1033,0.817667
1034,1.11472
1035,0.841306
1036,1.43362
1037,0.831021
1038,0.876166
1039,0.798037
1040,0.921548
1041,0.902849
1042,0.763456
1043,0.972116
1044,0.980532
1045,0.712482
1046,1.17515
1047,0.978113
1048,1.08264
1049,1.52105
1050,0.934597
1051,0.722527
1052,1.08959
1053,1.06038
1054,1.08821
1055,1.05515
1056,0.871534
1057,1.01614
1058,1.00655
1059,1.0304
1060,1.41114
1061,1.10012
1062,0.830855
1063,1.17304
1064,0.938972
1065,0.82638
1066,1.01718
1067,1.0784
1068,1.0786
1069,0.910738
1070,0.892436
1071,1.02348
1072,1.1781
1073,0.912342
1074,1.06948
1075,0.954421
1076,1.13621
1077,0.830357
1078,0.896013
1079,0.97376
1080,1.06884
1081,0.757373
1082,1.63036
1083,0.727967
1084,1.21726
1085,0.935822
1086,1.13179
1087,1.00821
1088,0.946088
1089,0.793819
1090,0.927159
1091,1.01327
1092,1.16801
1093,1.01035
1094,0.920351
1095,1.06915
1096,0.972038
1097,1.14832
1098,0.793501
1099,0.75813
1100,0.971941
1101,0.883733
1102,0.830274
1103,0.925834
1104,1.10513
1105,1.30291
1106,1.18792
1107,0.876253
1108,1.10422
1109,1.28133
1110,1.21422
1111,0.788124
1112,0.9882
1113,1.12199
1114,0.883468
1115,1.0863
1116,0.763074
1117,0.808237
1118,1.35446
1119,0.964023
1120,1.13655
1121,0.821683
1122,0.865368
1123,1.18685
1124,1.06279
1125,0.948096
1126,1.22569
1127,1.05188
1128,0.987578
1129,1.12648
1130,1.12547
1131,0.979366
1132,0.965992
1133,0.806622
1134,0.969728
1135,0.99943
1136,1.05934
1137,0.921097
1138,1.25759
1139,0.838283
1140,0.872232
1141,0.920729
1142,1.15292
1143,1.46141
1144,0.891723
1145,0.891277
1146,1.2507
1147,1.14465
1148,0.705323
1149,0.9092
1150,1.03361
1151,1.03985
1152,0.755028
1153,0.976178
1154,1.11216
1155,0.7213
1156,0.975173
1157,1.27839
1158,1.0898
1159,1.14878
1160,1.01983
1161,0.912452
1162,0.994081
1163,1.18329
1164,0.987025
1165,0.99042
1166,0.852399
1167,0.904656
1168,0.896013
1169,1.07181
1170,1.2084
1171,1.14981
1172,0.7226
1173,1.28904
1174,1.01472
1175,1.01717
1176,0.829029
1177,0.955596
1178,0.797319
1179,0.687221
1180,1.07739
1181,0.974228
1182,1.22802
1183,1.07062
1184,1.18105
1185,0.92857
1186,1.06247
1187,0.848997
1188,1.13179
1189,0.743118
1190,0.919955
1191,1.06209
1192,1.21908
1193,0.612014
1194,0.954641
1195,1.12176
1196,0.886034
1197,0.762464
1198,1.2517
1199,0.821191
1200,0.959234
1201,0.973322
1202,1.26643
1203,0.62569
1204,1.05731
1205,0.812857
1206,1.29732
1207,0.789386
1208,0.794613
1209,1.00407
1210,0.871012
1211,1.35067
1212,0.939197
1213,0.888874
1214,0.670789
1215,0.873105
1216,0.951144
1217,1.13179
1218,0.89199
1219,1.23023
1220,1.07942
1221,1.1055
1222,0.854704
1223,1.11416
1224,0.910101
1225,1.02862
1226,0.916741
1227,0.800915
1228,1.1971
1229,1.06604
1230,0.665777
1231,0.865715
1232,1.32618
1233,0.867795
1234,0.942528
1235,1.07675
1236,0.761702
1237,0.925751
1238,0.99073
1239,1.03814
1240,0.687908
1241,0.873105
1242,1.45761
1243,0.818813
1244,0.757903
1245,1.19471
1246,0.689492
1247,0.932869
1248,1.02378
1249,0.949566
1250,0.867621
1251,0.905037
1252,1.36752
1253,1.08043
1254,0.775692
1255,1.1707
1256,1.15777
1257,0.782705
1258,1.32366
1259,0.74349
1260,0.7213
1261,1.0532
1262,1.22091
1263,0.631473
1264,1.04839
1265,1.20816
1266,1.03716
1267,0.960376
1268,1.20925
1269,0.930875
1270,0.929889
1271,0.760712
1272,1.04385
1273,0.884883
1274,1.06945
1275,0.947792
1276,0.907747
1277,1.20587
1278,0.925779
1279,0.952534
1280,0.960338
1281,1.06233
1282,1.08505
1283,0.801717
1284,0.955443
1285,1.14545
1286,1.17175
1287,1.07814
1288,0.787494
1289,1.10882
1290,0.813264
1291,1.24695
1292,1.06628
1293,0.851292
1294,0.915065
1295,0.638777
1296,0.844002
1297,1.3279
1298,0.857872
1299,1.1922
1300,1.15027
1301,0.770589
1302,0.816115
1303,0.883203
1304,0.81587
1305,1.16183
1306,1.09902
1307,1.11438
1308,1.08401
1309,0.873192
1310,0.933448
1311,1.29992
1312,0.92988
1313,1.06664
1314,0.885414
1315,0.945445
1316,0.822917
1317,1.06681
1318,1.06187
1319,0.82878
1320,1.19746
1321,0.896282
1322,1.04537
1323,1.07017
1324,0.851547
1325,0.933327
1326,1.07283
1327,1.21641
1328,0.891277
1329,1.21482
1330,1.06422
1331,0.718852
1332,1.12919
1333,1.37163
1334,0.767206
1335,0.729059
1336,0.959062
1337,0.780438
1338,0.907874
1339,1.32141
1340,0.881262
1341,0.745873
1342,0.942415
1343,0.924132
1344,0.925418
1345,0.920001
1346,1.01222
1347,0.943697
1348,1.08503
1349,0.842148
1350,0.973118
1351,1.05684
1352,1.1319
1353,0.85813
1354,1.25961
1355,1.19566
1356,0.903301
1357,0.628386
1358,1.16883
1359,1.03958
1360,0.71634
1361,1.27954
1362,0.814484
1363,0.7719
1364,0.91164
1365,1.05891
1366,0.765137
1367,1.29227
1368,1.11818
1369,0.816115
1370,0.80276
1371,1.10738
1372,1.01493
1373,1.12558
1374,1.33176
1375,1.18164
1376,1.00995
1377,0.891188
1378,1.4987
1379,0.797957
1380,1.06625
1381,0.884794
1382,1.56049
1383,0.735136
1384,0.929582
1385,0.972068
1386,1.11784
1387,1.03137
1388,1.02639
1389,0.671192
1390,1.01191
1391,1.26985
1392,1.26896
1393,1.67716
1394,0.894044
1395,0.968487
1396,0.791124
1397,1.07783
1398,1.01937
1399,0.809612
1400,0.911458
1401,1.0723
1402,0.728768
1403,0.978407
1404,1.2186
1405,0.851888
1406,1.41935
1407,0.840549
1408,1.02866
1409,0.818731
1410,1.0328
1411,0.792074
1412,1.01798
1413,0.826215
1414,1.22532
1415,1.34434
1416,0.737197
1417,1.08847
1418,0.812857
1419,0.839625
1420,1.0114
1421,0.822588
1422,0.920489
1423,1.01997
1424,1.08094
1425,0.977966
1426,0.802599
1427,0.963426
1428,1.12345
1429,0.734475
1430,1.18542
1431,1.38002
1432,1.01706
1433,1.05305
1434,0.790334
1435,0.829361
1436,1.02283
1437,0.679227
1438,1.21945
1439,1.34824
1440,0.943339
1441,1.00117
1442,1.10242
1443,0.872406
1444,1.37136
1445,1.09239
1446,0.923735
1447,1.05652
1448,0.688459
1449,1.05236
1450,1.41284
1451,0.697049
1452,1.24633
1453,1.28056
1454,1.13156
1455,1.10749
1456,1.04279
1457,0.751939
1458,0.872145
1459,0.736755
1460,0.815625
1461,1.00126
1462,1.03922
1463,1.10772
1464,0.935242
1465,0.792946
1466,0.650574
1467,0.856244
1468,0.797479
1469,0.89003
1470,1.18305
1471,0.890297
1472,1.41552
1473,0.936861
1474,1.30513
1475,1.02296
1476,0.993941
1477,1.06619
1478,0.731908
1479,0.915834
1480,1.23281
1481,0.958764
1482,0.662589
1483,1.14786
1484,1.1741
1485,0.853338
1486,1.25445
1487,1.06247
1488,0.841727
1489,0.913346
1490,0.845185
1491,1.04245
1492,0.972661
1493,0.983468
1494,1.17316
1495,1.25961
1496,0.831104
1497,1.00963
1498,0.899335
1499,1.3118
1500,0.95467
1501,1.02632
1502,0.926242
1503,1.18093
1504,1.12851
1505,1.13769
1506,1.00712
1507,0.788912
1508,0.974705
1509,0.855046
1510,0.915102
1511,1.14305
1512,0.887719
1513,0.857615
1514,0.959062
