MDTU,min_width,max_width
579,0.158365,0.0797602
580,0.158185,0.0737305
581,0.156189,0.0794174
582,0.160822,0.0752495
583,0.146554,0.0748505
584,0.154439,0.0739805
585,0.169147,0.0722302
586,0.155058,0.0711084
587,0.166908,0.0747816
588,0.153611,0.0713834
589,0.157578,0.0770855
590,0.16549,0.0843093
591,0.15244,0.0743934
592,0.149157,0.0677838
593,0.154939,0.0701645
594,0.148713,0.0736436
595,0.146085,0.0685021
596,0.142586,0.0707383
597,0.141137,0.0731443
598,0.144654,0.0714778
599,0.154336,0.0736591
600,0.158466,0.0754905
601,0.144423,0.07157
602,0.146559,0.0718915
603,0.146853,0.0745726
604,0.150955,0.071222
605,0.147602,0.0708978
606,0.145038,0.0752344
607,0.152165,0.0726989
608,0.153413,0.0759933
609,0.149424,0.0738525
610,0.154031,0.0751536
611,0.142461,0.0799092
612,0.150846,0.0774367
613,0.150064,0.0845023
614,0.154922,0.0787583
615,0.157579,0.0809866
616,0.155655,0.0797606
617,0.145362,0.0819348
618,0.152737,0.0789097
619,0.139362,0.0779936
620,0.155506,0.0834014
621,0.171751,0.0983377
622,0.161986,0.0836815
623,0.154478,0.0907907
624,0.161115,0.0948635
625,0.149637,0.0874463
626,0.142772,0.0815793
627,0.142772,0.0815793
628,0.137366,0.0801132
629,0.142315,0.0783593
630,0.147562,0.0745988
631,0.142777,0.0719335
632,0.14557,0.0743434
633,0.133675,0.0758071
634,0.139865,0.0761027
635,0.148,0.0769111
636,0.142256,0.0728985
637,0.142256,0.0728985
638,0.140106,0.0727436
639,0.147928,0.0696594
640,0.155244,0.0725767
641,0.13666,0.0738908
642,0.13666,0.0738908
643,0.13666,0.0738908
644,0.13884,0.0725651
645,0.14317,0.0767274
646,0.144858,0.0727171
647,0.142621,0.0730731
648,0.159145,0.0806718
649,0.180986,0.0739522
650,0.183155,0.0720097
651,0.177819,0.0698028
652,0.185288,0.0718858
653,0.173741,0.0723747
654,0.192906,0.0753367
655,0.19631,0.0754001
656,0.187842,0.0717316
657,0.195015,0.0786155
658,0.183561,0.0810691
659,0.165957,0.0797584
660,0.165957,0.0797584
661,0.170624,0.0774394
662,0.156469,0.0795549
663,0.169537,0.0817856
664,0.153051,0.0766647
665,0.144166,0.076419
666,0.153555,0.0835141
667,0.158629,0.0752362
668,0.158629,0.0752362
669,0.154081,0.076352
670,0.158729,0.0799002
671,0.14937,0.0786057
672,0.147258,0.080621
673,0.141322,0.0749256
674,0.145551,0.0748266
675,0.151132,0.075788
676,0.148348,0.0804601
677,0.149121,0.0753888
678,0.15276,0.0812002
679,0.144626,0.0814365
680,0.146063,0.0926892
681,0.146169,0.0889736
682,0.153548,0.0871417
683,0.143333,0.0798536
684,0.161355,0.0822676
685,0.161355,0.0822676
686,0.159006,0.0824847
687,0.166598,0.0802749
688,0.142426,0.0722562
689,0.146762,0.0712011
690,0.149873,0.0739308
691,0.141561,0.074824
692,0.141561,0.074824
693,0.140444,0.0741019
694,0.147438,0.0794946
695,0.148842,0.0783978
696,0.154561,0.0793379
697,0.1502,0.0737199
698,0.149484,0.0746269
699,0.154976,0.071787
700,0.155786,0.078354
701,0.152682,0.07456
702,0.166703,0.0762813
703,0.16878,0.0728669
704,0.177218,0.0799149
705,0.175383,0.0764516
706,0.168995,0.0756056
707,0.155504,0.0775425
708,0.150237,0.0752716
709,0.14505,0.0711906
710,0.145159,0.0726804
711,0.147846,0.0747676
712,0.142046,0.0768251
713,0.142027,0.0724949
714,0.141207,0.0792017
715,0.144849,0.0817537
716,0.15351,0.0840773
717,0.142588,0.0838711
718,0.142588,0.0838711
719,0.147005,0.0883612
720,0.151216,0.0863492
721,0.146394,0.0797126
722,0.145392,0.0783268
723,0.15226,0.075161
724,0.15226,0.075161
725,0.145509,0.0824509
726,0.148059,0.0774496
727,0.149278,0.0755357
728,0.153846,0.0755805
729,0.154366,0.0767334
730,0.150432,0.0725531
731,0.15296,0.070137
732,0.154818,0.0701272
733,0.150962,0.0737565
734,0.149365,0.0745755
735,0.147628,0.0733557
736,0.149415,0.0710145
737,0.145365,0.0723914
738,0.145817,0.0727534
739,0.13949,0.0726188
740,0.14489,0.0720548
741,0.142882,0.0739308
742,0.146772,0.0746169
743,0.139024,0.0703676
744,0.139024,0.0703676
745,0.140414,0.0751083
746,0.143352,0.0706486
747,0.140003,0.0696181
748,0.148358,0.0718128
749,0.141071,0.0780006
750,0.141409,0.0777138
751,0.158814,0.0783563
752,0.166523,0.0833456
753,0.166856,0.0825627
754,0.171404,0.0787902
755,0.165964,0.0778866
756,0.158542,0.0842053
757,0.153057,0.0831996
758,0.146121,0.081056
759,0.160238,0.089375
760,0.154972,0.0804385
761,0.156981,0.0842018
762,0.157767,0.0876906
763,0.167942,0.0922093
764,0.176492,0.0953072
765,0.170511,0.091206
766,0.17946,0.0941004
767,0.17918,0.0899916
768,0.156648,0.0815134
769,0.1554,0.0829605
770,0.157496,0.0769632
771,0.171042,0.0752529
772,0.152721,0.0773679
773,0.14959,0.0754733
774,0.14959,0.0754733
775,0.14976,0.0799429
776,0.143664,0.0716664
777,0.144135,0.0779881
778,0.146934,0.0799992
779,0.14837,0.077569
780,0.156032,0.0853767
781,0.149206,0.0806197
782,0.157102,0.082584
783,0.156258,0.0768556
784,0.148534,0.0739471
785,0.143329,0.0755089
786,0.148811,0.0734906
787,0.140359,0.0729682
788,0.152232,0.0751523
789,0.153735,0.0760956
790,0.16542,0.0745404
791,0.162406,0.0706925
792,0.17004,0.0783682
793,0.15095,0.0753783
794,0.142315,0.0767374
795,0.145726,0.0722209
796,0.149167,0.0778408
797,0.143417,0.0764756
798,0.149614,0.0796466
799,0.153819,0.0774077
800,0.148975,0.0738002
801,0.155593,0.0761841
802,0.150435,0.0728204
803,0.17188,0.0727807
804,0.184189,0.0718787
805,0.177826,0.0763155
806,0.192343,0.0742158
807,0.205269,0.0772766
808,0.202377,0.0705139
809,0.217801,0.0739197
810,0.192254,0.0724663
811,0.193629,0.0815614
812,0.185667,0.0926013
813,0.188154,0.100193
814,0.17773,0.0979827
815,0.199219,0.101352
816,0.201968,0.100569
817,0.20856,0.0961201
818,0.186674,0.098643
819,0.178081,0.0865844
820,0.181524,0.082736
821,0.163859,0.087337
822,0.182143,0.0960254
823,0.192796,0.0914296
824,0.18084,0.0880267
825,0.180106,0.0808379
826,0.171736,0.0812567
827,0.182957,0.0813961
828,0.189403,0.0814073
829,0.215424,0.0848845
830,0.203036,0.0826612
831,0.180774,0.0904359
832,0.198994,0.0897656
833,0.176878,0.0872748
834,0.176878,0.0872748
835,0.20553,0.0915821
836,0.20553,0.0915821
837,0.215603,0.0838329
838,0.220107,0.0793833
839,0.212535,0.0747876
840,0.22539,0.074018
841,0.246238,0.0703167
842,0.243857,0.0740665
843,0.206109,0.0764004
844,0.186618,0.0782256
845,0.193948,0.0732554
846,0.232955,0.0752008
847,0.252663,0.0747674
848,0.230881,0.0785549
849,0.230881,0.0785549
850,0.215937,0.08085
851,0.214021,0.0782524
852,0.221351,0.0809862
853,0.22214,0.0802176
854,0.185056,0.0939425
855,0.219514,0.0880491
856,0.193052,0.0900942
857,0.192003,0.0992904
858,0.199352,0.076269
859,0.220635,0.076077
860,0.236028,0.0774069
861,0.222015,0.0784593
862,0.203245,0.0744743
863,0.193826,0.0736768
864,0.181802,0.0777002
865,0.167688,0.0849531
866,0.175441,0.0773149
867,0.17725,0.0783287
868,0.166646,0.0740313
869,0.177712,0.0727633
870,0.159263,0.0739456
871,0.151872,0.0706321
872,0.151664,0.0737072
873,0.163097,0.0732264
874,0.156782,0.0741789
875,0.146538,0.0712761
876,0.159396,0.0696078
877,0.159319,0.0735384
878,0.149086,0.0743312
879,0.149086,0.0743312
880,0.155324,0.0853815
881,0.145414,0.0873429
882,0.150956,0.0826013
883,0.151938,0.0821963
884,0.151938,0.0821963
885,0.153553,0.079675
886,0.158813,0.0763732
887,0.153827,0.0809866
888,0.152224,0.0920208
889,0.164524,0.100731
890,0.168518,0.10084
891,0.168518,0.10084
892,0.175,0.0954658
893,0.172826,0.0935567
894,0.161491,0.0866707
895,0.177344,0.0878325
896,0.194427,0.0856212
897,0.212785,0.0826086
898,0.209463,0.0823884
899,0.169751,0.081091
900,0.204269,0.0777083
901,0.204269,0.0777083
902,0.226585,0.0788612
903,0.223563,0.0770611
904,0.223017,0.0729352
905,0.214776,0.0740646
906,0.214776,0.0740646
907,0.208187,0.0739883
908,0.181017,0.0699945
909,0.178209,0.0728113
910,0.179386,0.0731067
911,0.17926,0.0754874
912,0.170235,0.0804295
913,0.176098,0.0790454
914,0.190707,0.0766752
915,0.19569,0.0813
916,0.199253,0.0880302
917,0.223096,0.085062
918,0.187008,0.0866656
919,0.208228,0.0927958
920,0.207538,0.0894644
921,0.190285,0.0781268
922,0.192841,0.0886054
923,0.202809,0.0763362
924,0.1883,0.0805302
925,0.194253,0.0759342
926,0.19715,0.0747495
927,0.19715,0.0747495
928,0.176615,0.0782994
929,0.185592,0.0778261
930,0.191511,0.0729139
931,0.212781,0.0736017
932,0.199349,0.0768853
933,0.199349,0.0768853
934,0.202027,0.076247
935,0.192718,0.0776713
936,0.181019,0.0760099
937,0.193666,0.0723401
938,0.173727,0.0743503
939,0.173705,0.0761802
940,0.173705,0.0761802
941,0.17702,0.0759665
942,0.180194,0.0738724
943,0.163653,0.0732823
944,0.163653,0.0732823
945,0.167512,0.074786
946,0.162981,0.0742142
947,0.151449,0.0828604
948,0.149488,0.0846388
949,0.160405,0.0848742
950,0.16432,0.0823093
951,0.158081,0.0826285
952,0.156668,0.0822232
953,0.167958,0.0752853
954,0.177664,0.0795604
955,0.164006,0.0731093
956,0.159814,0.0792641
957,0.153651,0.0817734
958,0.158643,0.0827193
959,0.156155,0.0772499
960,0.155847,0.0782547
961,0.162537,0.0735149
962,0.162537,0.0735149
963,0.16673,0.0782807
964,0.182369,0.0764943
965,0.183344,0.0794168
966,0.183344,0.0794168
967,0.201545,0.0830384
968,0.186629,0.0777145
969,0.175265,0.0757688
970,0.17341,0.0814294
971,0.166737,0.0753546
972,0.16189,0.0756859
973,0.15887,0.0733047
974,0.157621,0.0731456
975,0.149903,0.0724608
976,0.162169,0.0729065
977,0.157115,0.0739495
978,0.15129,0.0730129
979,0.153271,0.0781297
980,0.144314,0.0773865
981,0.153941,0.0741967
982,0.156974,0.0766071
983,0.153372,0.0730086
984,0.142619,0.0720903
985,0.149793,0.0739996
986,0.162583,0.0758418
987,0.151245,0.0721024
988,0.152237,0.0769879
989,0.152799,0.074136
990,0.152118,0.0779292
991,0.160657,0.078181
992,0.147597,0.0796306
993,0.14258,0.0779981
994,0.149843,0.0799859
995,0.16045,0.0797116
996,0.154594,0.0811535
997,0.158632,0.0818128
998,0.158748,0.0819415
999,0.163608,0.0836089
1000,0.175277,0.0871346
1001,0.185278,0.0812519
1002,0.185278,0.0812519
1003,0.188507,0.0874149
1004,0.183764,0.0871622
1005,0.183764,0.0871622
1006,0.188055,0.08512
1007,0.167825,0.0834978
1008,0.167511,0.0769534
1009,0.159604,0.0721502
1010,0.161824,0.0745647
1011,0.158832,0.0743685
1012,0.164507,0.0776647
1013,0.164973,0.0722794
1014,0.175485,0.0745014
1015,0.178154,0.0766441
1016,0.191362,0.0758696
1017,0.254659,0.0762489
1018,0.219967,0.073433
1019,0.239191,0.0795806
1020,0.204094,0.0720329
1021,0.18187,0.0746171
1022,0.204403,0.0756157
1023,0.185946,0.0733185
1024,0.17921,0.0737922
1025,0.17921,0.0737922
1026,0.191448,0.0742965
1027,0.200083,0.0757294
1028,0.201117,0.0677102
1029,0.186565,0.07148
1030,0.187232,0.0682342
1031,0.182841,0.0734333
1032,0.183573,0.071203
1033,0.169988,0.0759098
1034,0.173555,0.0746247
1035,0.158651,0.0737219
1036,0.159799,0.0731918
1037,0.159799,0.0731918
1038,0.152171,0.0749554
1039,0.162354,0.075545
1040,0.158952,0.0761769
1041,0.164209,0.0774322
1042,0.164209,0.0774322
1043,0.159927,0.0787968
1044,0.170799,0.0744836
1045,0.170799,0.0744836
1046,0.16662,0.0719077
1047,0.16951,0.0747935
1048,0.159411,0.0693873
1049,0.163128,0.0697075
1050,0.147285,0.0731294
1051,0.162837,0.0761743
1052,0.160175,0.0757788
1053,0.159544,0.07514
1054,0.157774,0.0725137
1055,0.147453,0.0707152
1056,0.149817,0.074287
1057,0.143365,0.0738926
1058,0.157249,0.0767723
1059,0.152081,0.0732876
1060,0.162932,0.0721439
1061,0.152958,0.075622
1062,0.162925,0.0731398
1063,0.171726,0.0740229
1064,0.161934,0.0735783
1065,0.158901,0.0736404
1066,0.153779,0.0765371
1067,0.161344,0.0712933
1068,0.167434,0.0757579
1069,0.150002,0.0708428
1070,0.161025,0.0735933
1071,0.158031,0.0706799
1072,0.161264,0.0716039
1073,0.164074,0.0704939
1074,0.163706,0.0706943
1075,0.163706,0.0706943
1076,0.162887,0.0777536
