MDTU,S_F
960,0.994192
961,0.996266
962,0.996186
963,0.999115
964,1.00311
965,1.00219
966,1.00412
967,1.006
968,1.00009
969,0.99922
970,1.00043
971,1.00292
972,0.99148
973,1.00044
974,0.992773
975,1.00366
976,1.00397
977,1.00345
978,0.991167
979,0.993292
980,1.00492
981,1.00277
982,0.999163
983,1.00833
984,1.00187
985,0.994227
986,1.01525
987,1.00147
988,1.00468
989,1.00804
990,1.00754
991,0.997682
992,1.00316
993,0.99581
994,1.00366
995,1.00244
996,0.994841
997,0.998745
998,1.00119
999,0.99104
1000,0.999409
1001,0.991309
1002,0.994914
1003,0.990702
1004,0.987254
1005,1.00306
1006,1.00048
1007,1.00353
1008,0.998407
1009,1.00338
1010,0.99519
1011,1.00766
1012,1.00831
1013,0.991862
1014,0.997083
1015,1.00112
1016,0.996763
1017,1.00048
1018,0.996667
1019,1.00629
1020,1.00144
1021,1.00021
1022,1.00053
1023,0.999722
1024,0.996613
1025,0.987894
1026,1.00258
1027,0.998865
1028,0.996554
1029,1.00076
1030,1.00706
1031,0.996681
1032,1.00548
1033,0.995694
1034,0.991395
1035,0.996855
1036,0.994396
1037,0.998573
1038,1.00969
1039,0.995679
1040,1.00199
1041,0.998179
1042,1.00391
1043,0.993505
1044,0.997812
1045,1.00004
1046,0.992037
1047,1.00124
1048,1.01006
1049,0.998478
1050,0.9979
1051,1.00834
1052,0.995609
1053,0.997869
1054,1.00862
1055,1.00028
1056,0.995894
1057,1.00004
1058,1.00022
1059,1.00294
1060,0.994251
1061,1.00167
1062,1.00244
1063,0.991291
1064,0.992986
1065,0.99589
1066,1.00973
1067,0.993935
1068,0.999458
1069,0.999836
1070,1.00806
1071,0.98945
1072,1.00095
1073,1.00041
1074,0.995898
1075,0.998814
1076,1.00774
1077,0.998681
1078,1.0055
1079,1.00258
1080,1.00456
1081,1.00304
1082,1.00388
1083,1.0059
1084,0.996131
1085,1.0012
1086,0.998857
1087,0.992925
1088,1.00568
1089,1.00689
1090,0.998024
1091,0.995549
1092,0.997053
1093,1.0101
1094,1.00033
1095,0.989687
1096,0.998108
1097,0.996085
1098,0.994815
1099,0.991914
1100,0.99951
1101,0.99724
1102,0.998012
1103,0.997911
1104,0.999219
1105,0.997422
1106,1.00138
1107,1.00368
1108,1.00454
1109,1.00313
1110,0.997191
1111,0.994398
1112,0.996282
1113,1.00593
1114,1.00729
1115,0.998278
1116,0.999037
1117,0.986565
1118,0.99736
1119,1.0043
1120,0.999202
1121,1.00342
1122,0.999582
1123,1.00414
1124,0.997848
1125,1.00354
1126,0.996152
1127,1.00737
1128,1.00782
1129,0.999706
1130,0.999397
1131,0.994593
1132,0.996144
1133,0.995752
1134,1.0073
1135,1.00133
1136,1.01401
1137,1.00603
1138,0.994935
1139,0.996579
1140,1.01116
1141,0.995771
1142,0.997451
1143,1.00764
1144,1.00321
1145,1.00244
1146,1.0044
1147,1.00019
1148,0.999966
1149,1.01149
1150,1.00328
1151,1.00205
1152,0.998683
1153,0.998206
1154,1.00066
1155,1.00056
1156,1.00097
1157,1.00159
1158,0.998888
1159,1.00591
1160,1.00122
1161,0.992811
1162,0.998272
1163,1.00826
1164,1.00299
1165,1.00698
1166,0.992941
1167,0.999498
1168,0.993291
1169,1.0077
1170,1.00203
1171,1.00122
1172,1.00102
1173,1.0034
1174,0.996742
1175,1.00557
1176,0.997572
1177,1.00325
1178,1.00281
1179,1.00196
1180,0.993176
1181,1.00189
1182,0.99922
1183,0.997424
1184,1.00305
1185,1.00193
1186,1.00742
1187,0.997425
1188,0.990489
1189,1.00121
1190,1.00035
1191,1.01003
1192,1.00454
1193,0.996673
1194,1.00201
1195,0.99147
1196,1.00336
1197,1.00131
1198,0.999568
1199,0.994207
1200,1.00066
1201,1.00333
1202,0.999137
1203,0.996945
1204,0.993753
1205,1.00398
1206,0.996286
1207,0.996944
1208,1.00653
1209,1.00953
1210,1.00796
1211,1.0088
1212,1.00194
1213,1.00751
1214,0.995691
1215,1.00859
1216,0.986968
1217,0.999971
1218,0.999779
1219,1.00204
1220,0.990481
1221,0.998136
1222,0.997843
1223,0.989641
1224,1
1225,1.00044
1226,0.991866
1227,1.00296
1228,1.01022
1229,0.9978
1230,1.00017
1231,0.991681
1232,0.999507
1233,0.998174
1234,0.995821
1235,1.00692
1236,1.00056
1237,1.00059
1238,1.00826
1239,0.996748
1240,0.995353
1241,1.00369
1242,0.998886
1243,1.00797
1244,1.0007
1245,0.993669
1246,0.996794
1247,1.00813
1248,0.996448
1249,0.998931
1250,0.995133
1251,0.994271
1252,1.01418
1253,1.00268
1254,0.99589
1255,1.00322
1256,0.993737
1257,1.0024
1258,0.992839
1259,1.01054
1260,0.996707
1261,0.989755
1262,0.99933
1263,0.989162
1264,0.998934
1265,0.98839
1266,1.00652
1267,1.00234
1268,0.997281
1269,1.00406
1270,0.997903
1271,0.992238
1272,0.994262
1273,1.00592
1274,0.999105
1275,1.00432
1276,1.00137
1277,0.99816
1278,0.99644
1279,0.996632
1280,1.00619
1281,0.994427
1282,0.997992
1283,1.00656
1284,1.00196
1285,0.997426
1286,1.00055
1287,1.00797
1288,1.00662
1289,0.995928
1290,0.99955
1291,1.01
1292,1.0022
1293,0.999106
1294,1.00548
1295,0.997457
1296,1.00172
1297,0.995906
1298,0.993879
1299,1.00408
1300,1.0017
1301,1.00808
1302,1.00297
1303,0.998843
1304,0.994348
1305,1.00574
1306,0.995319
1307,1.00901
1308,0.999717
1309,0.992692
1310,1.00282
1311,1.00227
1312,1.00101
1313,0.991937
1314,1.00817
1315,0.996042
1316,1.00614
1317,1.00358
1318,1.00301
1319,0.998529
1320,0.999611
1321,0.996732
1322,1.00415
1323,0.999613
1324,0.996831
1325,1.00154
1326,1.00855
1327,0.999524
1328,0.998216
1329,0.99633
1330,0.993076
1331,1.00882
1332,1.00393
1333,0.990873
1334,1.00158
1335,0.996837
1336,0.995384
1337,1.00261
1338,1.00739
1339,0.996839
1340,1.0043
1341,1.00386
1342,0.996896
1343,0.992051
1344,0.996327
1345,1.00625
1346,0.994009
1347,0.995232
1348,0.989659
1349,1.00968
1350,1.00103
1351,0.993729
1352,1.00266
1353,1.00425
1354,1.00349
1355,0.989025
1356,1.00383
1357,0.995537
1358,0.999044
1359,0.998642
1360,1.00253
1361,0.996859
1362,1.00252
1363,1.00603
1364,1.00233
1365,0.99998
1366,0.996931
1367,0.999083
1368,0.998026
1369,0.995348
1370,0.996193
1371,0.994983
1372,0.999068
1373,1.00026
1374,0.997843
1375,0.997485
1376,0.996698
1377,0.993732
1378,1.00383
1379,0.993536
1380,0.995928
1381,1.00889
1382,1.00173
1383,1.00155
1384,1.00773
1385,0.99247
1386,1.01152
1387,0.997812
1388,1.00813
1389,1.00846
1390,1.00303
1391,0.998067
1392,0.996436
1393,0.991674
1394,1.00185
1395,0.994076
1396,0.995538
1397,1.00123
1398,1.00212
1399,1.00127
1400,1.0001
1401,1.00438
1402,1.01025
1403,0.998925
1404,1.00422
1405,1.00875
1406,1.0032
1407,0.995516
1408,0.992044
1409,0.993924
1410,1.00305
1411,1.00253
1412,0.999854
1413,1.00518
1414,1.00427
1415,0.996165
1416,0.993151
1417,1.00413
1418,1.00162
1419,1.00189
1420,1.0044
1421,1.0026
1422,1.00256
1423,1.00241
1424,1.00346
1425,0.992357
1426,1.00026
1427,0.99138
1428,1.00799
1429,1.00255
1430,0.998574
1431,0.99984
1432,0.989142
1433,0.998712
1434,1.00226
1435,1.00259
1436,1.00211
1437,1.00646
1438,1.00366
1439,0.998656
1440,1.00298
1441,1.00155
1442,0.996419
1443,1.01438
1444,0.999659
1445,1.00245
1446,1.00865
1447,1.00639
1448,0.996599
1449,1.00978
1450,0.998213
1451,0.996523
1452,0.996938
1453,0.992157
1454,1.00001
1455,1.00939
1456,1.00027
1457,1.00485
1458,0.996156
1459,1.00096
1460,0.992708
1461,1.00418
1462,1.00778
1463,0.99913
1464,1.00671
1465,1.00315
1466,1.00764
1467,1.00577
1468,0.997753
1469,1.00379
1470,0.999177
1471,0.999687
1472,0.997686
1473,1.00069
1474,1.00659
1475,0.994816
1476,1.00448
1477,0.997554
1478,0.995495
1479,0.993938
1480,1.00839
1481,0.996673
1482,1.00076
1483,0.99218
1484,1.00242
1485,1.00589
1486,1.00678
1487,1.00385
