MDTU,|det-1|^2,1-Re(det),Im(det)
325,0.462658,0.016845,0.00186073
326,0.516156,0.000398,-0.00415896
327,0.493209,0.009415,-0.00229619
328,0.499464,0.026662,-0.00217346
329,0.531871,0.03737,0.00144396
330,0.570671,0.041004,0.00258567
331,0.614864,0.022299,0.00232516
332,0.587775,0.007507,-0.00128493
333,0.610148,0.004711,0.00100944
334,0.649486,-0.03333,0.00391137
335,0.654414,-0.02925,0.0107573
336,0.598394,-0.03173,0.00269836
337,0.626853,-0.01736,0.0101803
338,0.562171,-0.01005,0.00244281
339,0.541177,-0.00718,0.00221587
340,0.536428,-0.00349,-0.00291287
341,0.499834,0.000299,-0.00503163
342,0.5789,0.025884,0.0028374
343,0.584202,0.001295,0.00646245
344,0.46058,0.014925,-0.0027338
345,0.502354,0.007806,0.00903536
346,0.537586,0.012464,0.0142789
347,0.537586,0.012464,0.0142789
348,0.537586,0.012464,0.0142789
349,0.589999,-0.00554,0.00447202
350,0.477652,0.022279,0.0008419
351,0.506044,0.01522,0.00113107
352,0.474725,0.020443,-0.00791112
353,0.493741,-0.0039,0.00238777
354,0.47975,0.019987,0.00182137
355,0.515806,0.017153,0.00280068
356,0.541864,0.008033,0.00102604
357,0.541864,0.008033,0.00102604
358,0.525645,0.001359,-0.00548238
359,0.429898,0.00951,0.00301249
360,0.46741,-0.00519,-0.000536891
361,0.503664,-0.01819,0.00929806
362,0.543177,-0.01099,-0.00290385
363,0.59324,-0.02815,0.00665456
364,0.528796,-0.03039,-0.000210016
365,0.545793,-0.02706,-0.00260188
366,0.470219,-0.02716,0.0065397
367,0.430509,-0.02784,0.00648165
368,0.430509,-0.02784,0.00648165
369,0.452219,0.010293,-0.00602391
370,0.398788,0.015081,-0.000495045
371,0.434663,0.002447,0.000182381
372,0.469538,0.006886,-0.00405379
373,0.456737,-0.00217,0.00589192
374,0.525424,-0.00132,-0.00615429
375,0.500448,-0.01893,0.00190058
376,0.476963,-0.03294,0.00206944
377,0.473256,-0.00602,-0.00355722
378,0.431719,-0.00949,0.00106234
379,0.444543,-0.02299,0.0052674
380,0.411974,-0.04409,-0.00311658
381,0.411974,-0.04409,-0.00311658
382,0.445431,-0.02261,0.000779289
383,0.423505,-0.02099,0.00279581
384,0.484652,-0.02847,0.000414993
385,0.441955,-0.05284,-0.00188563
386,0.373791,-0.03287,0.00170528
387,0.374907,-0.0076,-0.000291013
388,0.374907,-0.0076,-0.000291013
389,0.393622,-0.00085,0.00150175
390,0.375776,0.010908,0.00730572
391,0.353434,0.021785,-0.00704016
392,0.37387,0.029102,-0.00117661
393,0.364943,0.00841,-0.00166103
394,0.355105,0.030013,0.00374772
395,0.362762,0.040321,0.00190581
396,0.361676,0.024411,0.0049277
397,0.406053,0.013542,0.00479542
398,0.433035,0.025048,-0.00304063
399,0.428971,0.010559,0.0104689
400,0.39625,0.015419,-0.00391807
401,0.389434,0.023135,0.00378592
402,0.396861,-0.00089,-0.00242825
403,0.384137,0.007502,-0.000872359
404,0.34344,0.024732,-0.00663798
405,0.34344,0.024732,-0.00663798
406,0.39148,0.029721,-0.00404226
407,0.395257,0.018269,0.00191439
408,0.344222,0.019162,0.00277315
409,0.344222,0.019162,0.00277315
410,0.370264,0.038585,-0.00132374
411,0.3522,0.031554,0.000127048
412,0.386425,0.030469,0.00108044
413,0.388026,0.008005,0.00397105
414,0.401187,-0.01052,-0.00175836
415,0.438557,-0.02339,0.00155619
416,0.398066,-0.01649,-0.00876676
417,0.406137,-0.01082,-0.000783752
418,0.420535,-0.01889,0.00112907
419,0.408926,0.001221,-0.00401057
420,0.382626,0.030137,-0.00218158
421,0.380031,0.018287,0.00171898
422,0.363233,0.025312,-0.000351196
423,0.396088,0.032823,-0.00422336
424,0.405815,0.013056,-0.00104229
425,0.441415,0.016511,-0.00361524
426,0.437783,-0.01059,-0.00427351
427,0.425999,0.00074,0.00692167
428,0.408552,0.012677,0.00406059
429,0.406977,0.012981,0.00619995
430,0.376674,0.016223,0.00060175
431,0.459372,0.031196,-0.000842266
432,0.452389,-0.00413,-0.00278472
433,0.619453,-0.00796,-0.00283068
434,0.499679,-0.01479,-0.000261913
435,0.536181,0.00087,0.00214635
436,0.442595,0.008839,0.00466493
437,0.476831,0.008031,0.00235006
438,0.466322,0.012232,0.00226854
439,0.451288,0.005757,-6.81426e-05
440,0.460032,-0.00377,0.000385622
441,0.455009,-0.0163,-0.00549149
442,0.395421,-0.0162,0.00143924
443,0.403832,0.007666,0.00373184
444,0.403832,0.007666,0.00373184
445,0.469524,-0.02405,0.00785498
446,0.469524,-0.02405,0.00785498
447,0.476566,-0.01807,-0.00674389
448,0.49086,-0.00273,0.000544315
449,0.412572,0.015219,-0.00677157
450,0.388055,0.027767,-0.000495277
451,0.374841,0.009371,-0.00432725
452,0.422476,0.009403,-0.00129244
453,0.420057,-0.00681,0.00409663
454,0.410188,-0.00492,-0.00457796
455,0.451549,-0.01402,-0.0027961
456,0.460706,0.001978,0.000480872
457,0.456101,0.002318,-0.00742497
458,0.403767,0.010597,0.00218642
459,0.542507,0.00444,0.000646739
460,0.467033,-0.00414,0.000855684
461,0.470765,-0.02335,0.000186958
462,0.493285,-0.00486,-0.00281524
463,0.469357,0.003145,-0.00318489
464,0.429359,-0.00207,0.0013946
465,0.478796,0.002199,0.00746175
466,0.428329,0.009638,-0.00172848
