MDTU,plaq,Re(det),Im(det),link
493,1.48453,0.578887,0.233674,0.178995
494,1.48852,0.575626,0.234201,0.174046
495,1.47733,0.5651,0.235672,0.172913
496,1.47453,0.573636,0.230784,0.189942
497,1.485,0.579006,0.22918,0.177543
498,1.485,0.579006,0.22918,0.177543
499,1.4891,0.579045,0.247313,0.207215
500,1.50039,0.577283,0.238742,0.18814
501,1.50039,0.577283,0.238742,0.18814
502,1.48884,0.560861,0.234445,0.173265
503,1.4895,0.543115,0.238861,0.160922
504,1.48848,0.536306,0.230905,0.152621
505,1.50475,0.536994,0.233139,0.153029
506,1.50601,0.51834,0.222639,0.142494
507,1.50601,0.51834,0.222639,0.142494
508,1.50022,0.513733,0.225068,0.143163
509,1.49291,0.513616,0.217813,0.146306
510,1.49898,0.542904,0.245954,0.158022
511,1.50215,0.529969,0.226591,0.158518
512,1.50215,0.529969,0.226591,0.158518
513,1.49497,0.506386,0.212137,0.144546
514,1.50056,0.516302,0.213336,0.153594
515,1.52573,0.538539,0.229211,0.156155
516,1.53151,0.529941,0.213784,0.148521
517,1.52003,0.537364,0.225754,0.147003
518,1.51068,0.529074,0.218755,0.1356
519,1.51195,0.535158,0.228489,0.139541
520,1.5104,0.526952,0.228063,0.13511
521,1.50161,0.529947,0.234096,0.14788
522,1.51747,0.539124,0.22307,0.150038
523,1.51747,0.539124,0.22307,0.150038
524,1.52386,0.552649,0.242089,0.157427
525,1.52839,0.540414,0.232612,0.156122
526,1.51337,0.561898,0.240484,0.173023
527,1.52313,0.559799,0.219595,0.182383
528,1.56148,0.613702,0.276841,0.204538
529,1.54331,0.589378,0.239308,0.185234
530,1.56383,0.60026,0.242704,0.194441
531,1.58204,0.584336,0.23995,0.183079
532,1.56736,0.554884,0.235659,0.166279
533,1.57859,0.550979,0.243148,0.158872
534,1.57178,0.561704,0.248093,0.166562
535,1.53658,0.575835,0.243536,0.170642
536,1.52988,0.551359,0.230212,0.16708
537,1.51644,0.57433,0.24265,0.184113
538,1.52037,0.547392,0.248147,0.180373
539,1.52138,0.560463,0.248777,0.168006
540,1.52719,0.568118,0.233292,0.180859
541,1.52158,0.568596,0.245808,0.18863
542,1.52769,0.557614,0.242267,0.166579
543,1.51746,0.547203,0.232857,0.16587
544,1.51107,0.552627,0.233303,0.163978
545,1.51107,0.552627,0.233303,0.163978
546,1.50866,0.566872,0.249573,0.167948
547,1.52438,0.567071,0.234181,0.167354
548,1.5033,0.55847,0.220808,0.155671
549,1.49612,0.556988,0.237561,0.161653
550,1.50548,0.537645,0.228116,0.145267
551,1.50548,0.537645,0.228116,0.145267
552,1.52722,0.543857,0.233973,0.151215
553,1.53288,0.547026,0.234352,0.143805
554,1.52461,0.538058,0.226213,0.140927
555,1.52557,0.541959,0.231636,0.145736
556,1.53916,0.545382,0.234165,0.145078
557,1.52624,0.542473,0.228031,0.144459
558,1.50834,0.524638,0.221957,0.139778
559,1.51259,0.537849,0.229067,0.141784
560,1.52806,0.557126,0.234524,0.149232
561,1.5314,0.559293,0.238818,0.159221
562,1.50226,0.551685,0.231722,0.154562
563,1.5065,0.566958,0.243487,0.1621
564,1.50844,0.574782,0.225137,0.158621
565,1.5161,0.545872,0.217498,0.151034
566,1.54964,0.554619,0.238889,0.146921
567,1.52117,0.552765,0.221654,0.16278
568,1.54086,0.54647,0.229596,0.159185
569,1.52712,0.523424,0.218143,0.147251
570,1.54333,0.528926,0.226791,0.14644
571,1.52602,0.521911,0.215405,0.141143
572,1.53394,0.537126,0.220865,0.144557
573,1.53334,0.541786,0.227452,0.145004
574,1.53334,0.541786,0.227452,0.145004
575,1.52672,0.550209,0.23157,0.154225
576,1.51876,0.537745,0.240034,0.151958
577,1.54012,0.566848,0.253301,0.15925
578,1.51669,0.556425,0.243553,0.166002
579,1.49185,0.539551,0.223696,0.157155
580,1.50954,0.534621,0.2286,0.142415
581,1.50871,0.562913,0.229649,0.158428
582,1.52707,0.537823,0.231152,0.152208
583,1.5298,0.538953,0.238101,0.146632
584,1.52218,0.53022,0.227617,0.143396
585,1.55108,0.544159,0.227916,0.14723
586,1.56446,0.526046,0.227023,0.140552
587,1.56687,0.523318,0.237229,0.150759
588,1.53285,0.519661,0.233617,0.140723
589,1.52802,0.548627,0.23504,0.159424
590,1.53742,0.561233,0.237465,0.177103
591,1.53422,0.532945,0.225605,0.145846
592,1.53558,0.53733,0.230662,0.139041
593,1.55607,0.551753,0.232397,0.145562
594,1.53432,0.53733,0.234274,0.145694
595,1.54846,0.537026,0.228242,0.133194
596,1.54299,0.539251,0.238392,0.13787
597,1.52586,0.526047,0.22513,0.143563
598,1.53197,0.518068,0.230079,0.137238
599,1.55483,0.54256,0.23709,0.142663
600,1.55127,0.537803,0.232598,0.154325
601,1.54624,0.519234,0.226936,0.138354
602,1.52693,0.530132,0.234044,0.139637
603,1.5475,0.538302,0.221842,0.145529
604,1.53984,0.531417,0.226965,0.135261
605,1.51688,0.527183,0.22301,0.138398
606,1.51864,0.516621,0.227968,0.140586
607,1.52145,0.508122,0.226406,0.135585
608,1.50408,0.543934,0.225948,0.149277
609,1.50259,0.526927,0.235014,0.142925
610,1.5152,0.51141,0.21434,0.137512
611,1.49627,0.53133,0.21659,0.150476
612,1.51674,0.52441,0.228729,0.146584
613,1.50573,0.519069,0.213543,0.158575
614,1.51475,0.518994,0.214609,0.145038
615,1.5162,0.519638,0.222361,0.157489
616,1.52654,0.539549,0.233039,0.154995
617,1.48648,0.537397,0.22655,0.159776
618,1.49308,0.525354,0.21827,0.150574
619,1.49075,0.518757,0.222091,0.149313
620,1.50314,0.524039,0.212431,0.158985
621,1.53971,0.542838,0.233072,0.189807
622,1.5119,0.526833,0.224461,0.160273
623,1.4991,0.534239,0.232261,0.167245
624,1.50962,0.552907,0.242324,0.181263
625,1.49529,0.544836,0.236769,0.171498
626,1.48971,0.523244,0.221996,0.148622
627,1.48971,0.523244,0.221996,0.148622
628,1.51086,0.518037,0.218959,0.141994
629,1.49781,0.519281,0.217669,0.141366
630,1.4923,0.531634,0.224113,0.14334
631,1.48543,0.531146,0.221665,0.139421
632,1.48607,0.539126,0.231854,0.14629
