MDTU,0,2,4,6,8,10
2530,0.0143869,0.0191426,0.0215124,0.021747,0.0222632,0.0265512
2540,0.0203051,0.0208746,0.0230032,0.0239567,0.0253405,0.0280652
2550,0.0213534,0.0215949,0.023267,0.0272314,0.029634,0.0313442
2560,0.0141443,0.0159223,0.0199918,0.0218406,0.0241949,0.0264081
2570,0.0230612,0.0260355,0.0281055,0.0287795,0.0295383,0.0311911
2580,0.0107334,0.0228866,0.0266438,0.0272571,0.0290735,0.0319747
2590,0.0190316,0.0215755,0.0256835,0.0272961,0.0285796,0.0294231
2600,0.0234653,0.0258554,0.0273064,0.0304339,0.0321241,0.0346107
2610,0.00295786,0.0140124,0.0176773,0.0254907,0.0262868,0.0279549
2620,0.0233086,0.0258277,0.0263758,0.0277031,0.0293668,0.0310508
2630,0.0218563,0.0227018,0.0232502,0.023963,0.0264381,0.0282886
2640,0.00980018,0.0207932,0.0254242,0.0261538,0.0294978,0.0298281
2650,0.02437,0.0252888,0.0259008,0.026744,0.027731,0.0289279
2660,0.0232732,0.0247723,0.0250251,0.0267282,0.0274684,0.0300507
2670,0.0194963,0.023985,0.0259635,0.027838,0.0291824,0.0302452
2680,0.0117999,0.0203516,0.0220032,0.0233424,0.0267301,0.0283067
2690,0.0100939,0.0148313,0.0232561,0.0257957,0.0264558,0.0283503
2700,0.00336649,0.01253,0.0154085,0.0161666,0.0192534,0.0223624
2710,0.0221536,0.0237041,0.0259457,0.0282576,0.029286,0.030343
2720,0.019931,0.0233148,0.0257836,0.0264933,0.0271288,0.0282475
2730,0.0153999,0.0191609,0.0248458,0.0255745,0.0274376,0.0292435
2740,0.0213332,0.0242599,0.025407,0.0283851,0.0291824,0.0308131
2750,0.0177111,0.0209449,0.0217493,0.0225608,0.0266517,0.0291263
2760,nan,nan,nan,nan,nan,nan
