MDTU,plaq_ss,plaq_st
646,1.0848,1.10072
647,1.12272,1.12407
648,1.10526,1.13741
649,0.99908,1.18736
650,1.04704,1.19327
651,1.02705,1.21272
652,1.02802,1.20872
653,1.0035,1.20592
654,0.95471,1.23603
655,0.972236,1.21744
656,0.95029,1.23423
657,0.935994,1.24453
658,0.968166,1.25991
659,1.02405,1.21815
660,1.02405,1.21815
661,1.05929,1.19761
662,1.06568,1.1706
663,1.03072,1.15799
664,1.05046,1.12647
665,1.01633,1.13457
666,0.998219,1.13045
667,1.07328,1.106
668,1.07328,1.106
669,1.0575,1.13028
670,1.05336,1.11884
671,1.05816,1.12114
672,1.00712,1.12504
673,1.01488,1.13476
674,1.05537,1.09231
675,0.981388,1.14238
676,1.02426,1.10133
677,1.06636,1.08222
678,1.04352,1.09166
679,1.028,1.0832
680,0.964676,1.11158
681,1.00031,1.11347
682,0.981265,1.10471
683,1.01449,1.10013
684,0.964994,1.15213
685,0.964994,1.15213
686,0.958001,1.1316
687,0.942302,1.14244
688,1.00886,1.10162
689,1.06368,1.08502
690,1.04406,1.10423
691,1.00426,1.09334
692,1.00426,1.09334
693,1.00915,1.0906
694,0.976409,1.09713
695,0.986908,1.11766
696,0.956501,1.11071
697,0.955052,1.11014
698,0.935459,1.13225
699,0.989537,1.11917
700,0.98788,1.11022
701,0.954414,1.10742
702,0.959656,1.12194
703,0.986787,1.12251
704,0.947825,1.12527
705,0.97218,1.13712
706,0.972898,1.13876
707,1.02697,1.08582
708,1.01537,1.08532
709,1.09,1.09508
710,1.08515,1.09467
711,1.14843,1.07288
712,1.20103,1.07808
713,1.14016,1.09922
714,1.15012,1.0731
715,1.10823,1.07008
716,1.1249,1.05098
717,1.1378,1.07618
718,1.1378,1.07618
719,1.13935,1.07635
720,1.12671,1.09321
721,1.04974,1.12214
722,1.06414,1.12455
723,1.08737,1.10572
724,1.08737,1.10572
725,1.12766,1.10854
726,1.10946,1.09544
727,1.064,1.11294
728,1.09301,1.10267
729,1.08355,1.11792
730,1.14823,1.09377
731,1.14888,1.10845
732,1.14997,1.12557
733,1.14529,1.10128
734,1.1558,1.08606
735,1.14036,1.06976
736,1.06744,1.06916
737,1.03932,1.07236
738,1.06374,1.08507
739,1.08033,1.07749
740,1.04665,1.08723
741,1.11546,1.05178
742,1.06285,1.04809
743,1.10531,1.05904
744,1.10531,1.05904
745,1.11112,1.05388
746,1.0774,1.07046
747,1.06989,1.07681
748,0.997015,1.10305
749,0.995908,1.11867
750,0.985032,1.13287
751,0.964759,1.15165
752,0.917879,1.1483
753,0.941122,1.1402
754,0.966564,1.11525
755,0.979375,1.11949
756,0.947036,1.10844
757,0.98344,1.11532
758,0.978184,1.14588
759,0.91478,1.16368
760,0.993455,1.14173
761,0.964317,1.13825
762,0.899941,1.14114
763,0.862569,1.16598
764,0.842689,1.15064
765,0.845251,1.13856
766,0.820424,1.14864
767,0.839754,1.14958
768,0.906872,1.10821
769,0.883159,1.11118
770,0.941004,1.10724
771,0.919029,1.12017
772,0.926368,1.09628
773,0.940471,1.08203
774,0.940471,1.08203
775,0.944247,1.12405
776,0.97879,1.09858
777,0.961385,1.11538
778,0.943841,1.12995
779,0.974935,1.14873
780,0.974378,1.18979
781,0.956552,1.15357
782,0.925672,1.1698
783,0.96695,1.16221
784,0.991372,1.13631
785,0.989772,1.14747
786,1.01734,1.13888
787,0.981365,1.14989
788,0.963789,1.16141
789,0.977003,1.11934
790,0.971857,1.15668
791,1.01015,1.14978
792,0.930817,1.1582
793,0.984697,1.14569
794,1.01007,1.13217
795,1.04416,1.15877
796,1.05322,1.14717
797,1.02064,1.13564
798,1.03208,1.16081
799,1.03662,1.18493
800,1.0226,1.18897
801,1.06996,1.15622
802,1.08238,1.1596
803,1.10186,1.19024
804,1.10325,1.20012
805,1.09967,1.21149
806,1.16587,1.21113
807,1.14338,1.21917
808,1.15475,1.15241
809,1.15544,1.13896
810,1.11278,1.12117
811,1.10291,1.16098
812,1.04542,1.20457
813,1.05355,1.21694
814,1.0328,1.2296
815,1.04877,1.25047
816,1.04426,1.25517
817,1.03808,1.23986
818,1.01169,1.2226
