t,deltaS
1491,-0.04157
1492,0.02772
1493,0.01667
1494,-0.1597
1495,-0.2308
1496,0.185
1497,-0.009582
1498,0.1061
1499,-0.2714
1500,0.04639
1501,-0.02598
1502,0.07662
1503,-0.1663
1504,-0.1209
1505,-0.129
1506,-0.007094
1507,0.2371
1508,0.02562
1509,0.1566
1510,0.08872
1511,-0.1337
1512,0.1191
1513,0.1536
1514,0.0418
1515,0.09121
1516,-0.3148
1517,0.02445
1518,0.06492
1519,0.04672
1520,0.2096
1521,-0.1493
1522,-0.2518
1523,-0.07775
1524,0.2729
1525,0.1366
1526,-0.1727
1527,0.2202
1528,0.2254
1529,0.2791
1530,-0.04782
1531,-0.1947
1532,-0.07085
1533,-0.01287
1534,-0.01625
1535,0.1676
1536,-0.00892
1537,0.03437
1538,0.01107
1539,-0.07552
1540,0.0888
1541,-0.2688
1542,0.059
1543,-0.04627
1544,0.2715
1545,-0.09822
1546,0.1679
1547,0.006099
1548,0.183
1549,-0.02182
1550,0.08215
1551,0.06104
1552,0.2403
1553,-0.2056
1554,-0.3063
1555,-0.1359
1556,0.2707
1557,-0.2347
1558,0.1048
1559,-0.2777
1560,0.07224
1561,-0.1015
1562,-0.1252
1563,0.2911
1564,-0.1927
1565,-0.08424
1566,-0.175
1567,0.17
1568,-0.3099
1569,0.227
1570,-0.1003
1571,0.08803
1572,-0.1866
1573,0.06049
1574,-0.04255
1575,0.3391
1576,-0.1521
1577,0.1365
1578,0.1802
1579,-0.4848
1580,0.09932
1581,-0.02317
1582,-0.006844
1583,-0.1863
1584,0.1365
1585,0.09909
1586,-0.04916
1587,-0.02599
1588,0.02503
1589,0.1731
1590,-0.2313
1591,0.1285
1592,-0.2057
1593,0.2855
1594,0.1271
1595,-0.06959
1596,0.4151
1597,0.1723
1598,-0.2292
1599,0.07858
1600,0.3853
1601,0.1331
1602,0.1349
1603,0.06868
1604,-0.367
1605,-0.1079
1606,-0.003389
1607,-0.1843
1608,-0.1144
1609,-0.1418
1610,0.2907
1611,-0.05938
1612,-0.2635
1613,0.06566
1614,0.07518
1615,0.3118
1616,0.07801
1617,0.02637
1618,0.01809
1619,-0.06207
1620,-0.09316
1621,-0.1394
1622,0.03894
1623,0.1282
1624,-0.3
1625,0.1135
1626,-0.03563
1627,-0.3933
1628,0.2169
1629,0.02796
1630,-0.0334
1631,0.02641
1632,-0.1629
1633,-0.1817
1634,-0.01468
1635,0.04619
1636,0.1447
1637,0.07452
1638,0.09196
1639,-0.0601
1640,0.2497
1641,-0.06666
1642,0.1868
1643,-0.1643
1644,0.1892
1645,-0.1019
1646,-0.04923
1647,0.2324
1648,0.2407
1649,-0.00274
1650,-0.09682
1651,-0.1659
1652,0.3769
1653,0.04265
1654,-0.01356
1655,-0.05056
1656,0.1155
1657,-0.2444
1658,0.002167
1659,-0.149
1660,-0.1572
1661,-0.2958
1662,0.1196
1663,-0.257
1664,0.1408
1665,0.1393
1666,0.03851
1667,0.04211
1668,0.1839
1669,0.1376
1670,-0.2013
1671,-0.09594
1672,-0.06348
1673,0.1007
1674,0.08394
1675,0.1237
1676,0.1808
1677,0.06608
1678,-0.2492
1679,-0.1332
1680,0.2676
1681,0.05433
1682,0.07852
1683,-0.08827
1684,-0.2051
1685,0.1066
1686,0.1194
1687,0.2289
1688,-0.1208
1689,-0.1105
1690,-0.01219
1691,-0.1523
1692,0.06711
1693,-0.03426
1694,-0.1476
1695,0.03675
1696,0.0287
1697,0.04087
1698,-0.0397
1699,-0.1166
1700,0.16
1701,0.1841
1702,-0.1653
1703,0.129
1704,0.1974
1705,-0.03028
1706,-0.03172
1707,0.0187
1708,0.1883
1709,-0.01455
1710,0.2009
1711,-0.09599
1712,-0.1547
1713,-0.04168
1714,-0.2274
1715,-0.03766
1716,0.1591
1717,-0.02576
1718,0.2331
1719,-0.2367
1720,-0.01619
1721,-0.1739
1722,-0.2091
1723,-0.1269
1724,-0.09658
1725,-0.1122
1726,-0.06195
1727,0.1649
1728,-0.1347
1729,-0.2471
1730,-0.02112
1731,0.4225
1732,0.08753
1733,0.05118
1734,-0.1259
1735,-0.2112
1736,-0.1895
1737,-0.005769
1738,-0.2089
1739,0.103
1740,0.2012
1741,0.05454
1742,0.2131
1743,0.0003364
1744,-0.08227
1745,0.0708
1746,0.2796
1747,0.2566
1748,0.0806
1749,0.1381
1750,-0.1814
1751,0.145
1752,-0.1235
1753,0.3415
1754,-0.004293
1755,-0.09839
1756,0.07252
1757,-0.25
1758,0.1441
1759,0.05219
1760,0.02191
1761,-0.04194
1762,-0.2108
1763,-0.005742
1764,-0.08947
1765,0.002432
1766,0.2039
1767,0.189
1768,0.02896
1769,-0.229
1770,-0.22
1771,0.04425
1772,0.08216
1773,0.1129
1774,0.1019
1775,0.0371
1776,0.3046
1777,-0.2702
1778,0.04649
1779,-0.03247
1780,-0.09618
1781,-0.1126
1782,0.1895
