MDTU,min_min,min_max,max_min,max_max5
407,-1.69568,0.0824657,-0.00631916,0.499454
408,-1.24497,0.0533603,-0.0433672,0.490699
409,-1.24497,0.0533603,-0.0433672,0.490699
410,-0.99367,0.0568169,-0.0349402,0.481664
411,-1.24199,0.0663177,0.0245216,0.523173
412,-0.928208,0.0578524,-0.0671364,0.503778
413,-1.09472,0.074598,0.00883836,0.478875
414,-1.03951,0.0597326,0.00345518,0.512851
415,-1.13306,0.100898,-0.0548249,0.514033
416,-1.1267,0.0663406,-0.0446589,0.4554
417,-1.01379,0.12354,-0.0151079,0.533813
418,-1.43855,0.111548,-0.0644964,0.493264
419,-1.03398,0.103131,-0.0611403,0.512135
420,-1.05722,0.0762771,-0.00591084,0.485044
421,-1.14012,0.0575164,-0.051511,0.500008
422,-1.79798,0.0716176,0.0180377,0.535604
423,-1.49752,0.0367277,0.00297372,0.563122
424,-1.02845,0.086987,-0.00555667,0.47452
425,-1.21233,0.0677473,-0.0111216,0.491669
426,-1.11083,0.0783872,0.0439207,0.483247
427,-1.51087,0.111217,0.0457986,0.495491
428,-1.05508,0.0933984,-0.000505088,0.492841
429,-1.1166,0.0488542,-0.000429316,0.493633
430,-1.18789,0.100333,0.0381235,0.523628
431,-1.18632,0.0783444,0.0365433,0.528828
432,-1.64404,0.0696051,-0.00869117,0.521233
433,-1.39096,0.0659371,0.00204423,0.525205
434,-1.09252,0.135083,0.0181673,0.523533
435,-1.12362,0.111373,-0.0301492,0.471649
436,-0.995513,0.100547,0.045072,0.49481
437,-1.57972,0.100982,0.0573602,0.486947
438,-1.12251,0.085791,-0.0257361,0.514754
439,-1.13866,0.132104,0.0312984,0.547103
440,-1.00425,0.0530697,-0.0601811,0.545084
441,-1.06545,0.0575825,0.00304952,0.530725
442,-1.28433,0.0396993,0.0195026,0.528564
443,-0.945449,0.0618841,-0.057522,0.514644
444,-0.945449,0.0618841,-0.057522,0.514644
445,-1.25219,0.054293,0.0377499,0.518034
446,-1.25219,0.054293,0.0377499,0.518034
447,-1.16576,0.0484871,0.027457,0.571955
448,-1.16659,0.0457561,0.0055485,0.534593
449,-1.19022,0.0333779,0.0250538,0.520011
450,-1.00075,0.0719224,0.0142913,0.558899
451,-0.975123,0.0439821,0.0531569,0.583171
452,-1.00326,0.100954,-0.0207355,0.491177
453,-1.273,0.00654891,-0.00600717,0.545768
454,-1.13913,0.0385503,-0.00642369,0.515799
455,-1.18258,0.124147,-0.0465727,0.507818
456,-1.24348,0.119609,0.0349481,0.506633
457,-1.12773,0.0668114,-0.0364095,0.516522
458,-1.02388,0.0648365,-0.0147768,0.50599
459,-1.07525,0.119609,-0.113271,0.503771
460,-1.1443,0.142635,-0.087726,0.458066
461,-1.05328,0.08585,-0.0283939,0.487142
462,-1.16241,0.0932882,-0.0611084,0.462322
463,-0.981586,0.0773372,-0.0922423,0.487326
464,-0.972184,0.127621,0.0381535,0.4714
465,-0.958392,0.0809662,-0.0374359,0.460016
466,-1.2247,0.0808636,-0.0251002,0.475262
467,-1.09499,0.112282,0.0237627,0.45382
468,-1.3053,0.12189,-0.0270964,0.459802
469,-1.14938,0.0845635,-0.0589958,0.48022
470,-0.989514,0.0962311,-0.0113265,0.485373
471,-1.36105,0.0763677,-0.00167315,0.462004
472,-1.02161,0.1476,-0.0296435,0.47916
473,-1,0.0943018,-0.0693284,0.467074
474,-1.23001,0.122601,-0.0362012,0.464628
475,-1.47509,0.125602,-0.0389157,0.442411
476,-1.29218,0.04539,-0.00883921,0.461578
477,-0.909119,0.0527738,-0.0399876,0.481717
478,-1.06989,0.0685041,-0.0732876,0.488571
479,-1.06188,0.102106,-0.0131741,0.453263
