MDTU,S_B
1535,1.00021
1536,1.00163
1537,1.00533
1538,0.989624
1539,0.992413
1540,0.988694
1541,1.00013
1542,1.00783
1543,1.00172
1544,0.99632
1545,1.00341
1546,1.01087
1547,1.01368
1548,1.01264
1549,0.998081
1550,0.992478
1551,0.985403
1552,0.985364
1553,0.995097
1554,1.00735
1555,1.00715
1556,1.01471
1557,0.999886
1558,0.981132
1559,0.997667
1560,0.990522
1561,0.993888
1562,0.996857
1563,0.991334
1564,1.0054
1565,1.00607
1566,1.0092
1567,0.995855
1568,1.01241
1569,1.01801
1570,1.01219
1571,0.981637
1572,0.990375
1573,0.990375
1574,0.998264
1575,0.992263
1576,0.9961
1577,1.00604
1578,1.00226
1579,0.998922
1580,1.00069
1581,0.986668
1582,1.00286
1583,0.996927
1584,1.00211
1585,0.993666
1586,0.998559
1587,0.989807
1588,0.9871
1589,0.989658
1590,0.999572
1591,0.98629
1592,0.992813
1593,0.98201
1594,0.987433
1595,0.979587
1596,0.985235
1597,0.979412
1598,0.992315
1599,0.990271
1600,0.990271
1601,1.00213
1602,0.989474
1603,0.998491
1604,0.996862
1605,0.991881
1606,0.98608
1607,0.998546
1608,1.00667
1609,1.01115
1610,1.00139
1611,0.99531
1612,0.991517
1613,1.00098
1614,1.00306
1615,0.987202
1616,0.984859
1617,0.995345
1618,1.0016
1619,1.01056
1620,1.00319
1621,1.00457
1622,0.998344
1623,0.991793
1624,1.00761
1625,1.00455
1626,0.995852
1627,1.00487
1628,1.00431
1629,0.9946
1630,0.988301
1631,0.992505
1632,1.00903
1633,1.00947
1634,0.999792
1635,0.996833
1636,0.996833
1637,1.00236
1638,1.00209
1639,0.995807
1640,0.988299
1641,1.002
1642,1.00953
1643,1.00391
1644,1.00368
1645,1.01646
1646,1.01816
1647,1.01816
1648,1.01076
1649,1.00882
1650,1.0054
1651,1.01414
1652,1.00022
1653,1.00062
1654,0.999098
1655,0.988703
1656,0.985214
1657,0.999861
1658,0.99155
1659,0.983608
1660,1.00177
1661,0.999503
1662,1.00456
1663,1.00024
1664,1.00024
1665,0.983977
1666,0.994573
1667,0.998317
1668,1.00531
1669,1.01034
1670,1.00369
1671,1.00474
1672,1.00318
1673,1.00318
1674,1.00035
1675,0.993989
1676,1.0079
1677,1.00286
1678,0.995999
1679,0.999278
1680,0.994703
1681,0.987804
1682,0.994427
1683,1.00175
1684,0.986192
1685,0.996814
1686,0.991028
1687,0.991663
1688,0.992783
1689,0.999055
1690,0.999162
1691,0.988004
1692,0.999843
1693,0.985976
1694,0.985844
1695,0.997185
1696,0.994312
1697,1.00763
1698,0.994336
