t,cg_iters
1267,2795
1268,2584
1269,2567
1270,2734
1271,2782
1272,3034
1273,3441
1274,3959
1275,4323
1276,4079
1277,3741
1278,4110
1279,4899
1280,4571
1281,3894
1282,3442
1283,3430
1284,3124
1285,3086
1286,2883
1287,2900
1288,2945
1289,2867
1290,2750
1291,2616
1292,2616
1293,2653
1294,2637
1295,2697
1296,2644
1297,2622
1298,2596
1299,2551
1300,2702
1301,2816
1302,2913
1303,2963
1304,2850
1305,2826
1306,2830
1307,2805
1308,2713
1309,2769
1310,2761
1311,2829
1312,2763
1313,2805
1314,2941
1315,3079
1316,2947
1317,2762
1318,2708
1319,2603
1320,2649
1321,2659
1322,2499
1323,2567
1324,2519
1325,2593
1326,2641
1327,2541
1328,2504
1329,2493
1330,2617
1331,2656
1332,2854
1333,2928
1334,3115
1335,2961
1336,3276
1337,3137
1338,3117
1339,3329
1340,3388
1341,3097
1342,3420
1343,4016
1344,3691
1345,3021
1346,2868
1347,2861
1348,2808
1349,2757
1350,3001
1351,2886
1352,2818
1353,2936
1354,2870
1355,2891
1356,2923
1357,2993
1358,2977
1359,3034
1360,3064
1361,3073
1362,3057
1363,3131
1364,2928
1365,2840
1366,2957
1367,2866
1368,2841
1369,2848
1370,2842
1371,2811
1372,2745
1373,2841
1374,2847
1375,2987
1376,3007
1377,2777
1378,2908
1379,3113
1380,2996
1381,3086
1382,3018
1383,3043
1384,3058
1385,3069
1386,2977
1387,2878
1388,2878
1389,2889
1390,2930
1391,2909
1392,2999
1393,2885
1394,2741
1395,2797
1396,2810
1397,2929
1398,2863
1399,2740
1400,2914
1401,2823
1402,2703
1403,2695
1404,2712
1405,2701
1406,2732
1407,2818
1408,2981
1409,2967
1410,3016
1411,2928
1412,2929
1413,2822
1414,2793
1415,2783
1416,2881
1417,3006
1418,2980
1419,2897
1420,3025
1421,3004
1422,3059
1423,3167
1424,3126
1425,3039
1426,3374
1427,3524
1428,3577
1429,3275
1430,3136
1431,3446
1432,3514
1433,3589
1434,3666
1435,3682
1436,3695
1437,3396
1438,3447
1439,3314
1440,3305
1441,3218
1442,3163
1443,3036
1444,3111
1445,3141
1446,2801
1447,2655
1448,2678
1449,2580
1450,2700
1451,2782
1452,2797
1453,2905
1454,2884
1455,2964
1456,2923
1457,3072
1458,2844
1459,2941
1460,2974
1461,2983
1462,2801
1463,2715
1464,2726
1465,2708
1466,2604
1467,2693
1468,2732
1469,2660
1470,2708
1471,2722
1472,2734
1473,2669
1474,2723
1475,2606
1476,2545
1477,2539
1478,2483
1479,2433
1480,2508
1481,2592
1482,2647
1483,2596
1484,2575
1485,2710
1486,2642
1487,2691
1488,2636
1489,2763
1490,2595
1491,2645
1492,2767
